"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","CUT","-1.563","58.33","25.00",".00",".00","33' 1""","52' 7""","106' 1""","25' 11""","27' 8""","67' 8""","-","57' 8""","39' 9""","52' 9""","8' 1""","7' 2""","22' 8""","12' 10""","18' 4""","14' 0""","51' 3""","-","-","-","-","77' 1""","3' 8""","-","106' 1""","-","48' 1""","-","-","-","-","-","-"
"1/20/2019","Desert Classic","CUT","1.002","68.52","50.00",".00","50.00","32' 1""","25' 8""","25' 11""","25' 3""","37' 5""","-","-","94' 5""","38' 10""","-","-","30' 9""","30' 9""","-","14' 4""","-","57' 4""","-","-","-","10' 9""","21' 3""","56' 5""","10' 9""","70' 9""","35' 7""","9' 8""","22' 11""","6' 3""","56' 5""","-","1","-"
"1/6/2019","Sentry T of C","T27","-1.395","72.22","73.91","22.22","55.56","47' 10""","39' 8""","47' 10""","33' 2""","45' 4""","98' 2""","50' 8""","65' 7""","47' 9""","21' 2""","24' 11""","25' 2""","23' 0""","41' 7""","51' 11""","55' 2""","58' 1""","-","-","-","-","35' 6""","44' 11""","-","64' 10""","13' 3""","50' 9""","38' 1""","24' 5""","117' 0""","20' 11""","-","-"
"11/11/2018","Mayakoba Golf Classic","T10","-","69.44","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","T15",".303","76.39","75.00","30.77","69.23","34' 10""","41' 2""","56' 5""","22' 2""","29' 2""","-","80' 2""","96' 1""","30' 10""","-","12' 3""","19' 10""","17' 9""","20' 9""","31' 4""","34' 5""","57' 6""","-","-","49' 11""","-","41' 2""","-","49' 11""","30' 1""","57' 6""","34' 4""","38' 4""","38' 4""","-","-","-","-"
"9/23/2018","TOUR Championship","T15","-.412","70.83","87.50","28.57","71.43","35' 9""","45' 11""","56' 5""","38' 7""","28' 3""","-","98' 0""","38' 9""","36' 5""","-","20' 3""","17' 5""","18' 3""","18' 6""","27' 7""","35' 6""","40' 10""","61' 3""","-","33' 5""","71' 1""","45' 11""","-","54' 0""","48' 7""","47' 2""","48' 7""","31' 4""","31' 4""","-","-","1","5"
"9/9/2018","BMW Championship","T16",".072","81.94","66.67","50.00","50.00","33' 2""","35' 8""","31' 5""","41' 2""","32' 6""","-","85' 2""","35' 2""","30' 3""","-","9' 10""","21' 2""","19' 3""","28' 3""","26' 9""","35' 11""","48' 4""","-","-","-","36' 0""","43' 8""","18' 0""","36' 0""","15' 2""","41' 3""","50' 1""","31' 3""","64' 3""","32' 6""","8' 5""","2","85"
"9/3/2018","Dell Technologies Champ","T69",".272","79.17","50.00","25.00","62.50","36' 11""","38' 6""","38' 7""","38' 6""","30' 10""","-","83' 5""","24' 9""","42' 0""","-","24' 3""","33' 6""","30' 11""","11' 4""","24' 4""","32' 11""","41' 9""","-","-","-","63' 3""","38' 7""","38' 4""","63' 3""","-","28' 8""","40' 2""","38' 4""","-","38' 4""","-","1","5"
"8/26/2018","THE NORTHERN TRUST","T5",".334","70.83","31.25",".00","80.00","29' 9""","38' 10""","48' 10""","26' 4""","27' 1""","99' 4""","-","79' 7""","24' 3""","11' 8""","14' 6""","40' 10""","16' 6""","26' 11""","19' 7""","30' 7""","44' 10""","-","-","-","125' 4""","53' 9""","20' 2""","125' 4""","38' 3""","38' 7""","28' 2""","26' 0""","-","26' 0""","-","-","-"
"8/12/2018","PGA Championship","CUT","-.724","66.67","80.00",".00","50.00","36' 3""","40' 4""","22' 6""","76' 2""","35' 2""","120' 7""","-","68' 7""","33' 3""","14' 3""","15' 1""","18' 11""","16' 9""","18' 6""","21' 9""","52' 11""","63' 11""","-","-","-","-","40' 4""","-","-","-","76' 2""","22' 6""","-","-","-","-","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T6",".544","68.06","50.00","25.00","75.00","29' 3""","37' 11""","45' 10""","26' 9""","26' 8""","-","76' 1""","50' 11""","30' 6""","-","15' 7""","20' 5""","19' 6""","16' 11""","24' 0""","33' 8""","38' 2""","-","-","-","-","40' 11""","5' 2""","-","42' 10""","48' 6""","38' 5""","25' 2""","25' 2""","-","-","-","-"
"7/15/2018","John Deere Classic","CUT","-.415","66.67","57.14","25.00","50.00","37' 2""","25' 10""","22' 4""","28' 1""","34' 0""","-","144' 1""","52' 6""","33' 0""","-","8' 11""","19' 10""","15' 9""","31' 11""","31' 1""","43' 2""","63' 0""","-","-","-","-","25' 10""","-","-","-","34' 2""","22' 11""","14' 11""","14' 11""","-","-","-","-"
"7/8/2018","The Greenbrier","CUT","1.063","75.00","100.00","25.00",".00","30' 7""","44' 10""","38' 6""","49' 8""","27' 2""","91' 6""","-","48' 9""","27' 0""","-","8' 10""","11' 2""","9' 7""","25' 5""","17' 11""","6' 8""","46' 5""","-","-","-","-","44' 10""","-","-","16' 6""","-","45' 6""","57' 11""","57' 11""","-","-","-","-"
"6/17/2018","U.S. Open","CUT","-1.461","44.44","60.00",".00","33.33","51' 7""","50' 5""","53' 11""","47' 0""","51' 9""","104' 7""","75' 4""","105' 2""","46' 7""","53' 6""","-","25' 0""","34' 6""","21' 7""","42' 0""","54' 8""","83' 11""","-","-","-","-","44' 6""","68' 2""","-","-","53' 11""","25' 9""","68' 2""","-","-","68' 2""","-","-"
"6/3/2018","the Memorial Tournament","CUT","-1.254","69.44","75.00","16.67","66.67","33' 8""","25' 1""","-","25' 1""","33' 0""","83' 3""","47' 2""","73' 9""","50' 3""","16' 7""","31' 4""","33' 3""","30' 7""","20' 6""","22' 6""","21' 6""","62' 5""","-","-","-","-","-","25' 1""","-","-","-","-","25' 1""","-","25' 1""","-","1","5"
"5/27/2018","Fort Worth Invitational","CUT","-.974","58.33","50.00",".00","100.00","34' 1""","56' 11""","49' 6""","63' 2""","23' 1""","-","-","59' 1""","19' 10""","4' 10""","-","21' 1""","17' 10""","16' 11""","17' 6""","44' 1""","29' 8""","-","-","-","63' 9""","52' 1""","105' 3""","63' 9""","26' 7""","70' 11""","56' 0""","54' 8""","37' 9""","105' 3""","-","-","-"
"5/20/2018","AT&T Byron Nelson","1","1.498","91.67","93.75","33.33","73.33","34' 0""","66' 8""","66' 8""","-","31' 7""","128' 9""","80' 11""","35' 5""","33' 1""","24' 4""","16' 6""","16' 4""","17' 10""","22' 11""","27' 8""","28' 2""","53' 4""","-","-","97' 3""","-","66' 8""","-","97' 3""","51' 4""","-","-","-","-","-","-","-","-"
"5/6/2018","Wells Fargo Championship","T2",".326","68.06","65.00",".00","69.23","42' 11""","44' 7""","67' 3""","33' 4""","34' 4""","67' 2""","54' 10""","53' 8""","46' 8""","-","21' 0""","25' 1""","23' 7""","20' 0""","31' 7""","32' 7""","53' 1""","-","102' 8""","80' 5""","-","42' 9""","53' 11""","91' 7""","18' 11""","42' 9""","26' 4""","43' 11""","42' 1""","45' 9""","-","3","13"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","CUT","-.879","58.33","41.67",".00","20.00","38' 8""","42' 7""","57' 4""","13' 3""","28' 8""","-","-","42' 5""","98' 2""","-","10' 7""","26' 4""","18' 5""","29' 1""","24' 11""","24' 10""","61' 0""","43' 9""","-","-","-","57' 4""","13' 3""","43' 9""","-","-","70' 10""","13' 3""","-","13' 3""","-","-","-"
