"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","CUT","-.367","60.00","9' 9""","73.33","-","50.00","66.67","-","75.00","100.00"
"1/20/2019","Desert Classic","CUT","-.589","33.33","-","70.59","-","60.00",".00",".00","75.00","100.00"
"1/6/2019","Sentry T of C","T27","-.081","100.00","2' 9""","40.00","50.00","14.29",".00","37.50","20.00","100.00"
"11/11/2018","Mayakoba Golf Classic","T10","-","40.00","-","63.64","-","50.00","-","-","-","-"
"11/4/2018","Shriners Hospitals","T15","-.163","27.27","13' 1""","29.41","100.00","20.00","25.00",".00","44.44","-"
"9/23/2018","TOUR Championship","T15",".264","44.44","12' 6""","61.90","100.00","62.50","66.67","25.00","42.86","100.00"
"9/9/2018","BMW Championship","T16",".260","66.67","8' 2""","61.54","100.00","50.00","50.00","100.00","57.14","66.67"
"9/3/2018","Dell Technologies Champ","T69","-.254","42.86","12' 4""","33.33","-","60.00","33.33",".00","60.00","50.00"
"8/26/2018","THE NORTHERN TRUST","T5",".306","44.44","10' 5""","52.38","100.00","66.67",".00","50.00","58.33","60.00"
"8/12/2018","PGA Championship","CUT","-.748",".00","34' 2""","41.67","100.00","50.00","50.00",".00","25.00","75.00"
"8/5/2018","WGC-Bridgestone Invit'l","T6","-.177",".00","22' 1""","73.91","100.00","71.43","60.00","57.14","83.33","100.00"
"7/15/2018","John Deere Classic","CUT","1.005","33.33","10' 1""","66.67","100.00","66.67",".00","33.33","100.00","100.00"
"7/8/2018","The Greenbrier","CUT","-.906","20.00","13' 3""","33.33","100.00","25.00",".00","33.33","66.67",".00"
"6/17/2018","U.S. Open","CUT",".965","28.57","9' 2""","40.00",".00","66.67","28.57","33.33","57.14","-"
"6/3/2018","the Memorial Tournament","CUT",".816","100.00","9' 2""","54.55","100.00","25.00",".00","100.00","80.00","100.00"
"5/27/2018","Fort Worth Invitational","CUT",".556","100.00","3' 6""","66.67","-","50.00","33.33","66.67","100.00","75.00"
"5/20/2018","AT&T Byron Nelson","1",".145",".00","13' 7""","66.67","-","50.00","100.00","75.00",".00","-"
"5/6/2018","Wells Fargo Championship","T2","1.122","72.73","6' 8""","65.22","100.00","40.00","66.67","25.00","84.62","33.33"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","CUT","-1.918","14.29","9' 3""","26.67","100.00","33.33",".00",".00","40.00","66.67"
"4/1/2018","Houston Open","T32",".889","66.67","10' 6""","68.18","100.00","50.00","33.33","50.00","87.50","100.00"
"3/18/2018","Arnold Palmer Invt'l","T41","-.359","44.44","9' 1""","48.00","100.00","50.00","75.00","50.00","50.00","40.00"
"3/11/2018","Valspar Championship","T68",".163","50.00","6' 8""","56.25","100.00","66.67",".00","44.44","75.00","100.00"
"2/25/2018","The Honda Classic","T33","-.011","25.00","8' 1""","52.38","100.00","54.55",".00","50.00","71.43","80.00"
"2/18/2018","Genesis Open","CUT","-.342","100.00","6' 8""","65.00","100.00","50.00","100.00",".00","62.50","100.00"
"2/11/2018","AT&T Pebble Beach","T15","-.102","57.14","13' 1""","66.67","-","70.00",".00","50.00","50.00","80.00"
"1/28/2018","Farmers Insurance Open","CUT",".011","60.00","12' 0""","69.23","-","80.00",".00","-","100.00","100.00"
"1/21/2018","CareerBuilder Challenge","T17",".197","60.00","-","68.00","-","73.33","50.00","100.00","50.00","83.33"
"1/14/2018","Sony Open in Hawaii","CUT","-1.737","55.56","13' 1""","38.46","100.00",".00","33.33",".00","33.33","75.00"
"11/19/2017","The RSM Classic","T13","-.219","25.00","7' 1""","47.06","-","50.00","50.00",".00",".00",".00"
"11/12/2017","OHL Classic at Mayakoba","CUT","-",".00","-","46.15","-","25.00","-","-","-","-"
"11/5/2017","Shriners Hospitals","T32","-.187","50.00","8' 0""","52.63","100.00","66.67","100.00","50.00","54.55","100.00"
"10/29/2017","Sanderson Farms Champ.","T25",".071","75.00","7' 9""","54.55","66.67","50.00","40.00",".00","50.00","100.00"
"10/8/2017","Safeway Open","CUT","-.256",".00","7' 11""","73.33","100.00","66.67","-","50.00","62.50","100.00"
"1/29/2017","Farmers Insurance Open","T71","-.412","60.00","5' 7""","60.00","100.00","64.29",".00","80.00","50.00","83.33"
"1/22/2017","CareerBuilder Challenge","T34","-.327","50.00","6' 11""","71.43","100.00","100.00","80.00","100.00","66.67","100.00"
"11/13/2016","OHL Classic at Mayakoba","T55","-","-","-","65.22","-","55.56","-","-","-","-"
"11/6/2016","Shriners Hospitals","T10",".177","50.00","12' 9""","61.90","75.00","20.00","25.00","33.33","76.92","100.00"
"10/30/2016","Sanderson Farms Champ.","CUT","-.893","25.00","8' 6""","50.00","100.00","50.00",".00",".00","62.50","100.00"
"10/16/2016","Safeway Open","CUT","-.402","50.00","14' 11""","64.29","-","66.67","50.00","75.00","80.00","33.33"
"8/14/2016","John Deere Classic","T16","-.218","50.00","2' 5""","58.82","100.00","80.00",".00","100.00","75.00","75.00"
"6/19/2016","U.S. Open","CUT","-","60.00","-","30.77","-","-","-","-","-","-"
