"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","CUT","-1.867",".063","301.0","299.9","313","60.71","54' 0""","7.69","7.69","1,998","116.28","1,998"
"1/20/2019","Desert Classic","CUT","-.614","-1.027","310.0","282.8","323","45.24","51' 9""","28.57","21.43","1,998","-","-"
"1/6/2019","Sentry T of C","T27","-1.263",".213","287.9","299.8","406","76.67","16' 11""","6.67","11.67","26","116.38","20"
"11/11/2018","Mayakoba Golf Classic","T10","-","-","288.6","-","307","58.93","-","-","-","85","-","-"
"11/4/2018","Shriners Hospitals","T15","1.244","1.104","333.0","312.1","357","69.64","29' 0""","8.93","10.71","26","117.10","9"
"9/23/2018","TOUR Championship","T15",".789",".937","298.3","300.8","352","57.14","16' 6""","12.50","19.64","30","114.03","57"
"9/9/2018","BMW Championship","T16",".469",".137","297.0","291.9","339","71.43","23' 4""","16.07","12.50","57","113.37","32"
"9/3/2018","Dell Technologies Champ","T69","-.027","-.044","301.4","289.1","337","60.71","26' 5""","10.71","12.50","93","112.40","27"
"8/26/2018","THE NORTHERN TRUST","T5","1.455",".816","297.3","288.2","332","73.21","36' 8""","11.32","7.55","18","113.41","26"
"8/12/2018","PGA Championship","CUT","-.185","1.287","293.3","296.4","323","78.57","35' 5""","10.71",".00","1,998","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T6",".726",".359","317.5","305.3","381","66.07","27' 9""","15.09","11.32","38","114.79","38"
"7/15/2018","John Deere Classic","CUT",".698",".108","298.0","293.7","327","53.57","32' 9""","14.29","10.71","1,998","-","-"
"7/8/2018","The Greenbrier","CUT","1.084",".926","328.3","300.4","353","75.00","29' 0""","10.71","10.71","1,998","113.52","1,998"
"6/17/2018","U.S. Open","CUT","-.947","-.450","305.3","294.6","334","60.71","-","17.86","14.29","1,998","-","-"
"6/3/2018","the Memorial Tournament","CUT","-1.074","-.635","291.5","289.6","321","75.00","39' 9""",".00","17.86","1,998","113.06","1,998"
"5/27/2018","Fort Worth Invitational","CUT","-.018",".401","298.5","285.6","358","46.43","30' 5""","17.86","28.57","1,998","114.46","1,998"
"5/20/2018","AT&T Byron Nelson","1","2.793","1.150","297.3","295.5","402","89.29","38' 1""","7.27",".00","36","114.62","43"
"5/6/2018","Wells Fargo Championship","T2","2.357",".910","314.3","314.0","383","53.57","13' 4""","7.14","17.86","60","116.03","95"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","CUT","-2.721",".076","313.3","288.3","340","67.86","35' 7""","3.57",".00","1,998","113.31","1,998"
"4/1/2018","Houston Open","T32",".855",".825","292.0","286.9","316","67.86","39' 4""","1.79","14.29","55","113.31","36"
"3/18/2018","Arnold Palmer Invt'l","T41",".802",".634","302.6","292.4","339","66.07","32' 2""","12.73","7.27","55","115.09","39"
"3/11/2018","Valspar Championship","T68","-1.374","-.186","298.8","279.3","337","53.85","30' 8""","11.54","15.38","66","112.97","41"
"2/25/2018","The Honda Classic","T33","1.733",".386","305.8","276.6","350","69.64","30' 0""","7.27","14.55","19","114.26","63"
"2/18/2018","Genesis Open","CUT",".088",".857","314.3","292.6","338","57.14","20' 11""","21.43","17.86","1,998","114.16","1,998"
"2/11/2018","AT&T Pebble Beach","T15",".667","-.263","300.8","277.8","330","56.36","24' 8""","10.71","3.57","95","115.20","20"
"1/28/2018","Farmers Insurance Open","CUT",".213","-.539","298.0","295.0","330","50.00","25' 4""","21.43","14.29","1,998","114.61","1,998"
"1/21/2018","CareerBuilder Challenge","T17",".097","-.584","299.9","282.8","319","62.50","31' 1""","21.43","10.71","56","-","-"
"1/14/2018","Sony Open in Hawaii","CUT","-1.872","1.481","333.5","303.0","363","60.71","11' 7""","14.29","17.86","1,998","114.45","1,998"
"11/19/2017","The RSM Classic","T13",".738",".466","301.5","293.6","346","73.21","30' 10""","4.76","7.14","47","115.79","111"
"11/12/2017","OHL Classic at Mayakoba","CUT","-","-","282.3","-","313","64.29","-","-","-","1,998","-","-"
"11/5/2017","Shriners Hospitals","T32","-.143",".379","317.5","305.1","364","53.57","24' 2""","8.93","25.00","59","116.22","37"
"10/29/2017","Sanderson Farms Champ.","T25","1.441",".040","299.6","292.1","340","50.00","38' 1""","12.50","26.79","62","115.28","53"
"10/8/2017","Safeway Open","CUT","-2.208",".098","290.0","292.1","333","46.43","42' 4""","10.71","35.71","1,998","116.11","1,998"
"1/29/2017","Farmers Insurance Open","T71","-.457",".468","300.1","290.7","325","58.93","30' 2""","4.76","23.81","32","115.36","7"
"1/22/2017","CareerBuilder Challenge","T34",".106","-.166","300.9","280.6","325","55.36","34' 0""","21.43","25.00","72","118.36","3"
"11/13/2016","OHL Classic at Mayakoba","T55","-","-","308.1","-","328","51.79","-","-","-","73","-","-"
"11/6/2016","Shriners Hospitals","T10","1.625","-.116","326.5","300.3","343","46.43","33' 7""","14.29","32.14","69","119.23","39"
"10/30/2016","Sanderson Farms Champ.","CUT","-1.152",".078","302.0","293.9","328","60.71","40' 7""","22.22","11.11","1,998","114.81","1,998"
"10/16/2016","Safeway Open","CUT","-2.340",".638","302.8","280.3","335","57.14","19' 6""","10.71","17.86","1,998","114.36","1,998"
"8/14/2016","John Deere Classic","T16","1.671",".931","309.8","293.4","349","75.00","26' 11""","7.14","14.29","49","118.68","38"
"6/19/2016","U.S. Open","CUT","-","-","314.3","-","374","75.00","-","-","-","1,998","-","-"
