"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","CUT","-.505","-","1.762","1.556","44.44",".00","28.00","29.00","27.00","-","-","100.00","80.00","100.00","-","-","50.00","100.00","-","66.67","89.47","20.00",".00","-",".00","12' 0""","1' 10""","62' 11""","28.57"
"1/20/2019","Desert Classic","CUT",".674","-","1.622","1.481","50.00","1.85","26.67","28.00","27.00","25.00","-","100.00","100.00","100.00","100.00","100.00","50.00",".00","-","83.33","88.89","25.00","-",".00","100.00","35' 7""","2' 9""","103' 7""","37.84"
"1/6/2019","Sentry T of C","T27","-.563","46.0","1.808","1.736","29.17","5.56","31.25","31.00","32.00","31.00","31.00","97.96","66.67","62.50","50.00","50.00","100.00","20.00","100.00","63.16","83.12","20.00","57.14",".00",".00","19' 7""","2' 3""","65' 6""","32.69"
"11/11/2018","Mayakoba Golf Classic","T10","-","-","1.520","1.458","54.17",".00","26.25","29.00","25.00","27.00","24.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","50.00"
"11/4/2018","Shriners Hospitals","T15",".230","80.3","1.600","1.611","40.28","1.39","29.00","32.00","28.00","27.00","29.00","100.00","100.00","100.00","60.00","25.00","33.33","50.00","50.00","53.33","84.42","25.00","20.00",".00","20.00","53' 3""","2' 0""","93' 1""","49.09"
"9/23/2018","TOUR Championship","T15","-.423","36.8","1.863","1.667","31.94","4.17","30.00","27.00","30.00","28.00","35.00","100.00","87.50","100.00","100.00","50.00","100.00","20.00","33.33","84.62","87.67","57.14","11.11","25.00",".00","24' 4""","2' 7""","65' 2""","23.53"
"9/9/2018","BMW Championship","T16",".664","63.6","1.746","1.667","33.33","5.56","30.00","29.00","32.00","29.00","30.00","100.00","100.00","100.00","100.00","100.00","33.33",".00","50.00","80.00","92.19","46.15","50.00",".00",".00","19' 3""","2' 9""","76' 3""","31.03"
"9/3/2018","Dell Technologies Champ","T69","-1.127","77.4","1.860","1.778","22.22","2.78","32.00","30.00","32.00","37.00","29.00","100.00","88.89","100.00","60.00","50.00","66.67","100.00",".00","73.33","91.89","25.00","6.67",".00",".00","17' 1""","2' 3""","53' 9""","21.05"
"8/26/2018","THE NORTHERN TRUST","T5",".938","68.6","1.569","1.542","47.22","1.39","27.75","27.00","28.00","28.00","28.00","100.00","100.00","75.00","75.00","33.33","100.00","42.86","100.00","66.67","88.57","45.45","25.00","20.00","11.76","30' 9""","1' 8""","87' 6""","45.10"
"8/12/2018","PGA Championship","CUT","-1.330","-","1.833","1.778","30.56","8.33","32.00","34.00","30.00","-","-","100.00","100.00","50.00","25.00","-","100.00","33.33",".00","55.56","81.58","33.33","50.00",".00",".00","18' 2""","3' 7""","75' 7""","25.00"
"8/5/2018","WGC-Bridgestone Invit'l","T6","1.179","59.3","1.735","1.556","48.61","4.17","28.00","27.00","31.00","26.00","28.00","100.00","100.00","75.00","100.00","71.43","66.67","75.00","50.00","80.00","91.67","25.00","14.29","14.29","11.11","43' 10""","2' 3""","89' 0""","34.69"
"7/15/2018","John Deere Classic","CUT","-.948","-","1.833","1.639","30.56",".00","29.50","32.00","27.00","-","-","100.00","100.00",".00","100.00","-","50.00","33.33","-","60.00","89.47","20.00",".00",".00",".00","11' 4""","1' 6""","45' 9""","20.83"
"7/8/2018","The Greenbrier","CUT","-1.095","-","1.741","1.694","33.33","2.78","30.50","32.00","29.00","-","-","100.00","75.00","100.00","50.00","100.00","33.33","33.33","50.00","63.64","80.95",".00","25.00",".00","12.50","26' 3""","2' 1""","70' 1""","29.63"
"6/17/2018","U.S. Open","CUT",".482","-","1.875","1.667","38.89","5.56","30.00","31.00","29.00","-","-","100.00","100.00","100.00","100.00","50.00",".00","50.00",".00","83.33","86.11","16.67","66.67",".00","20.00","48' 2""","6' 4""","115' 5""","25.00"
"6/3/2018","the Memorial Tournament","CUT","-.418","-","1.800","1.639","33.33","2.78","29.50","30.00","29.00","-","-","100.00","75.00","100.00",".00","66.67","100.00",".00","-","75.00","88.57","66.67",".00",".00",".00","12' 10""","2' 7""","61' 11""","28.00"
"5/27/2018","Fort Worth Invitational","CUT","-.865","-","1.810","1.583","50.00","8.33","28.50","29.00","28.00","-","-","100.00","83.33","100.00","75.00","-",".00","-","20.00","77.78","82.50","33.33","33.33",".00",".00","19' 6""","2' 4""","64' 9""","28.57"
"5/20/2018","AT&T Byron Nelson","1","1.392","56.0","1.697","1.667","37.50","4.17","30.00","32.00","28.00","30.00","30.00","100.00","100.00","100.00","100.00","33.33","100.00",".00","75.00","86.67","92.65","23.08","44.44","20.00","4.00","47' 0""","2' 8""","89' 1""","39.39"
"5/6/2018","Wells Fargo Championship","T2","1.061","48.3","1.673","1.514","41.67","1.39","27.25","26.00","28.00","28.00","27.00","100.00","100.00","80.00","100.00","83.33","50.00","-","33.33","82.35","92.86","33.33",".00",".00","5.56","31' 10""","2' 5""","68' 8""","34.69"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","CUT",".013","-","1.667","1.583","44.44","2.78","28.50","30.00","27.00","-","-","94.12","75.00","75.00","100.00","66.67","100.00","100.00",".00","80.00","83.78","66.67","16.67",".00",".00","16' 0""","2' 6""","81' 11""","38.10"
"4/1/2018","Houston Open","T32",".041","122.8","1.760","1.569","38.89","4.17","28.25","30.00","29.00","29.00","25.00","100.00","88.89","87.50","100.00","-","40.00","50.00",".00","75.00","87.32","20.00",".00","33.33","15.00","57' 6""","2' 6""","90' 7""","34.00"
"3/18/2018","Arnold Palmer Invt'l","T41","-.308","92.1","1.745","1.653","38.89","4.17","29.75","27.00","31.00","32.00","29.00","100.00","100.00","100.00","44.44","57.14","50.00","50.00","25.00","59.09","83.33","27.27","12.50","25.00","11.11","41' 10""","2' 4""","80' 5""","38.30"
"3/11/2018","Valspar Championship","T68",".837","79.4","1.750","1.556","45.83","1.39","28.00","30.00","26.00","30.00","26.00","100.00","100.00","60.00","50.00",".00","33.33",".00","100.00","42.86","84.93","37.50","40.00","33.33","15.00","42' 1""","1' 10""","93' 6""","27.50"
"2/25/2018","The Honda Classic","T33","-.938","100.5","1.824","1.736","30.56","4.17","31.25","35.00","32.00","29.00","29.00","100.00","85.71","82.35","75.00","25.00","50.00","100.00","50.00","68.97","85.19","12.50","11.11",".00","4.76","40' 7""","2' 5""","72' 3""","23.53"
"2/18/2018","Genesis Open","CUT","-.418","-","1.750","1.500","47.22","2.78","27.00","22.00","32.00","-","-","100.00","80.00","50.00","60.00","100.00","50.00","50.00","25.00","63.64","78.57","33.33","25.00","-",".00","15' 8""","2' 7""","68' 7""","31.25"
