"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","CUT",".847","63.89","25.00",".00",".00","33' 8""","55' 4""","92' 0""","18' 9""","27' 6""","-","-","49' 10""","27' 11""","-","3' 10""","21' 8""","12' 9""","10' 10""","32' 7""","23' 11""","36' 8""","-","-","104' 8""","-","55' 4""","-","104' 8""","-","18' 9""","79' 3""","-","-","-","-","-","-"
"1/20/2019","Desert Classic","T18",".798","75.00","62.50","20.00","60.00","31' 1""","25' 7""","32' 5""","20' 6""","34' 7""","115' 7""","-","59' 9""","50' 4""","26' 3""","35' 8""","25' 9""","28' 4""","15' 1""","17' 5""","24' 4""","64' 4""","-","94' 5""","21' 3""","-","27' 7""","13' 10""","57' 10""","-","27' 3""","18' 11""","14' 7""","15' 5""","13' 10""","-","2","6"
"1/13/2019","Sony Open in Hawaii","T29",".183","75.00","77.78","42.86","85.71","26' 9""","44' 11""","53' 2""","42' 6""","24' 3""","-","-","-","32' 10""","-","23' 5""","2' 10""","20' 10""","19' 4""","23' 5""","29' 6""","32' 10""","-","-","69' 10""","-","44' 11""","-","69' 10""","30' 9""","36' 7""","43' 9""","-","-","-","-","-","-"
"11/25/2018","(*) ISPS Handa World Cup","T2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T21","-","72.22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","T4","-.101","70.83","75.00","33.33","91.67","32' 9""","41' 2""","24' 8""","43' 3""","29' 6""","62' 2""","-","49' 6""","46' 7""","-","17' 2""","18' 9""","18' 7""","30' 9""","23' 11""","30' 1""","49' 7""","-","48' 6""","46' 9""","-","41' 2""","-","47' 8""","67' 1""","36' 10""","32' 8""","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T73","-","70.83","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T5","-","70.83","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T51","-.997","77.78","77.78",".00","42.86","36' 9""","48' 9""","49' 4""","48' 1""","34' 8""","117' 8""","96' 4""","53' 11""","34' 0""","38' 9""","10' 2""","19' 1""","18' 5""","29' 10""","29' 3""","25' 2""","53' 7""","-","-","56' 5""","-","48' 9""","-","56' 5""","43' 3""","90' 6""","39' 10""","48' 11""","48' 11""","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T7",".800","72.22","87.50","7.14","57.14","27' 11""","33' 9""","57' 10""","25' 8""","26' 1""","53' 7""","39' 9""","56' 2""","42' 1""","7' 2""","11' 1""","22' 3""","15' 7""","19' 0""","13' 8""","22' 9""","45' 6""","-","-","-","12' 5""","33' 9""","-","12' 5""","32' 4""","-","57' 10""","-","-","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","CUT",".335","63.89","25.00",".00",".00","29' 10""","45' 7""","12' 2""","52' 3""","26' 7""","97' 6""","-","29' 6""","34' 10""","30' 6""","4' 7""","-","17' 6""","27' 6""","18' 9""","21' 4""","41' 3""","-","-","-","-","64' 6""","26' 7""","-","90' 8""","12' 2""","-","26' 7""","-","36' 0""","7' 10""","-","-"
"8/19/2018","Wyndham Championship","T24","-.277","75.00","100.00","62.50","75.00","32' 4""","48' 5""","48' 11""","48' 3""","25' 3""","-","-","61' 8""","28' 9""","-","7' 2""","21' 4""","18' 4""","14' 11""","26' 4""","29' 3""","35' 4""","-","-","102' 5""","95' 10""","50' 5""","7' 10""","97' 6""","52' 1""","23' 10""","37' 2""","23' 2""","28' 3""","7' 10""","-","-","-"
"7/29/2018","RBC Canadian Open","5","1.642","72.22","81.25","30.77","69.23","27' 1""","33' 4""","37' 7""","25' 8""","25' 0""","-","61' 4""","51' 3""","53' 0""","-","30' 0""","15' 3""","16' 4""","19' 11""","25' 9""","17' 4""","53' 7""","-","-","-","33' 9""","33' 4""","-","33' 9""","117' 0""","44' 2""","23' 3""","19' 5""","19' 5""","-","-","-","-"
"7/22/2018","The Open Championship","CUT","-","72.22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7/8/2018","The Greenbrier","T47","-.490","70.83","87.50","14.29","71.43","35' 3""","45' 0""","39' 3""","54' 2""","33' 5""","78' 5""","-","48' 5""","46' 7""","10' 9""","17' 4""","16' 8""","16' 6""","32' 6""","26' 11""","32' 4""","53' 4""","-","-","-","94' 5""","45' 0""","-","94' 5""","100' 4""","25' 2""","35' 1""","43' 2""","43' 2""","-","-","1","12"
"7/1/2018","Quicken Loans National","T4",".078","75.00","66.67","25.00","50.00","31' 11""","37' 5""","26' 8""","48' 3""","26' 7""","-","72' 8""","17' 9""","35' 6""","-","19' 3""","22' 6""","21' 1""","17' 1""","26' 3""","26' 7""","37' 5""","-","-","-","-","41' 2""","18' 9""","-","68' 4""","28' 2""","12' 11""","18' 9""","-","18' 9""","-","-","-"
"6/24/2018","Travelers Championship","CUT","-1.597","58.33","66.67",".00","25.00","34' 6""","37' 0""","34' 10""","38' 1""","27' 10""","-","-","40' 3""","35' 7""","-","27' 11""","22' 4""","24' 6""","14' 8""","28' 0""","39' 11""","39' 1""","-","-","-","-","41' 11""","12' 3""","-","-","46' 1""","42' 0""","33' 7""","33' 7""","-","-","1","7"
"6/10/2018","FedEx St. Jude Classic","CUT","-.457","50.00","100.00","50.00","50.00","27' 11""","40' 9""","56' 3""","36' 4""","24' 7""","-","-","41' 11""","18' 7""","-","31' 2""","12' 2""","19' 9""","15' 0""","24' 5""","50' 1""","28' 7""","-","-","-","-","40' 9""","-","-","55' 0""","36' 0""","-","18' 8""","18' 8""","-","-","-","-"
"6/3/2018","the Memorial Tournament","T57",".430","62.50","68.75","18.18","63.64","27' 11""","26' 9""","26' 2""","28' 3""","27' 0""","152' 0""","34' 10""","65' 8""","20' 7""","-","9' 7""","14' 5""","12' 10""","18' 0""","22' 2""","24' 10""","52' 6""","-","-","-","-","26' 9""","-","-","22' 4""","28' 3""","-","28' 2""","28' 2""","-","-","2","6"
"5/27/2018","Fort Worth Invitational","T52",".357","68.06","50.00",".00","75.00","31' 10""","36' 10""","34' 6""","38' 4""","27' 10""","83' 6""","-","39' 0""","49' 11""","25' 2""","10' 5""","15' 7""","15' 0""","15' 11""","28' 10""","32' 9""","53' 9""","-","-","26' 2""","89' 7""","37' 8""","23' 3""","57' 11""","48' 3""","17' 10""","36' 1""","32' 7""","34' 11""","-","23' 3""","-","-"
"5/20/2018","AT&T Byron Nelson","T42","-.229","77.78","75.00","25.00","41.67","41' 4""","50' 8""","65' 4""","40' 10""","37' 5""","-","53' 3""","83' 3""","50' 0""","-","15' 3""","14' 4""","14' 6""","37' 7""","27' 10""","44' 6""","55' 3""","-","-","91' 10""","-","50' 8""","-","91' 10""","40' 7""","-","38' 10""","41' 5""","41' 5""","-","-","-","-"
"5/6/2018","Wells Fargo Championship","CUT","-.777","55.56","70.00",".00","14.29","45' 1""","60' 3""","68' 5""","54' 9""","41' 2""","81' 9""","40' 11""","26' 7""","51' 4""","-","33' 4""","46' 4""","42' 0""","37' 6""","34' 8""","39' 2""","49' 2""","-","74' 2""","56' 8""","-","60' 3""","-","65' 5""","56' 9""","-","-","-","-","-","-","1","25"
