"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","CUT",".620","71.43","6' 2""","84.62","-","60.00",".00","100.00","100.00","100.00"
"1/20/2019","Desert Classic","T18","-.022","25.00","7' 11""","77.78","100.00","81.82","-",".00","50.00","100.00"
"1/13/2019","Sony Open in Hawaii","T29","-.168","50.00","8' 1""","77.78","80.00","75.00","-","-","77.78","77.78"
"11/25/2018","(*) ISPS Handa World Cup","T2","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T21","-","50.00","-","80.00","-","80.00","-","-","-","-"
"11/4/2018","Shriners Hospitals","T4",".227","100.00","6' 7""","76.19","100.00","33.33","50.00","66.67","75.00","100.00"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T73","-","25.00","-","47.62","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T5","-","50.00","-","66.67","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T51","-.151","50.00","6' 8""","43.75","-","33.33",".00","100.00","41.67","-"
"9/3/2018","Dell Technologies Champ","T7",".045","57.14","7' 7""","70.00","100.00","85.71","25.00","100.00","83.33","77.78"
"8/26/2018","THE NORTHERN TRUST","CUT","-.129","66.67","5' 3""","61.54","100.00","66.67",".00",".00","66.67","80.00"
"8/19/2018","Wyndham Championship","T24","-.087",".00","28' 10""","66.67","50.00","66.67","100.00","50.00","58.33","100.00"
"7/29/2018","RBC Canadian Open","5",".055","62.50","7' 0""","75.00","100.00","63.64",".00","50.00","75.00","100.00"
"7/22/2018","The Open Championship","CUT","-","33.33","-","40.00","-","-","-","-","-","-"
"7/8/2018","The Greenbrier","T47",".619","42.86","14' 5""","66.67","-","77.78","25.00",".00","70.00","100.00"
"7/1/2018","Quicken Loans National","T4",".532","33.33","11' 0""","83.33","100.00","100.00","-","60.00","83.33","100.00"
"6/24/2018","Travelers Championship","CUT",".284","-","-","73.33","-","50.00","66.67","100.00","66.67","80.00"
"6/10/2018","FedEx St. Jude Classic","CUT",".352","25.00","4' 10""","55.56","100.00","60.00","33.33","100.00","80.00","57.14"
"6/3/2018","the Memorial Tournament","T57","-.497","75.00","6' 2""","48.15","75.00","41.67","33.33","25.00","60.00","61.54"
"5/27/2018","Fort Worth Invitational","T52","-.332","80.00","7' 2""","69.57","100.00","66.67",".00","50.00","81.25","50.00"
"5/20/2018","AT&T Byron Nelson","T42","-.097",".00","29' 3""","50.00","100.00","33.33","33.33","50.00","50.00","100.00"
"5/6/2018","Wells Fargo Championship","CUT","-.314","50.00","11' 3""","56.25","-","100.00",".00","50.00","85.71","100.00"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","T58","-.250","60.00","7' 0""","51.72","75.00","44.44",".00","50.00","57.89","75.00"
"4/1/2018","Houston Open","T8",".530","50.00","9' 2""","66.67","100.00","60.00",".00","50.00","60.00","100.00"
"3/25/2018","Corales Puntacana","T13","-",".00","-","86.96","-","92.31","-","-","-","-"
"3/11/2018","Valspar Championship","T16",".848","76.92","4' 2""","58.33","-","30.00",".00","33.33","83.33","60.00"
