"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","CUT","1.501",".034","281.3","280.7","295","67.86","44' 4""","14.29","28.57","1,998","111.60","1,998"
"1/20/2019","Desert Classic","T18",".868",".092","288.0","277.2","303","55.36","18' 0""","21.43","35.71","107","-","-"
"1/13/2019","Sony Open in Hawaii","T29","1.430","1.415","314.5","295.8","345","80.36","12' 7""","3.57","12.50","10","112.54","57"
"11/25/2018","(*) ISPS Handa World Cup","T2","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T21","-","-","293.3","-","301","71.43","-","-","-","28","-","-"
"11/4/2018","Shriners Hospitals","T4",".782",".656","299.5","296.5","359","73.21","17' 8""","1.79","17.86","75","112.19","15"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T73","-","-","-","-","-","75.00","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T5","-","-","-","-","-","69.64","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T51","-.972",".176","290.8","287.0","336","76.79","28' 2""","10.71","10.71","60","111.80","48"
"9/3/2018","Dell Technologies Champ","T7","1.812",".967","306.6","294.4","335","78.57","16' 11""","3.57","7.14","25","113.90","57"
"8/26/2018","THE NORTHERN TRUST","CUT",".682",".476","276.0","276.1","309","75.00","37' 3""","7.14","17.86","1,998","111.92","1,998"
"8/19/2018","Wyndham Championship","T24",".653","1.017","309.5","292.8","346","60.71","10' 8""","12.50","26.79","90","112.44","43"
"7/29/2018","RBC Canadian Open","5","2.657",".960","307.4","305.7","351","64.29","22' 7""","19.64","10.71","30","113.67","91"
"7/22/2018","The Open Championship","CUT","-","-","293.3","-","329","50.00","-","-","-","1,998","-","-"
"7/8/2018","The Greenbrier","T47",".845",".717","321.3","298.4","353","71.43","14' 9""","14.29","10.71","38","112.01","35"
"7/1/2018","Quicken Loans National","T4","2.136","1.525","293.5","293.2","344","66.07","19' 9""","14.29","10.71","70","112.75","79"
"6/24/2018","Travelers Championship","CUT","-.828",".485","296.8","288.5","330","60.71","19' 4""","7.14","17.86","1,998","113.34","1,998"
"6/10/2018","FedEx St. Jude Classic","CUT","-.007",".099","287.0","290.1","335","50.00","15' 4""","7.14","28.57","1,998","113.79","1,998"
"6/3/2018","the Memorial Tournament","T57",".037",".104","292.5","286.6","317","78.57","26' 8""","1.79","8.93","41","112.19","11"
"5/27/2018","Fort Worth Invitational","T52",".169",".144","303.6","290.7","342","48.21","24' 3""","12.50","23.21","94","113.27","37"
"5/20/2018","AT&T Byron Nelson","T42",".103",".429","300.0","292.7","359","78.57","17' 6""","3.57","3.57","75","113.02","145"
"5/6/2018","Wells Fargo Championship","CUT","-.620",".471","317.8","296.5","327","67.86","28' 10""","7.14","10.71","1,998","110.42","1,998"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
