"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","CUT","-1.180","-","1.826","1.556","44.44",".00","28.00","27.00","29.00","-","-","100.00","66.67","100.00","100.00","100.00",".00",".00","-","71.43","81.82",".00",".00",".00",".00","6' 10""","2' 1""","53' 6""","17.39"
"1/20/2019","Desert Classic","T18","-.399","37.8","1.667","1.528","43.06","1.39","27.50","28.00","27.00","28.00","27.00","100.00","100.00","100.00","100.00",".00","50.00","50.00","100.00","80.00","91.67","25.00","14.29",".00",".00","15' 1""","2' 10""","63' 9""","33.96"
"1/13/2019","Sony Open in Hawaii","T29","-.419","65.9","1.815","1.667","36.11","2.78","30.00","30.00","28.00","30.00","32.00","100.00","100.00","100.00","33.33","42.86","50.00","-","75.00","50.00","89.04","45.45","14.29","10.00",".00","20' 1""","2' 3""","66' 3""","27.78"
"11/25/2018","(*) ISPS Handa World Cup","T2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T21","-","-","1.712","1.569","43.06",".00","28.25","23.00","28.00","30.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","30.77"
"11/4/2018","Shriners Hospitals","T4","1.692","24.6","1.608","1.500","50.00",".00","27.00","28.00","24.00","28.00","28.00","100.00","100.00","85.71","83.33","100.00","100.00","100.00","-","87.50","96.88","40.00","25.00","33.33",".00","24' 3""","2' 0""","83' 2""","47.06"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T73","-","-","1.824","1.708","33.33","6.94","30.75","28.00","29.00","30.00","36.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.49"
"10/14/2018","CIMB Classic","T5","-","-","1.569","1.472","48.61","1.39","26.50","25.00","27.00","32.00","22.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","48.00"
"9/9/2018","BMW Championship","T51","-.144","59.3","1.768","1.694","30.56",".00","30.50","33.00","30.00","29.00","30.00","100.00","100.00","100.00","66.67","50.00","40.00","57.14",".00","70.00","85.90",".00","33.33",".00","11.11","45' 11""","2' 5""","85' 5""","23.21"
"9/3/2018","Dell Technologies Champ","T7",".035","106.5","1.673","1.556","48.61","4.17","28.00","25.00","27.00","29.00","31.00","100.00","80.00","75.00","33.33","66.67","100.00","57.14","50.00","60.00","85.33","54.55","14.29","12.50",".00","20' 6""","2' 0""","71' 11""","40.38"
