"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/20/2019","Desert Classic","T2","2.947","81.94","62.50","20.00","80.00","26' 8""","54' 5""","40' 4""","60' 1""","20' 0""","-","-","35' 9""","34' 1""","12' 7""","8' 4""","17' 6""","11' 11""","6' 11""","22' 1""","33' 11""","34' 9""","180' 11""","63' 5""","-","-","54' 5""","-","102' 7""","22' 9""","19' 8""","11' 2""","-","-","-","-","1","60"
"1/13/2019","Sony Open in Hawaii","T57","-.417","70.83","77.78","57.14","71.43","33' 4""","54' 3""","66' 8""","46' 10""","27' 5""","-","-","56' 5""","36' 5""","14' 0""","19' 1""","21' 2""","18' 4""","13' 10""","24' 2""","44' 11""","43' 1""","-","62' 7""","77' 7""","105' 8""","54' 3""","-","81' 11""","56' 10""","64' 1""","22' 6""","58' 6""","58' 6""","-","-","1","6"
"11/25/2018","(*) ISPS Handa World Cup","T4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T10","-","77.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-"
"10/28/2018","WGC-HSBC Champions","T30","-","61.11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T10","-","75.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/7/2018","Safeway Open","CUT","-.663","75.00","62.50",".00","60.00","32' 6""","39' 2""","23' 2""","55' 3""","29' 2""","74' 10""","45' 2""","61' 1""","29' 10""","4' 10""","12' 3""","19' 3""","13' 11""","19' 0""","21' 7""","29' 11""","53' 9""","-","-","26' 0""","-","56' 6""","10' 4""","26' 0""","150' 5""","22' 1""","42' 0""","10' 4""","-","6' 0""","12' 7""","-","-"
"9/9/2018","BMW Championship","T19","-.253","81.94","55.56","60.00","80.00","36' 10""","49' 11""","39' 2""","51' 8""","32' 10""","153' 3""","44' 1""","48' 6""","33' 0""","6' 9""","16' 2""","18' 2""","17' 1""","29' 1""","25' 9""","37' 5""","51' 4""","-","16' 11""","144' 2""","-","52' 2""","36' 1""","80' 7""","50' 2""","54' 0""","45' 1""","28' 8""","32' 0""","22' 1""","-","1","17"
"9/3/2018","Dell Technologies Champ","T21",".373","68.06","56.25","33.33","66.67","39' 1""","35' 8""","35' 8""","-","36' 4""","66' 6""","48' 4""","62' 1""","43' 2""","-","12' 7""","19' 3""","15' 3""","10' 4""","31' 2""","40' 2""","52' 7""","-","-","-","-","35' 8""","-","-","-","30' 6""","40' 10""","-","-","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T11","-.964","61.11","43.75",".00","57.14","40' 7""","53' 7""","59' 9""","49' 9""","36' 1""","75' 9""","-","49' 11""","46' 11""","-","34' 10""","45' 0""","37' 11""","21' 6""","21' 5""","40' 10""","52' 10""","-","-","-","41' 6""","56' 10""","35' 8""","41' 6""","75' 5""","43' 11""","18' 11""","64' 2""","121' 1""","15' 2""","56' 2""","-","-"
"8/12/2018","PGA Championship","CUT","-.584","63.89","60.00",".00","33.33","49' 10""","70' 11""","107' 5""","43' 6""","43' 9""","102' 5""","-","51' 8""","49' 7""","15' 7""","69' 2""","17' 8""","37' 10""","23' 0""","36' 5""","37' 4""","61' 7""","133' 8""","-","-","63' 6""","70' 11""","-","86' 10""","-","48' 4""","69' 6""","-","-","-","-","2","14"
