"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/20/2019","Desert Classic","T2","-.483","100.00","3' 2""","84.62","100.00","83.33","-","-","66.67","100.00"
"1/13/2019","Sony Open in Hawaii","T57","-.999","50.00","13' 9""","47.62","100.00",".00","66.67",".00","36.36","66.67"
"11/25/2018","(*) ISPS Handa World Cup","T4","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T10","-","75.00","-","62.50","-","75.00","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T30","-","85.71","-","53.57","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T10","-","66.67","-","66.67","-","-","-","-","-","-"
"10/7/2018","Safeway Open","CUT","-1.229","100.00","4' 1""","44.44","-","33.33","100.00","50.00","66.67",".00"
"9/9/2018","BMW Championship","T19",".688",".00","5' 5""","61.54","100.00","66.67","66.67","50.00","66.67","100.00"
"9/3/2018","Dell Technologies Champ","T21","-.125","25.00","5' 8""","65.22","100.00","37.50",".00","20.00","81.82","83.33"
"8/26/2018","THE NORTHERN TRUST","T11",".838","83.33","7' 8""","71.43","100.00","55.56","33.33","75.00","69.23","100.00"
"8/12/2018","PGA Championship","CUT",".977",".00","7' 9""","61.54","-","75.00","33.33","100.00","66.67","66.67"
"8/5/2018","WGC-Bridgestone Invit'l","DNS","-","-","-","-","-","-","-","-","-","-"
"7/29/2018","RBC Canadian Open","CUT",".182","83.33","5' 0""","66.67",".00","75.00",".00","50.00","71.43","100.00"
"7/22/2018","The Open Championship","T35","-","80.00","-","64.29","-","-","-","-","-","-"
"7/1/2018","Quicken Loans National","T48",".082","50.00","10' 3""","61.54","100.00","40.00","20.00","25.00","72.73","100.00"
"6/24/2018","Travelers Championship","T42","-.505","66.67","6' 9""","63.64","100.00","60.00",".00","50.00","66.67","83.33"
"6/17/2018","U.S. Open","CUT",".757","33.33","8' 4""","44.44",".00","-","20.00","60.00","33.33","-"
"6/3/2018","the Memorial Tournament","T74","-.161","30.00","8' 10""","31.58","-","42.86",".00","50.00","33.33","40.00"
"5/27/2018","Fort Worth Invitational","T52","-.204","66.67","7' 0""","62.50","100.00","50.00",".00","25.00","64.29","100.00"
"5/13/2018","THE PLAYERS Championship","T57","-.999","30.77","11' 3""","52.38","-","100.00","33.33","66.67","45.45","75.00"
"5/6/2018","Wells Fargo Championship","T16",".522","42.86","8' 6""","62.50","100.00","83.33","50.00","40.00","57.14","100.00"
"4/8/2018","Masters Tournament","T24","-","83.33","-","54.55","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","T12",".965","100.00","3' 7""","86.36","100.00","60.00","66.67","83.33","80.00","100.00"
"3/4/2018","WGC-Mexico Championship","T9",".325","57.14","4' 5""","70.59","100.00","81.82","50.00","33.33","85.71","80.00"
"2/18/2018","Genesis Open","T6",".868","33.33","6' 3""","58.33","100.00","20.00","25.00","50.00","58.33","83.33"
"2/4/2018","Waste Management Phoenix","T43","1.131","45.45","10' 0""","59.09","100.00","50.00",".00","100.00","71.43","100.00"
"1/28/2018","Farmers Insurance Open","T35",".837","30.77","13' 5""","66.67","-","72.73",".00","71.43","70.00","50.00"
"1/21/2018","CareerBuilder Challenge","T3",".454","33.33","-","76.47","100.00","87.50","100.00","100.00","-","100.00"
"1/7/2018","Sentry T of C","32","-.873","20.00","8' 3""","52.17","100.00","33.33","40.00","50.00","40.00","100.00"
"10/29/2017","WGC-HSBC Champions","T65","-","37.50","-","37.93","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T47","-","25.00","-","36.36","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T51","-",".00","-","37.50","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","23","-.469","57.14","11' 4""","54.84","-","46.67","33.33","71.43","61.54","50.00"
"9/17/2017","BMW Championship","T40","-.709","50.00","12' 11""","66.67","100.00","63.64",".00",".00","84.62","100.00"
"9/4/2017","Dell Technologies Champ","T13","1.143","60.00","5' 2""","80.77","-","87.50","100.00","75.00","77.78","100.00"
"8/27/2017","THE NORTHERN TRUST","CUT","-.477","60.00","7' 9""","41.67","-",".00",".00","-","55.56","-"
"8/13/2017","PGA Championship","CUT","-.105","50.00","6' 9""","30.00","-","40.00",".00","25.00","50.00","33.33"
"8/6/2017","WGC-Bridgestone Invit'l","T5",".269","71.43","5' 9""","70.83","100.00","61.54",".00","75.00","75.00","83.33"
"7/30/2017","RBC Canadian Open","CUT","-.526",".00","23' 4""","61.54","100.00","50.00","60.00","100.00",".00","80.00"
"7/23/2017","The Open Championship","CUT","-","50.00","-","50.00","-","-","-","-","-","-"
"7/2/2017","Quicken Loans National","CUT","-1.849",".00","36' 7""","43.75","-","60.00","60.00",".00","33.33","100.00"
"6/25/2017","Travelers Championship","T57",".026","50.00","12' 8""","72.73","80.00","42.86","50.00","80.00","66.67","100.00"
"6/18/2017","U.S. Open","T60","-.082",".00","13' 2""","45.45","100.00",".00","14.29","33.33","75.00","100.00"
"6/4/2017","the Memorial Tournament","CUT","-.036","54.55","6' 1""","57.14","100.00","83.33","50.00","66.67","53.85","100.00"
"5/28/2017","DEAN & DELUCA Invt'l","T53","-.131","64.29","6' 2""","60.61","-","50.00","25.00","40.00","84.62","66.67"
"5/14/2017","THE PLAYERS Championship","T30",".111","80.00","10' 0""","56.00","50.00","75.00",".00","75.00","57.14","100.00"
"4/23/2017","Valero Texas Open","T72","-.359","37.50","10' 8""","53.33","100.00","58.33","33.33","37.50","41.67","100.00"
"4/16/2017","RBC Heritage","T22",".787","75.00","6' 2""","69.57","100.00","50.00",".00","100.00","64.29","83.33"
"4/9/2017","Masters Tournament","T36","-","66.67","-","53.33","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","6",".039","40.00","11' 10""","81.82","100.00","100.00","-",".00","85.71","100.00"
"3/12/2017","Valspar Championship","1",".280","50.00","5' 3""","76.19","100.00","75.00",".00","100.00","72.73","100.00"
"2/19/2017","Genesis Open","T34",".406","85.71","8' 3""","84.62","100.00","87.50",".00","57.14","100.00","100.00"
"2/12/2017","AT&T Pebble Beach","T39","-1.472","57.14","10' 4""","69.57","-","75.00","50.00","100.00","50.00","100.00"
"2/5/2017","Waste Management Phoenix","T12",".592","53.85","9' 0""","73.91","66.67","100.00","100.00","72.73","85.71","66.67"
"1/29/2017","Farmers Insurance Open","T49","-.899","77.78","5' 2""","61.54","-","60.00","50.00",".00","75.00","100.00"
"1/22/2017","CareerBuilder Challenge","2","-.880","100.00","-","82.61","100.00","69.23","50.00","66.67","80.00","100.00"
"11/27/2016","(*) ISPS HANDA World Cup","T11","-","-","-","-","-","-","-","-","-","-"
"11/13/2016","OHL Classic at Mayakoba","T10","-","66.67","-","57.14","-","100.00","-","-","-","-"
"11/6/2016","Shriners Hospitals","T27",".621","75.00","6' 3""","57.89","66.67","25.00","50.00","33.33","66.67","100.00"
"10/23/2016","CIMB Classic","T21","-","80.00","-","65.00","-","-","-","-","-","-"
"10/16/2016","Safeway Open","CUT","-.087","75.00","5' 0""","55.56","100.00",".00",".00","100.00","66.67","100.00"
"9/5/2016","Deutsche Bank Champ","T46",".427","42.86","5' 10""","64.00","66.67","100.00","42.86","60.00","66.67","100.00"
"8/28/2016","The Barclays","T64",".047","68.75","9' 4""","50.00",".00","50.00","33.33","71.43","50.00","50.00"
"8/21/2016","Wyndham Championship","T33",".738","100.00","3' 9""","77.78","80.00","50.00","33.33","100.00","80.00","100.00"
"8/14/2016","John Deere Classic","T8",".322","66.67","8' 0""","66.67","100.00","66.67",".00","66.67","50.00","85.71"
"8/7/2016","Travelers Championship","CUT",".466","100.00","2' 8""","47.06","50.00","42.86",".00","50.00","66.67","75.00"
"7/24/2016","RBC Canadian Open","T49",".459","57.14","5' 10""","70.00","100.00","64.71","50.00","-","66.67","87.50"
"6/26/2016","Quicken Loans National","CUT","-.287","60.00","5' 0""","40.00","100.00",".00",".00","100.00","33.33","100.00"
"6/5/2016","the Memorial Tournament","T11",".356","50.00","5' 11""","50.00","50.00","38.46",".00","100.00","55.56","55.56"
"5/29/2016","DEAN & DELUCA Invt'l","T22",".634","80.00","5' 4""","63.64","100.00","75.00","25.00","50.00","70.00","100.00"
"5/22/2016","AT&T Byron Nelson","T58","-.730","66.67","10' 3""","60.00","75.00","80.00","16.67","50.00","72.73","100.00"
"5/15/2016","THE PLAYERS Championship","T39","-.005","57.14","12' 9""","58.82","100.00","70.00","40.00","50.00","61.54","85.71"
"5/8/2016","Wells Fargo Championship","T61","-.729","25.00","13' 7""","59.26","33.33","58.33","57.14","60.00","77.78","40.00"
"5/1/2016","Zurich Classic of New Orl","T36","-.240","40.00","9' 9""","50.00","-","100.00",".00","40.00","33.33","100.00"
"4/17/2016","RBC Heritage","T30","-.260","62.50","11' 2""","65.52","100.00","33.33","40.00","60.00","76.92","80.00"
"4/3/2016","Shell Houston Open","CUT","-.387","50.00","7' 1""","36.36","-","20.00",".00",".00","100.00","100.00"
"3/20/2016","Arnold Palmer Invt'l","T36","-1.053","50.00","8' 2""","65.00","100.00","83.33",".00","60.00","81.82","100.00"
"3/13/2016","Valspar Championship","CUT","-.320",".00","8' 3""","46.67","100.00","55.56","20.00","50.00","75.00","50.00"
"2/28/2016","The Honda Classic","CUT","-1.875","20.00","9' 5""","50.00","-","25.00",".00",".00","71.43","100.00"
"2/21/2016","Northern Trust Open","T16","-.060","28.57","15' 10""","54.17","66.67","50.00","50.00","60.00","46.15","75.00"
"2/7/2016","Waste Management Phoenix","T17",".507","62.50","7' 7""","67.86","100.00","60.00","42.86","60.00","76.92","100.00"
"1/31/2016","Farmers Insurance Open","T63","-.758","44.44","9' 5""","48.39","-","52.94","50.00","40.00","42.86","66.67"
"1/24/2016","CareerBuilder Challenge","T6","-.085","83.33","4' 8""","66.67","66.67","57.14","-","100.00","57.14",".00"
"1/17/2016","Sony Open in Hawaii","T67","-.382","57.14","6' 1""","47.83","66.67","50.00",".00","20.00","54.55","100.00"
"11/15/2015","OHL Classic at Mayakoba","CUT","-","33.33","-","30.77","100.00","40.00","-","-","-","-"
"11/8/2015","Sanderson Farms Champ.","T28","-.003","60.00","9' 5""","73.68","75.00","75.00",".00","25.00","100.00","75.00"
"10/25/2015","Shriners Hospitals","CUT",".432","75.00","14' 5""","50.00","100.00",".00",".00",".00","83.33","100.00"
"10/18/2015","Frys.com Open","T41","-.276","57.14","6' 1""","70.83","100.00","61.54","-","66.67","72.73","71.43"
"8/30/2015","The Barclays","CUT","-1.542","20.00","10' 4""","33.33","-","33.33",".00","100.00","28.57","100.00"
"8/23/2015","Wyndham Championship","T51",".752","66.67","12' 8""","52.17","80.00","25.00",".00","100.00","66.67","100.00"
"8/9/2015","Barracuda Championship","CUT","-","-","-","-","-","-","-","-","-","-"
"8/2/2015","Quicken Loans National","T21",".040","40.00","7' 1""","53.33","100.00","66.67","25.00",".00","77.78","-"
"7/26/2015","RBC Canadian Open","T7",".716","77.78","5' 2""","66.67","100.00","75.00",".00","33.33","87.50","100.00"
"7/12/2015","John Deere Classic","T18",".937","75.00","10' 0""","86.36","100.00","66.67","60.00","100.00","100.00","90.00"
"7/5/2015","The Greenbrier Classic","CUT","-.518",".00","26' 9""","50.00","100.00","66.67","25.00","100.00","100.00","50.00"
"6/28/2015","Travelers Championship","CUT",".376","100.00","13' 8""","60.00","100.00","50.00","33.33","33.33","100.00","100.00"
"6/7/2015","the Memorial Tournament","T57",".726","66.67","6' 2""","52.00","100.00","50.00",".00","25.00","50.00","88.89"
"5/31/2015","AT&T Byron Nelson","T71",".457","33.33","4' 5""","55.56","50.00","33.33","100.00","-","20.00","-"
"5/24/2015","Crowne Plaza Invitational","T5","-.558","60.00","14' 11""","70.00","100.00","100.00","50.00","71.43","75.00","71.43"
"5/17/2015","Wells Fargo Championship","CUT","-.757","33.33","11' 11""","55.56","100.00","33.33","66.67","50.00","44.44","100.00"
"5/10/2015","THE PLAYERS Championship","CUT","-1.440","-","-","42.86","100.00","80.00",".00",".00","66.67","100.00"
"4/26/2015","Zurich Classic of New Orl","CUT","1.574","100.00","1' 5""","66.67","100.00","-","-","100.00",".00","100.00"
"4/19/2015","RBC Heritage","CUT","-.026","66.67","8' 3""","53.33","100.00","40.00",".00","50.00","60.00","100.00"
"4/5/2015","Shell Houston Open","T25","-.099",".00","22' 11""","70.00","100.00","85.71","75.00","50.00","50.00","100.00"
"3/29/2015","Valero Texas Open","CUT","-.823","28.57","15' 7""","31.58","100.00","42.86","16.67",".00","57.14","50.00"
"3/15/2015","Valspar Championship","71","-.008","50.00","5' 11""","46.43","57.14","45.45","20.00",".00","50.00","71.43"
"3/8/2015","Puerto Rico Open","T27","-","75.00","-","69.23","100.00","50.00","-","-","-","-"
"3/1/2015","The Honda Classic","T31",".326","66.67","6' 7""","59.09","100.00","55.56","37.50","66.67","77.78","100.00"
"2/22/2015","Northern Trust Open","T22","-.406","22.22","11' 6""","68.57","100.00","72.73",".00","33.33","83.33","100.00"
"2/8/2015","Farmers Insurance Open","T32",".475","70.00","9' 3""","44.83","100.00","25.00","10.00","50.00","66.67","100.00"
"2/1/2015","Waste Management Phoenix","CUT","-.316","25.00","5' 8""","65.00","100.00","80.00","33.33","33.33","70.00","100.00"
"1/25/2015","Humana Challenge","T48",".031","41.67","6' 4""","72.22","100.00","85.71",".00","-","50.00","100.00"
"1/18/2015","Sony Open in Hawaii","CUT","-.648","60.00","10' 6""","40.00","100.00","33.33","33.33","100.00",".00","50.00"
"11/16/2014","OHL Classic at Mayakoba","CUT","-","100.00","-","69.23","100.00","50.00","-","-","-","-"
"11/9/2014","Sanderson Farms Champ.","T73",".007","66.67","10' 5""","59.09","100.00","33.33","50.00","80.00","55.56","100.00"
"10/26/2014","The McGladrey Classic","T81",".289",".00","8' 8""","73.68","100.00","75.00","80.00","66.67","66.67","100.00"
"10/19/2014","Shriners Hospitals","T10",".399","33.33","13' 4""","61.54","100.00","50.00","25.00",".00","83.33","100.00"
"10/12/2014","Frys.com Open","T53","-.594","71.43","6' 6""","50.00","100.00","40.00","33.33","40.00","66.67","40.00"
"7/27/2014","RBC Canadian Open","T53","-.120","53.85","5' 2""","56.52","100.00","57.14","33.33","33.33","70.00","75.00"
"7/28/2013","RBC Canadian Open","CUT",".491","75.00","4' 7""","52.94","100.00","57.14","25.00","-","71.43","75.00"
"6/16/2013","U.S. Open","CUT","-","33.33","-","25.00","-","-","-","-","-","-"
"1/27/2013","Farmers Insurance Open","W/D","-.197","60.00","7' 10""","61.54","-","57.14",".00","50.00","66.67","50.00"
"12/3/2012","(*) PGA TOUR Qualifying Tourn","T32","-","-","-","-","-","-","-","-","-","-"
"7/29/2012","RBC Canadian Open","CUT","-1.368","50.00","6' 2""","50.00","100.00","33.33",".00","16.67","85.71","-"
"12/5/2011","(*) PGA TOUR Qualifying Tourn","T100","-","-","-","-","-","-","-","-","-","-"
"10/16/2011","The McGladrey Classic","70",".137","50.00","6' 6""","50.00","100.00","41.67","30.00","100.00","66.67","-"
"10/9/2011","Frys.com Open","T7","-.097","100.00","7' 8""","76.47","100.00","75.00","33.33","-","100.00","100.00"
"7/31/2011","The Greenbrier Classic","T32",".259","60.00","8' 7""","65.38","85.71","50.00","40.00",".00","66.67","100.00"
"7/24/2011","RBC Canadian Open","T4","-.219","50.00","8' 5""","65.22","100.00","71.43","44.44",".00","100.00","85.71"
"6/19/2011","U.S. Open","T39","-","42.86","-","31.25","-","-","-","-","-","-"
"7/25/2010","RBC Canadian Open","T37","-.066",".00","11' 2""","56.52","100.00","58.33",".00","75.00","50.00","100.00"
