"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/20/2019","Desert Classic","T2","3.462",".998","288.3","277.2","312","71.43","8' 6""","10.71","21.43","50","-","-"
"1/13/2019","Sony Open in Hawaii","T57","-.489",".927","316.8","294.0","347","62.50","13' 1""","10.71","17.86","22","111.77","27"
"11/25/2018","(*) ISPS Handa World Cup","T4","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T10","-","-","285.8","-","299","67.86","-","-","-","72","-","-"
"10/28/2018","WGC-HSBC Champions","T30","-","-","-","-","326","62.50","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T10","-","-","-","-","-","76.79","-","-","-","-","-","-"
"10/7/2018","Safeway Open","CUT","-1.601",".291","304.0","284.6","318","57.14","27' 8""","10.71","17.86","1,998","109.94","1,998"
"9/9/2018","BMW Championship","T19",".147","-.288","288.1","282.3","330","69.64","22' 9""","5.36","21.43","84","110.87","39"
"9/3/2018","Dell Technologies Champ","T21",".430",".182","295.6","282.9","329","76.79","25' 11""","7.14","1.79","61","112.07","75"
"8/26/2018","THE NORTHERN TRUST","T11","-.129","-.004","275.3","281.0","311","60.71","23' 2""","9.09","23.64","107","111.45","44"
"8/12/2018","PGA Championship","CUT",".705",".311","292.5","286.7","313","60.71","19' 5""","10.71","14.29","1,998","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","DNS","-","-","-","-","-","-","-","-","-","-","-","-"
"7/29/2018","RBC Canadian Open","CUT","-.043","-.067","294.3","298.2","336","42.86","34' 3""","14.81","14.81","1,998","110.79","1,998"
"7/22/2018","The Open Championship","T35","-","-","290.5","-","322","56.67","-","-","-","104","-","-"
"7/1/2018","Quicken Loans National","T48",".770",".366","290.9","286.1","332","73.21","19' 8""","14.29","1.79","62","110.01","57"
"6/24/2018","Travelers Championship","T42","-.586",".191","283.3","280.2","332","71.43","20' 4""","10.71","7.14","88","110.12","55"
"6/17/2018","U.S. Open","CUT","-1.634","-1.160","283.8","277.7","328","75.00","-",".00","17.86","1,998","-","-"
"6/3/2018","the Memorial Tournament","T74","-.738","-.044","284.5","280.4","316","80.95","26' 1""","4.76","9.52","1,998","112.98","1,998"
"5/27/2018","Fort Worth Invitational","T52",".918",".821","305.1","282.8","338","66.07","18' 2""","5.36","19.64","26","112.51","21"
"5/13/2018","THE PLAYERS Championship","T57","-.195",".802","293.4","285.1","345","71.43","23' 6""","8.93","3.57","44","111.39","24"
"5/6/2018","Wells Fargo Championship","T16",".891","-.305","286.9","293.9","347","55.36","20' 0""","8.93","17.86","95","111.01","-"
"4/8/2018","Masters Tournament","T24","-","-","291.9","-","314","69.64","-","-","-","41","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-"
