"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/20/2019","Desert Classic","T2",".919","68.3","1.559","1.486","50.00","1.39","26.75","29.00","25.00","27.00","26.00","100.00","100.00","100.00",".00","100.00","-","-","33.33","87.50","91.18","33.33","33.33","16.67",".00","21' 11""","2' 3""","73' 7""","44.83"
"1/13/2019","Sony Open in Hawaii","T57",".500","66.2","1.784","1.667","33.33","2.78","30.00","35.00","27.00","29.00","29.00","100.00","100.00","100.00","66.67","33.33","100.00","50.00","33.33","70.00","89.71","58.33","12.50","16.67",".00","23' 4""","2' 7""","77' 10""","33.33"
"11/25/2018","(*) ISPS Handa World Cup","T4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T10","-","-","1.661","1.542","40.28",".00","27.75","26.00","29.00","28.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","32.73"
"10/28/2018","WGC-HSBC Champions","T30","-","-","1.750","1.583","47.22","5.56","28.50","33.00","25.00","24.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","31.82"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T10","-","-","1.722","1.583","41.67","2.78","28.50","28.00","34.00","28.00","24.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33.33"
"10/7/2018","Safeway Open","CUT","-.881","-","1.741","1.722","33.33","5.56","31.00","33.00","29.00","-","-","100.00","100.00","100.00","50.00","75.00","50.00","100.00",".00","64.29","85.37",".00",".00",".00","20.00","31' 8""","2' 0""","69' 2""","29.63"
"9/9/2018","BMW Championship","T19",".737","33.6","1.780","1.667","29.17","1.39","30.00","31.00","32.00","28.00","29.00","100.00","100.00","100.00","80.00","50.00","50.00","-","100.00","73.33","94.03","57.14","20.00",".00","3.33","30' 1""","1' 11""","66' 8""","28.81"
"9/3/2018","Dell Technologies Champ","T21",".667","57.1","1.735","1.556","44.44","2.78","28.00","26.00","27.00","29.00","30.00","100.00","100.00","100.00","100.00","50.00","25.00","33.33","100.00","70.59","90.14","57.14","50.00",".00","6.67","57' 2""","3' 2""","82' 8""","34.69"
"8/26/2018","THE NORTHERN TRUST","T11","2.022","21.8","1.591","1.444","55.56",".00","26.00","28.00","23.00","26.00","27.00","100.00","100.00","85.71","83.33","100.00","80.00",".00","-","85.71","92.31","58.33","33.33","16.67","8.33","27' 3""","2' 5""","96' 6""","40.91"
"8/12/2018","PGA Championship","CUT","-1.719","-","2.000","1.694","25.00","5.56","30.50","28.00","33.00","-","-","100.00","100.00","80.00","100.00","25.00","66.67","33.33","-","64.29","82.50","14.29",".00","-",".00","12' 8""","2' 7""","53' 7""","8.70"
"8/5/2018","WGC-Bridgestone Invit'l","DNS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7/29/2018","RBC Canadian Open","CUT",".146","-","1.708","1.528","41.67",".00","27.50","29.00","26.00","-","-","100.00","100.00","100.00",".00","50.00","50.00",".00","100.00","50.00","86.11","50.00",".00",".00",".00","12' 11""","1' 9""","61' 3""","29.17"
"7/22/2018","The Open Championship","T35","-","-","1.864","1.639","37.50","1.39","29.50","31.00","28.00","28.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","22.73"
"7/1/2018","Quicken Loans National","T48","-.642","72.1","1.804","1.597","37.50",".00","28.75","29.00","31.00","27.00","28.00","100.00","100.00","100.00","100.00","20.00",".00",".00","50.00","58.33","89.33","22.22","14.29",".00","5.88","30' 0""","1' 8""","54' 8""","23.91"
"6/24/2018","Travelers Championship","T42","1.021","68.3","1.780","1.653","36.11","1.39","29.75","31.00","28.00","31.00","29.00","100.00","100.00","80.00",".00","80.00","100.00","50.00","-","69.23","91.04","46.67","12.50","16.67","8.70","29' 1""","2' 0""","83' 5""","26.00"
"6/17/2018","U.S. Open","CUT","-2.331","-","2.167","1.861","33.33","19.44","33.50","36.00","31.00","-","-","92.31","66.67","66.67","20.00","50.00","100.00","-",".00","50.00","73.33","50.00",".00",".00","7.14","36' 6""","3' 4""","76' 6""","5.56"
"6/3/2018","the Memorial Tournament","T74","-.199","-","1.657","1.611","40.74","1.85","29.00","28.00","29.00","30.00","-","100.00","80.00","100.00","-","50.00","20.00","100.00","100.00","53.85","85.71","33.33","25.00",".00",".00","20' 0""","2' 4""","73' 8""","40.00"
"5/27/2018","Fort Worth Invitational","T52","-.539","93.5","1.792","1.611","41.67","5.56","29.00","26.00","29.00","30.00","31.00","97.62","91.67","100.00","25.00","20.00","100.00","50.00","-","58.82","86.30","57.14","30.00","14.29",".00","21' 1""","2' 7""","71' 2""","31.25"
"5/13/2018","THE PLAYERS Championship","T57",".470","90.9","1.784","1.667","37.50","4.17","30.00","30.00","28.00","31.00","31.00","100.00","100.00","57.14","50.00","85.71","60.00","33.33",".00","65.22","82.43","35.71","50.00","66.67","4.35","26' 5""","2' 7""","90' 4""","31.37"
"5/6/2018","Wells Fargo Championship","T16",".778","82.2","1.792","1.639","38.89","5.56","29.50","31.00","29.00","27.00","31.00","100.00","100.00","80.00","50.00","100.00","100.00",".00",".00","71.43","89.71","42.86","14.29","33.33","4.35","26' 0""","2' 11""","78' 3""","29.17"
"4/8/2018","Masters Tournament","T24","-","-","1.840","1.667","37.50","4.17","30.00","32.00","27.00","31.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32.00"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","T12","-.799","97.8","1.920","1.625","34.72","2.78","29.25","27.00","28.00","31.00","31.00","97.96","84.62","100.00","100.00","100.00","66.67","33.33","50.00","87.50","90.67",".00",".00","16.67","4.76","39' 4""","2' 2""","57' 10""","14.00"
"3/4/2018","WGC-Mexico Championship","T9",".319","66.8","1.764","1.611","40.28","4.17","29.00","32.00","29.00","28.00","27.00","97.92","100.00","60.00","50.00",".00","100.00","40.00",".00","53.85","83.78","33.33","33.33",".00","16.67","37' 5""","1' 11""","80' 9""","30.91"
"2/18/2018","Genesis Open","T6","-.087","66.2","1.625","1.528","36.11",".00","27.50","30.00","28.00","26.00","26.00","100.00","87.50","80.00","50.00","75.00","100.00",".00",".00","71.43","85.71","45.45","33.33","12.50",".00","24' 4""","2' 6""","65' 2""","32.61"
"2/4/2018","Waste Management Phoenix","T43","-.094","84.1","1.760","1.583","37.50","4.17","28.50","29.00","26.00","29.00","30.00","100.00","100.00","100.00","25.00","50.00","75.00","100.00","25.00","70.00","87.50","30.00","28.57",".00","5.26","42' 6""","2' 8""","74' 8""","30.00"
