"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"12/2/2018","(*) Hero World Challenge","T8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T18","-","63.89","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","83.33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T24",".039","80.56","66.67","33.33","50.00","36' 9""","38' 9""","35' 3""","40' 9""","34' 3""","-","95' 7""","66' 6""","30' 9""","6' 6""","16' 4""","24' 7""","19' 8""","28' 0""","26' 4""","40' 4""","53' 8""","-","-","-","25' 0""","41' 0""","30' 4""","25' 0""","46' 7""","62' 10""","29' 2""","29' 10""","27' 11""","16' 6""","44' 2""","1","61"
"9/3/2018","Dell Technologies Champ","T43",".234","56.94","68.75","27.27","36.36","40' 1""","44' 0""","48' 5""","41' 9""","36' 10""","-","102' 3""","61' 3""","39' 9""","-","10' 1""","10' 1""","10' 1""","22' 9""","33' 2""","36' 9""","55' 8""","-","-","75' 3""","87' 9""","47' 10""","2' 0""","84' 8""","30' 8""","21' 6""","30' 7""","2' 0""","-","-","2' 0""","1","6"
"8/26/2018","THE NORTHERN TRUST","CUT","-2.262","61.11","62.50","20.00","20.00","45' 1""","50' 8""","50' 11""","50' 6""","44' 6""","96' 2""","62' 1""","71' 5""","43' 2""","-","16' 5""","68' 2""","29' 5""","31' 8""","28' 7""","48' 11""","62' 4""","-","-","81' 1""","84' 11""","50' 8""","-","83' 0""","26' 2""","47' 2""","54' 1""","45' 7""","45' 7""","-","-","-","-"
"8/12/2018","PGA Championship","CUT","-1.117","63.89","40.00","50.00","100.00","32' 11""","38' 9""","45' 9""","34' 2""","31' 6""","51' 5""","-","45' 11""","50' 0""","-","-","14' 5""","14' 5""","26' 4""","27' 4""","34' 0""","49' 6""","-","-","-","71' 9""","43' 4""","20' 6""","71' 9""","19' 8""","34' 3""","-","21' 1""","21' 9""","31' 6""","9' 6""","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T31","-1.414","52.78","62.50","20.00","60.00","39' 0""","45' 10""","57' 9""","40' 3""","33' 3""","-","50' 10""","52' 5""","35' 7""","-","56' 10""","24' 3""","27' 6""","17' 1""","30' 8""","43' 7""","41' 7""","-","35' 3""","-","76' 5""","47' 8""","1' 7""","66' 2""","70' 11""","30' 8""","36' 6""","27' 3""","27' 3""","-","-","1","16"
"7/22/2018","The Open Championship","T17","-","65.28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T25","-.672","45.83","66.67",".00","66.67","52' 0""","76' 3""","109' 7""","69' 7""","50' 9""","94' 11""","97' 7""","94' 3""","72' 6""","-","30' 10""","26' 3""","27' 9""","38' 10""","33' 11""","52' 3""","89' 4""","-","-","-","109' 7""","76' 3""","-","109' 7""","77' 1""","79' 4""","56' 2""","-","-","-","-","-","-"
"5/13/2018","THE PLAYERS Championship","T17",".845","72.22","95.00","26.32","68.42","42' 4""","79' 7""","37' 0""","91' 9""","31' 4""","71' 9""","46' 11""","36' 8""","18' 6""","-","-","15' 6""","15' 6""","23' 2""","25' 8""","42' 2""","42' 4""","-","89' 6""","66' 0""","86' 0""","79' 7""","-","83' 10""","84' 11""","33' 0""","95' 2""","-","-","-","-","-","-"
"5/6/2018","Wells Fargo Championship","CUT","-1.407","58.33","40.00","50.00","50.00","49' 3""","69' 6""","57' 8""","99' 1""","41' 9""","93' 10""","53' 9""","58' 11""","56' 11""","6' 2""","23' 0""","11' 10""","17' 5""","26' 6""","40' 9""","37' 5""","61' 1""","-","-","102' 6""","52' 3""","69' 6""","-","77' 5""","46' 3""","71' 9""","95' 7""","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","CUT","-","52.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T36","-.507","65.28","62.50","20.00","70.00","38' 0""","53' 10""","26' 2""","70' 5""","35' 2""","98' 5""","62' 10""","66' 10""","35' 7""","-","22' 11""","21' 4""","22' 2""","22' 7""","34' 6""","25' 6""","49' 6""","-","57' 9""","-","-","53' 10""","-","57' 9""","61' 9""","69' 4""","29' 9""","11' 5""","11' 5""","-","-","1","13"
"3/4/2018","WGC-Mexico Championship","T14",".892","77.78","60.87","35.71","78.57","38' 3""","50' 6""","67' 0""","40' 7""","31' 2""","46' 7""","67' 0""","38' 4""","42' 8""","22' 9""","15' 8""","13' 6""","15' 1""","11' 8""","24' 1""","41' 10""","47' 1""","96' 2""","-","-","-","68' 11""","19' 10""","96' 2""","39' 7""","77' 11""","65' 9""","21' 7""","32' 3""","30' 11""","8' 8""","-","-"
"2/25/2018","The Honda Classic","3","1.245","68.06","75.00","16.67","50.00","38' 10""","49' 5""","47' 7""","51' 2""","37' 7""","-","79' 9""","59' 2""","52' 1""","-","-","18' 11""","18' 11""","28' 8""","33' 7""","37' 8""","66' 9""","-","71' 11""","-","-","49' 5""","-","71' 11""","52' 5""","39' 4""","44' 10""","51' 6""","51' 6""","-","-","1","22"
"2/18/2018","Genesis Open","T16",".250","59.72","68.75","18.18","63.64","39' 6""","55' 6""","43' 6""","64' 10""","29' 10""","-","70' 9""","39' 2""","32' 9""","-","2' 0""","13' 1""","9' 5""","23' 2""","25' 8""","34' 4""","45' 5""","-","82' 0""","89' 9""","51' 0""","57' 1""","32' 1""","62' 8""","70' 5""","53' 0""","49' 6""","25' 2""","21' 8""","-","32' 1""","-","-"
"2/4/2018","Waste Management Phoenix","T21","1.146","73.61","81.25","23.08","61.54","40' 5""","41' 7""","40' 9""","42' 2""","33' 4""","-","93' 1""","67' 8""","62' 7""","-","-","16' 2""","16' 2""","15' 8""","29' 9""","24' 4""","70' 11""","-","43' 8""","71' 8""","41' 1""","41' 7""","-","49' 4""","-","34' 8""","38' 2""","-","-","-","-","-","-"
"1/28/2018","Farmers Insurance Open","T2","2.200","79.17","58.33","28.57","57.14","34' 6""","39' 8""","45' 0""","37' 0""","33' 1""","107' 11""","21' 7""","53' 11""","35' 5""","-","-","25' 8""","25' 8""","21' 1""","26' 5""","46' 8""","49' 2""","-","43' 9""","-","49' 4""","43' 2""","22' 0""","45' 7""","58' 11""","50' 1""","9' 2""","22' 0""","-","-","22' 0""","-","-"
"12/3/2017","(*) Hero World Challenge","T12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/29/2017","WGC-HSBC Champions","T31","-","58.33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8/13/2017","PGA Championship","T67","-.483","51.39","63.16","33.33","58.33","46' 8""","59' 8""","59' 0""","60' 5""","39' 2""","-","51' 1""","40' 3""","57' 11""","37' 3""","-","29' 2""","31' 2""","21' 3""","24' 2""","37' 0""","50' 9""","-","-","-","37' 5""","61' 4""","52' 0""","37' 5""","41' 10""","108' 4""","67' 8""","52' 0""","-","37' 5""","66' 7""","1","8"
"8/6/2017","WGC-Bridgestone Invit'l","T28",".664","62.50","12.50",".00","100.00","30' 4""","37' 6""","38' 0""","36' 10""","24' 8""","-","-","59' 2""","29' 11""","-","19' 4""","12' 9""","15' 9""","21' 3""","28' 3""","28' 11""","33' 2""","-","-","-","54' 4""","39' 4""","25' 5""","54' 4""","37' 1""","28' 4""","41' 10""","29' 10""","45' 7""","18' 2""","10' 1""","-","-"
"7/23/2017","The Open Championship","T6","-","69.44","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/18/2017","U.S. Open","CUT",".599","72.22","10.00","100.00","100.00","38' 11""","59' 11""","33' 10""","67' 4""","32' 0""","-","47' 1""","24' 9""","35' 4""","19' 7""","32' 3""","13' 1""","22' 0""","33' 9""","27' 9""","36' 8""","35' 7""","-","-","-","42' 8""","63' 10""","28' 4""","42' 8""","49' 0""","99' 3""","65' 1""","46' 2""","63' 11""","28' 4""","-","-","-"
"5/14/2017","THE PLAYERS Championship","10","1.619","75.00","78.95","6.67","60.00","41' 6""","49' 0""","63' 2""","46' 8""","36' 6""","-","59' 6""","59' 0""","51' 0""","-","15' 8""","27' 1""","23' 3""","31' 10""","28' 7""","31' 11""","56' 7""","-","62' 2""","65' 9""","-","47' 11""","63' 0""","64' 4""","49' 3""","20' 7""","34' 6""","39' 3""","15' 5""","-","63' 0""","1","11"
"5/7/2017","Wells Fargo Championship","T31","-.180","72.22","26.32","20.00","60.00","40' 7""","28' 11""","29' 10""","26' 11""","36' 10""","-","-","86' 8""","81' 4""","-","23' 11""","25' 4""","24' 9""","27' 0""","33' 5""","38' 6""","83' 5""","-","-","-","-","31' 2""","21' 7""","-","34' 3""","41' 5""","21' 9""","23' 8""","26' 9""","27' 10""","9' 1""","2","15"
"4/9/2017","Masters Tournament","CUT","-","55.56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T49","-.772","54.17","70.59","16.67","41.67","50' 1""","68' 4""","56' 0""","72' 11""","46' 10""","143' 0""","110' 4""","57' 2""","49' 9""","20' 10""","-","45' 8""","37' 4""","19' 3""","26' 6""","38' 6""","70' 7""","-","-","-","66' 8""","68' 4""","-","66' 8""","90' 8""","63' 9""","-","47' 1""","47' 1""","-","-","-","-"
"3/5/2017","WGC-Mexico Championship","T55","-1.099","62.50","52.63",".00","40.00","40' 8""","53' 9""","63' 8""","42' 1""","33' 0""","46' 5""","69' 8""","50' 8""","39' 4""","21' 9""","4' 8""","31' 9""","24' 7""","24' 7""","31' 5""","26' 4""","49' 6""","104' 2""","-","87' 10""","26' 2""","60' 2""","18' 3""","72' 9""","46' 8""","-","63' 6""","23' 1""","32' 10""","18' 3""","-","1","24"
"11/27/2016","(*) ISPS HANDA World Cup","T5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T12","-","75.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7/31/2016","PGA Championship","T49","-.082","72.22","12.50","100.00","100.00","35' 0""","38' 0""","46' 3""","32' 1""","32' 10""","-","-","15' 2""","51' 4""","23' 1""","-","18' 3""","19' 5""","28' 10""","22' 4""","33' 8""","48' 9""","-","-","69' 10""","98' 7""","38' 0""","-","84' 3""","32' 11""","39' 6""","29' 10""","16' 9""","16' 9""","-","-","-","-"
"7/17/2016","The Open Championship","T46","-","56.94","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/19/2016","U.S. Open","CUT","-","55.56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/8/2015","WGC-HSBC Champions","T54","-","63.89","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
