"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"12/2/2018","(*) Hero World Challenge","T8","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T18","-","61.54","-","65.38","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","46.15","-","50.00","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T24","-.068",".00","15' 1""","78.57","100.00","100.00","100.00","100.00","50.00","100.00"
"9/3/2018","Dell Technologies Champ","T43","-.158","60.00","12' 4""","70.97","100.00","61.54","33.33","71.43","90.91","66.67"
"8/26/2018","THE NORTHERN TRUST","CUT","-.506",".00","14' 6""","64.29","-","100.00",".00","75.00","62.50","100.00"
"8/12/2018","PGA Championship","CUT",".995","100.00","2' 4""","84.62","100.00","66.67","75.00","100.00","100.00","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T31","-.030","50.00","8' 8""","61.76","100.00","68.75","37.50","50.00","68.75","83.33"
"7/22/2018","The Open Championship","T17","-",".00","-","64.00","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T25",".062","58.33","12' 4""","53.85","100.00","60.00","28.57","66.67","64.29","100.00"
"5/13/2018","THE PLAYERS Championship","T17",".010","40.00","10' 8""","65.00","100.00","28.57","66.67","33.33","66.67","100.00"
"5/6/2018","Wells Fargo Championship","CUT","-.405","20.00","11' 6""","40.00","100.00","100.00","33.33","33.33","50.00","100.00"
"4/8/2018","Masters Tournament","CUT","-","80.00","-","47.06","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","3","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T36","-.041","54.55","8' 1""","56.00","100.00","66.67",".00","57.14","88.89","66.67"
