"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"12/2/2018","(*) Hero World Challenge","T8","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T18","-","-","-","-","325","57.14","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","-","-","-","-","73.21","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T24","-.006",".024","296.9","292.3","324","60.71","19' 6""","12.50","23.21","91","118.88","93"
"9/3/2018","Dell Technologies Champ","T43","-.387","-.463","298.9","284.9","326","62.50","22' 5""","8.93","19.64","92","119.55","139"
"8/26/2018","THE NORTHERN TRUST","CUT","-2.515",".253","287.3","286.8","308","42.86","24' 6""","25.00","28.57","1,998","117.89","1,998"
"8/12/2018","PGA Championship","CUT","-.055",".067","296.8","283.4","319","57.14","15' 11""","14.29","25.00","1,998","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T31","-1.931","-.488","303.1","301.1","383","42.86","23' 4""","14.55","32.73","120","118.16","123"
"7/22/2018","The Open Championship","T17","-","-","305.0","-","343","51.67","-","-","-","95","-","-"
"6/17/2018","U.S. Open","T25","-.226",".385","301.4","292.0","348","78.57","-","5.36","10.71","56","-","-"
"5/13/2018","THE PLAYERS Championship","T17","1.109",".255","284.4","280.9","316","73.21","27' 2""","3.64","12.73","70","118.38","139"
"5/6/2018","Wells Fargo Championship","CUT","-1.854","-.042","301.3","297.8","328","57.14","25' 8""","17.86","10.71","1,998","-","-"
"4/8/2018","Masters Tournament","CUT","-","-","286.0","-","304","50.00","-","-","-","1,998","-","-"
"3/25/2018","WGC-Dell Tech Match Play","3","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T36","-.174",".375","293.6","279.2","319","71.43","11' 5""","7.14","10.71","55","116.48","86"
"3/4/2018","WGC-Mexico Championship","T14","1.715",".626","316.3","304.8","368","62.50","26' 10""","16.07","17.86","28","115.20","99"
"2/25/2018","The Honda Classic","3","2.041",".670","296.6","275.1","353","69.64","33' 8""","7.27","10.91","40","119.43","130"
"2/18/2018","Genesis Open","T16",".384",".273","302.5","287.9","323","60.71","23' 4""","12.50","14.29","43","115.21","92"
"2/4/2018","Waste Management Phoenix","T21","1.387",".397","302.0","297.7","333","66.07","36' 1""","5.36","10.71","49","117.18","117"
"1/28/2018","Farmers Insurance Open","T2","2.402",".466","302.0","301.5","346","55.36","30' 9""","9.52","23.81","44","117.73","66"
"12/3/2017","(*) Hero World Challenge","T12","-","-","-","-","-","-","-","-","-","-","-","-"
"10/29/2017","WGC-HSBC Champions","T31","-","-","-","-","313","67.86","-","-","-","-","-","-"
"8/13/2017","PGA Championship","T67","-1.082","-.847","302.3","294.8","321","50.00","32' 1""","12.73","14.55","95","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T28","-.345","-1.010","309.4","297.1","369","44.64","31' 0""","27.78","18.52","96","120.07","107"
"7/23/2017","The Open Championship","T6","-","-","298.4","-","356","53.57","-","-","-","50","-","-"
"6/18/2017","U.S. Open","CUT",".768","-.351","307.0","294.1","333","53.57","-","10.71","32.14","1,998","-","-"
"5/14/2017","THE PLAYERS Championship","10","3.697","1.051","285.3","283.5","335","64.29","23' 4""","3.57","23.21","80","119.16","121"
"5/7/2017","Wells Fargo Championship","T31",".697",".354","286.0","285.5","340","66.07","25' 9""","14.29","7.14","56","119.59","126"
"4/9/2017","Masters Tournament","CUT","-","-","275.5","-","290","71.43","-","-","-","1,998","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T5","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T49","-1.019","-.594","286.4","269.1","319","67.86","28' 3""","1.79","21.43","84","121.77","142"
"3/5/2017","WGC-Mexico Championship","T55","-1.445","-.493","304.3","293.2","364","60.71","28' 3""","21.82","12.73","64","118.78","141"
"11/27/2016","(*) ISPS HANDA World Cup","T5","-","-","-","-","-","-","-","-","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T12","-","-","-","-","308","66.07","-","-","-","-","-","-"
"7/31/2016","PGA Championship","T49","-.310","-.747","287.9","277.1","329","51.79","24' 5""","12.50","25.00","126","-","-"
"7/17/2016","The Open Championship","T46","-","-","279.1","-","302","75.00","-","-","-","57","-","-"
"6/19/2016","U.S. Open","CUT","-","-","285.3","-","297","60.71","-","-","-","1,998","-","-"
"11/8/2015","WGC-HSBC Champions","T54","-","-","-","-","316","42.86","-","-","-","-","-","-"
"8/9/2015","WGC-Bridgestone Invit'l","DNS","-","-","-","-","-","-","-","-","-","-","-","-"
"6/21/2015","U.S. Open","CUT","-","-","297.0","-","316","75.00","-","-","-","1,998","-","-"
"3/8/2015","WGC-Cadillac Championship","T56","-1.664",".421","285.3","282.9","332","58.93","40' 8""","3.64","23.64","72","117.49","120"
"8/11/2013","PGA Championship","CUT","-","-","276.0","-","298","35.71","-","-","-","1,998","-","-"
"7/21/2013","The Open Championship","W/D","-","-","292.0","-","334","14.29","-","-","-","1,998","-","-"
"3/10/2013","WGC-Cadillac Championship","T20","-.412","-.679","279.1","274.3","320","46.43","37' 9""","18.18","16.36","110","118.03","120"
"3/3/2013","The Honda Classic","CUT","-3.304","-.352","273.5","266.0","302","67.86","44' 9""","7.41","14.81","1,998","117.72","1,998"
"2/24/2013","WGC-Accenture Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-"
"12/3/2012","(*) PGA TOUR Qualifying Tourn","T73","-","-","-","-","-","-","-","-","-","-","-","-"
"8/12/2012","PGA Championship","T66","-","-","281.9","-","301","50.00","-","-","-","111","-","-"
"7/22/2012","The Open Championship","T9","-","-","298.6","-","308","60.71","-","-","-","61","-","-"
"6/17/2012","U.S. Open","CUT","-","-","318.8","-","338","32.14","-","-","-","1,998","-","-"
"3/11/2012","WGC-Cadillac Championship","69","-1.864","-.170","296.3","281.4","335","44.64","37' 3""","29.09","14.55","72","118.16","39"
"11/27/2011","(*) World Cup","T25","-","-","-","-","-","-","-","-","-","-","-","-"
"11/6/2011","(*) WGC-HSBC Champions","T49","-","-","-","-","-","-","-","-","-","-","-","-"
"8/14/2011","PGA Championship","T34","-","-","297.0","-","320","60.71","-","-","-","59","-","-"
"8/7/2011","WGC-Bridgestone Invit'l","T53","-1.986","-1.020","301.8","294.2","328","44.64","33' 11""","32.08","15.09","95","119.30","74"
"7/17/2011","The Open Championship","CUT","-","-","329.8","-","356","57.14","-","-","-","1,998","-","-"
"6/19/2011","U.S. Open","T51","-","-","303.4","-","345","62.50","-","-","-","58","-","-"
"8/8/2010","WGC-Bridgestone Invit'l","T53","-1.816","-1.061","289.6","292.3","345","48.21","26' 5""","21.82","20.00","118","118.83","131"
