"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"12/2/2018","(*) Hero World Challenge","T8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T18","-","-","1.761","1.583","41.67",".00","28.50","31.00","27.00","27.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","28.26"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","-","1.783","1.722","33.33","5.56","31.00","32.00","28.00","34.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.00"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T24",".639","57.9","1.793","1.681","31.94","2.78","30.25","25.00","31.00","32.00","33.00","100.00","100.00","100.00","-","80.00","60.00",".00","100.00","81.25","94.12","30.77",".00","16.67","7.14","34' 0""","2' 1""","75' 3""","21.05"
"9/3/2018","Dell Technologies Champ","T43",".484","67.4","1.780","1.542","44.44","1.39","27.75","26.00","28.00","29.00","28.00","100.00","87.50","100.00","-","66.67","60.00","75.00","50.00","75.00","90.28","27.27","40.00",".00","5.26","32' 6""","2' 1""","72' 6""","29.27"
"8/26/2018","THE NORTHERN TRUST","CUT","1.076","-","1.909","1.639","36.11",".00","29.50","30.00","29.00","-","-","100.00","100.00","100.00","100.00","66.67","100.00","-","-","85.71","96.97","42.86","12.50",".00",".00","18' 10""","2' 3""","70' 5""","13.64"
"8/12/2018","PGA Championship","CUT","-.460","-","2.000","1.694","33.33","2.78","30.50","32.00","29.00","-","-","95.65","100.00","100.00","100.00","-","-","-","100.00","100.00","97.30",".00",".00",".00",".00","9' 6""","2' 7""","48' 1""","8.70"
"8/5/2018","WGC-Bridgestone Invit'l","T31","1.836","76.0","1.711","1.486","50.00","1.39","26.75","28.00","30.00","27.00","22.00","100.00","100.00","50.00",".00",".00","50.00","100.00","100.00","30.77","86.57","62.50",".00","50.00","21.74","33' 3""","1' 4""","101' 4""","31.58"
"7/22/2018","The Open Championship","T17","-","-","1.851","1.639","37.50","4.17","29.50","32.00","32.00","25.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29.79"
