"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/20/2019","Desert Classic","T34","1.449","73.61","37.50",".00","33.33","26' 3""","25' 4""","43' 10""","12' 11""","26' 3""","82' 2""","44' 10""","-","25' 7""","-","9' 11""","18' 0""","14' 9""","13' 10""","22' 0""","23' 11""","47' 8""","-","-","-","-","28' 11""","10' 9""","-","32' 1""","16' 1""","76' 5""","16' 0""","21' 4""","10' 9""","-","2","9"
"1/13/2019","Sony Open in Hawaii","2",".152","75.00","77.78",".00","85.71","37' 7""","41' 5""","38' 4""","42' 3""","32' 8""","-","-","51' 6""","62' 0""","-","24' 8""","15' 1""","19' 2""","13' 0""","24' 11""","37' 0""","60' 1""","-","-","49' 1""","-","41' 5""","-","49' 1""","50' 6""","35' 4""","29' 3""","-","-","-","-","1","6"
"1/6/2019","Sentry T of C","T14",".343","70.83","52.17","8.33","33.33","44' 6""","54' 5""","46' 7""","61' 3""","36' 11""","190' 5""","83' 4""","50' 9""","42' 11""","23' 2""","10' 4""","20' 1""","18' 11""","19' 0""","25' 8""","61' 8""","55' 5""","-","128' 1""","-","62' 10""","57' 9""","45' 3""","95' 6""","58' 3""","57' 3""","30' 7""","50' 5""","60' 10""","60' 9""","29' 8""","-","-"
"10/28/2018","WGC-HSBC Champions","T4","-","79.17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T29","-","79.17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T50","-","70.83","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T16",".789","79.17","44.44",".00","25.00","32' 0""","38' 8""","41' 6""","35' 9""","31' 2""","124' 11""","65' 6""","39' 2""","41' 4""","7' 0""","-","17' 5""","14' 10""","23' 3""","24' 1""","30' 1""","56' 5""","-","-","-","27' 9""","44' 5""","17' 3""","27' 9""","56' 3""","35' 6""","66' 10""","17' 3""","-","8' 4""","35' 2""","1","17"
"9/3/2018","Dell Technologies Champ","T49","1.169","73.61","50.00","12.50","50.00","34' 11""","46' 6""","39' 3""","47' 9""","30' 2""","-","48' 7""","41' 4""","38' 7""","-","10' 6""","9' 8""","10' 0""","19' 2""","24' 7""","35' 7""","40' 2""","-","108' 7""","-","25' 9""","51' 10""","14' 9""","53' 4""","67' 7""","43' 7""","30' 3""","24' 5""","-","-","24' 5""","-","-"
"8/26/2018","THE NORTHERN TRUST","T78","-.332","56.94","31.25",".00","40.00","42' 10""","57' 9""","62' 5""","56' 3""","34' 6""","150' 0""","-","23' 11""","43' 1""","15' 7""","7' 8""","12' 8""","12' 10""","21' 9""","23' 1""","33' 5""","58' 0""","-","-","106' 9""","86' 9""","64' 8""","23' 3""","90' 1""","54' 0""","68' 4""","26' 4""","23' 4""","23' 7""","26' 2""","14' 8""","-","-"
"8/12/2018","PGA Championship","T59",".714","70.83","70.00","42.86","71.43","31' 8""","43' 2""","39' 9""","46' 0""","29' 7""","58' 3""","21' 3""","41' 7""","33' 7""","24' 2""","11' 8""","21' 3""","18' 7""","24' 7""","26' 9""","24' 2""","40' 3""","-","-","78' 0""","63' 2""","43' 4""","41' 0""","70' 7""","31' 2""","43' 3""","37' 7""","36' 3""","31' 5""","-","41' 0""","-","-"
"8/5/2018","Barracuda Championship","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7/29/2018","RBC Canadian Open","T8",".439","65.28","75.00","41.67","58.33","30' 10""","40' 11""","27' 3""","52' 7""","27' 9""","-","-","68' 11""","36' 10""","23' 3""","9' 10""","21' 2""","18' 1""","21' 7""","37' 2""","26' 8""","44' 10""","-","95' 8""","67' 8""","33' 9""","40' 11""","-","65' 8""","26' 1""","46' 1""","35' 1""","25' 2""","25' 2""","-","-","1","4"
"7/15/2018","John Deere Classic","79",".453","77.78","36.36",".00","50.00","28' 8""","39' 8""","46' 9""","35' 5""","27' 0""","-","32' 8""","43' 10""","37' 8""","6' 2""","9' 0""","22' 1""","14' 10""","20' 8""","25' 10""","29' 5""","39' 8""","-","89' 0""","-","-","44' 3""","32' 0""","89' 0""","47' 7""","23' 9""","-","38' 1""","37' 1""","38' 7""","-","-","-"
"7/8/2018","The Greenbrier","CUT","-.481","75.00","75.00","33.33","33.33","32' 3""","44' 2""","47' 5""","32' 10""","28' 3""","70' 2""","-","43' 6""","49' 1""","14' 11""","8' 11""","10' 3""","11' 1""","20' 4""","18' 11""","36' 5""","49' 8""","-","125' 7""","-","48' 2""","44' 2""","-","86' 11""","39' 0""","39' 4""","24' 4""","21' 2""","21' 2""","-","-","-","-"
"7/1/2018","Quicken Loans National","T27","-.614","63.89","75.00",".00","33.33","45' 4""","65' 6""","48' 2""","78' 1""","33' 7""","136' 9""","86' 7""","68' 10""","36' 10""","-","10' 10""","14' 3""","13' 9""","27' 9""","34' 0""","24' 9""","59' 2""","-","51' 7""","109' 5""","70' 7""","65' 6""","-","82' 9""","67' 7""","34' 3""","73' 1""","-","-","-","-","1","14"
"6/10/2018","FedEx St. Jude Classic","2","1.461","77.78","87.50","28.57","57.14","32' 5""","40' 3""","47' 8""","32' 10""","29' 9""","-","-","50' 3""","36' 1""","-","2' 3""","15' 7""","12' 11""","32' 5""","26' 9""","27' 2""","44' 7""","111' 5""","-","65' 8""","-","40' 8""","35' 6""","88' 7""","43' 10""","18' 11""","15' 3""","59' 2""","59' 2""","-","-","1","10"
"5/27/2018","Fort Worth Invitational","T20",".795","76.39","37.50",".00","66.67","30' 8""","34' 8""","36' 11""","31' 0""","27' 7""","-","-","54' 9""","45' 1""","-","10' 8""","20' 1""","18' 6""","21' 3""","26' 9""","31' 4""","48' 3""","-","91' 10""","59' 7""","37' 6""","36' 0""","14' 6""","63' 0""","-","41' 3""","25' 6""","30' 2""","30' 2""","-","-","-","-"
"5/20/2018","AT&T Byron Nelson","T42","-.782","81.94","93.75","13.33","53.33","46' 5""","34' 11""","-","34' 11""","45' 0""","82' 2""","103' 1""","46' 6""","62' 0""","-","11' 9""","20' 3""","17' 1""","32' 0""","30' 1""","37' 5""","73' 2""","-","-","-","-","57' 3""","12' 6""","-","-","-","57' 3""","12' 6""","-","12' 6""","-","-","-"
"5/6/2018","Wells Fargo Championship","T82",".113","64.81","53.33",".00","25.00","41' 7""","37' 5""","34' 8""","40' 2""","42' 2""","71' 11""","105' 7""","72' 5""","29' 4""","-","22' 9""","21' 4""","22' 3""","49' 10""","26' 10""","37' 2""","53' 7""","-","-","-","44' 0""","38' 4""","27' 8""","44' 0""","52' 3""","19' 9""","31' 1""","27' 8""","-","27' 8""","-","1","16"
"4/29/2018","Zurich Classic of New Orl","T15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","T8",".782","66.67","34.78","12.50","62.50","35' 7""","55' 6""","88' 5""","36' 8""","29' 1""","31' 6""","65' 9""","5' 1""","41' 10""","14' 6""","18' 3""","26' 1""","22' 2""","26' 3""","31' 8""","34' 7""","42' 0""","150' 10""","90' 1""","92' 9""","73' 7""","55' 6""","-","101' 10""","65' 9""","21' 4""","20' 5""","4' 5""","4' 5""","-","-","1","109"
"4/1/2018","Houston Open","T32",".662","76.39","33.33","16.67","33.33","33' 2""","37' 7""","29' 11""","42' 8""","31' 7""","99' 3""","92' 5""","26' 3""","44' 3""","11' 9""","11' 3""","20' 6""","13' 6""","20' 1""","28' 8""","27' 3""","65' 1""","-","-","-","69' 9""","41' 6""","12' 0""","69' 9""","65' 7""","15' 0""","22' 3""","15' 2""","17' 3""","21' 2""","2' 10""","-","-"
"3/25/2018","Corales Puntacana","T5","-","68.06","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","CUT","-.856","52.78","37.50","33.33","100.00","42' 8""","48' 4""","44' 9""","49' 10""","35' 5""","-","-","60' 8""","16' 8""","-","-","15' 0""","15' 0""","22' 8""","35' 0""","43' 1""","38' 8""","110' 8""","-","-","-","52' 10""","30' 1""","110' 8""","53' 11""","38' 5""","58' 5""","23' 8""","10' 9""","-","30' 1""","-","-"
"2/25/2018","The Honda Classic","CUT","-1.135","41.67","75.00",".00",".00","45' 7""","61' 11""","40' 8""","65' 5""","40' 0""","141' 6""","80' 11""","64' 5""","40' 7""","37' 9""","-","20' 4""","23' 9""","11' 1""","34' 8""","37' 2""","67' 2""","-","-","-","77' 9""","65' 5""","40' 8""","77' 9""","45' 8""","61' 2""","73' 5""","40' 8""","-","40' 8""","-","-","-"
