"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/20/2019","Desert Classic","T34",".776","50.00","-","63.16","-","90.00","-","100.00","66.67","100.00"
"1/13/2019","Sony Open in Hawaii","2",".700","75.00","5' 7""","77.78",".00","100.00","100.00","33.33","100.00","100.00"
"1/6/2019","Sentry T of C","T14","-.599",".00","-","61.90","66.67","62.50","50.00","50.00","60.00","83.33"
"10/28/2018","WGC-HSBC Champions","T4","-","66.67","-","60.00","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T29","-","42.86","-","60.00","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T50","-","100.00","-","76.19","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T16",".665","33.33","11' 9""","80.00","100.00","80.00","50.00","75.00","83.33","100.00"
"9/3/2018","Dell Technologies Champ","T49",".347","50.00","8' 1""","68.42","100.00","44.44",".00","100.00","70.00","83.33"
"8/26/2018","THE NORTHERN TRUST","T78","-.472","50.00","11' 7""","48.39","100.00","60.00","33.33","50.00","56.25","-"
"8/12/2018","PGA Championship","T59",".280","57.14","5' 7""","47.62","100.00","20.00",".00","66.67","42.86","83.33"
"8/5/2018","Barracuda Championship","1","-","-","-","-","-","-","-","-","-","-"
"7/29/2018","RBC Canadian Open","T8","-.181","25.00","8' 9""","80.00","100.00","86.67","100.00","66.67","75.00","84.62"
"7/15/2018","John Deere Classic","79","-1.117","40.00","13' 5""","66.67","100.00","66.67","-","-","57.14","100.00"
"7/8/2018","The Greenbrier","CUT","-.407","33.33","11' 7""","66.67","100.00","80.00","-","-","66.67","66.67"
"7/1/2018","Quicken Loans National","T27","1.071","75.00","8' 0""","76.92","100.00","70.00","50.00","75.00","100.00","66.67"
"6/10/2018","FedEx St. Jude Classic","2",".964","100.00","10' 1""","81.25","100.00","71.43","75.00","75.00","80.00","100.00"
"5/27/2018","Fort Worth Invitational","T20",".030","66.67","5' 11""","52.94","100.00","33.33",".00","40.00","60.00","100.00"
"5/20/2018","AT&T Byron Nelson","T42",".355","40.00","7' 8""","61.54","100.00","100.00","50.00","50.00","66.67","100.00"
"5/6/2018","Wells Fargo Championship","T82","-.327","50.00","11' 2""","57.89","-","63.64","-","33.33","66.67","100.00"
"4/29/2018","Zurich Classic of New Orl","T15","-","-","-","-","-","-","-","-","-","-"
