"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/20/2019","Desert Classic","T34","1.630","-.595","280.0","263.7","294","57.14","39' 7""","14.81","11.11","124","115.85","47"
"1/13/2019","Sony Open in Hawaii","2",".538","-.314","305.0","281.1","346","57.14","21' 4""","5.56","20.37","79","114.64","131"
"1/6/2019","Sentry T of C","T14","-1.274","-1.018","269.3","277.4","371","70.00","15' 5""","8.33","13.33","51","112.35","59"
"10/28/2018","WGC-HSBC Champions","T4","-","-","-","-","297","50.00","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T29","-","-","-","-","-","75.00","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T50","-","-","-","-","-","71.43","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T16",".547","-.907","286.1","278.9","335","60.71","20' 4""","12.50","14.29","113","112.53","86"
"9/3/2018","Dell Technologies Champ","T49","1.009","-.507","288.4","278.3","323","62.50","20' 1""","5.36","25.00","114","114.21","140"
"8/26/2018","THE NORTHERN TRUST","T78","-2.228","-1.424","277.0","273.9","303","41.07","33' 6""","18.52","35.19","141","114.19","155"
"8/12/2018","PGA Championship","T59","1.108",".114","287.4","280.8","324","69.64","21' 2""","10.71","10.71","104","-","-"
"8/5/2018","Barracuda Championship","1","-","-","-","-","-","-","-","-","-","-","-","-"
"7/29/2018","RBC Canadian Open","T8","1.155",".897","296.1","299.6","354","69.64","28' 9""","12.50","12.50","53","112.64","61"
"7/15/2018","John Deere Classic","79","-.706","-.042","290.5","279.0","312","69.05","19' 2""","7.14","16.67","1,998","117.83","1,998"
"7/8/2018","The Greenbrier","CUT","-.051",".837","312.0","291.7","341","64.29","16' 7""","28.57","7.14","1,998","110.72","1,998"
"7/1/2018","Quicken Loans National","T27",".453","-.004","291.1","276.0","325","57.14","16' 11""","17.86","19.64","99","112.07","98"
"6/10/2018","FedEx St. Jude Classic","2","3.141",".717","290.6","280.2","315","71.43","25' 6""","10.71","12.50","58","114.33","128"
"5/27/2018","Fort Worth Invitational","T20",".842",".016","307.0","280.7","327","55.36","32' 11""","18.18","12.73","64","114.81","74"
"5/20/2018","AT&T Byron Nelson","T42",".194",".621","291.0","288.7","342","91.07","8' 10""",".00","3.57","54","113.44","57"
"5/6/2018","Wells Fargo Championship","T82","-1.058","-.844","312.5","295.9","328","47.62","23' 2""","11.90","16.67","1,998","118.25","1,998"
