"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/20/2019","Desert Classic","T34",".838","48.0","1.547","1.458","50.00","1.39","26.25","23.00","28.00","26.00","28.00","100.00","100.00","100.00","80.00","100.00",".00",".00",".00","77.78","85.71",".00","33.33","40.00","25.00","26' 8""","1' 11""","93' 1""","47.17"
"1/13/2019","Sony Open in Hawaii","2","2.724","22.8","1.593","1.486","48.61",".00","26.75","23.00","28.00","28.00","28.00","100.00","100.00","100.00","100.00","100.00","75.00","100.00","75.00","92.86","96.77","28.57","50.00","16.67","20.00","51' 7""","2' 3""","111' 11""","40.74"
"1/6/2019","Sentry T of C","T14","1.698","16.4","1.667","1.569","44.44","1.39","28.25","26.00","32.00","28.00","27.00","100.00","100.00","100.00","66.67","100.00","66.67",".00","40.00","75.00","86.30","45.45","42.86","20.00",".00","21' 11""","2' 3""","78' 3""","37.25"
"10/28/2018","WGC-HSBC Champions","T4","-","-","1.772","1.667","31.94","1.39","30.00","29.00","32.00","28.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24.56"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T29","-","-","1.807","1.722","30.56","5.56","31.00","32.00","28.00","32.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","28.07"
"10/14/2018","CIMB Classic","T50","-","-","1.745","1.583","47.22","5.56","28.50","30.00","29.00","26.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","41.18"
"9/9/2018","BMW Championship","T16",".587","46.8","1.737","1.611","37.50","1.39","29.00","29.00","30.00","28.00","29.00","100.00","100.00","100.00","100.00","75.00","50.00","66.67","50.00","77.78","94.12","45.45",".00",".00","9.52","26' 8""","1' 11""","69' 7""","28.07"
"9/3/2018","Dell Technologies Champ","T49","-1.162","114.3","1.849","1.708","34.72","5.56","30.75","29.00","31.00","30.00","33.00","100.00","87.50","100.00","60.00","50.00","50.00",".00","50.00","70.83","83.95","12.50",".00","20.00","8.70","52' 8""","2' 11""","78' 3""","24.53"
"8/26/2018","THE NORTHERN TRUST","T78",".121","98.4","1.707","1.597","41.67","1.39","28.75","26.00","29.00","31.00","29.00","100.00","91.67","50.00","66.67","40.00","100.00","50.00","33.33","57.14","84.21","40.00","14.29","28.57","6.67","32' 4""","2' 0""","84' 6""","31.71"
"8/12/2018","PGA Championship","T59","-1.156","89.7","1.843","1.708","26.39",".00","30.75","32.00","28.00","30.00","33.00","100.00","91.67","66.67","80.00","50.00",".00",".00","33.33","64.29","84.62","23.08","50.00",".00",".00","20' 0""","1' 11""","57' 8""","21.57"
"8/5/2018","Barracuda Championship","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7/29/2018","RBC Canadian Open","T8",".957","39.9","1.702","1.486","50.00","1.39","26.75","27.00","26.00","27.00","27.00","100.00","100.00","100.00","100.00","100.00","50.00","25.00","50.00","91.30","91.78","37.50","33.33",".00",".00","19' 8""","2' 9""","71' 2""","42.55"
"7/15/2018","John Deere Classic","79","-.465","-","1.857","1.722","31.48","3.70","31.00","30.00","29.00","34.00","-","100.00","75.00","100.00",".00","100.00","66.67","33.33",".00","75.00","89.09","50.00",".00","11.11",".00","23' 8""","2' 6""","61' 11""","19.05"
"7/8/2018","The Greenbrier","CUT","-.461","-","1.889","1.722","27.78",".00","31.00","32.00","30.00","-","-","100.00","100.00","100.00","66.67","100.00","100.00",".00",".00","88.89","89.47","25.00",".00",".00","8.33","26' 7""","2' 3""","64' 4""","14.81"
"7/1/2018","Quicken Loans National","T27",".424","87.3","1.804","1.542","44.44","4.17","27.75","26.00","30.00","28.00","27.00","100.00","100.00","77.78","50.00","40.00","80.00",".00","100.00","66.67","87.50","62.50","20.00",".00","5.26","28' 1""","2' 5""","71' 11""","26.09"
"6/10/2018","FedEx St. Jude Classic","2",".554","45.5","1.768","1.597","34.72",".00","28.75","33.00","25.00","27.00","30.00","100.00","100.00","83.33","100.00","33.33","100.00",".00","50.00","78.57","92.54","40.00","22.22","15.38",".00","22' 4""","2' 0""","71' 8""","26.79"
"5/27/2018","Fort Worth Invitational","T20",".287","68.1","1.727","1.653","36.11","1.39","29.75","26.00","32.00","31.00","30.00","100.00","100.00","66.67","75.00","100.00",".00","100.00","50.00","69.23","92.86","13.33","42.86","50.00",".00","24' 11""","1' 11""","70' 7""","29.09"
"5/20/2018","AT&T Byron Nelson","T42",".241","64.1","1.814","1.722","31.94","4.17","31.00","30.00","35.00","31.00","28.00","97.56","100.00","66.67","75.00","57.14","33.33",".00",".00","61.90","85.14","44.44","30.00","12.50","4.35","47' 0""","2' 11""","85' 3""","25.42"
"5/6/2018","Wells Fargo Championship","T82","-.042","-","1.914","1.667","33.33","3.70","30.00","29.00","30.00","31.00","-","100.00","100.00","100.00","57.14","100.00",".00",".00",".00","68.75","87.72","33.33",".00","14.29","5.26","28' 8""","2' 6""","64' 10""","14.29"
"4/29/2018","Zurich Classic of New Orl","T15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
