"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","8",".735","70.83","50.00","16.67","50.00","41' 8""","58' 10""","59' 9""","57' 0""","32' 9""","96' 10""","-","53' 3""","43' 5""","2' 10""","15' 0""","16' 3""","14' 2""","23' 4""","17' 10""","14' 1""","59' 6""","-","-","142' 7""","104' 5""","73' 5""","15' 1""","123' 6""","79' 5""","40' 7""","66' 7""","15' 1""","-","18' 0""","9' 2""","1","10"
"1/6/2019","Sentry T of C","T25","-.763","75.00","39.13","22.22","55.56","37' 3""","32' 8""","38' 6""","22' 0""","38' 11""","109' 6""","94' 1""","50' 6""","46' 11""","11""","17' 1""","33' 8""","23' 4""","23' 9""","30' 4""","51' 10""","58' 10""","-","-","-","53' 9""","38' 0""","23' 0""","53' 9""","-","44' 10""","38' 5""","22' 10""","22' 6""","19' 1""","23' 11""","1","27"
"12/9/2018","(*) QBE Shootout","T8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T21","-","84.72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T11","-","69.44","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T67","-","75.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T33","-","75.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","2",".642","76.39","100.00","12.50","75.00","32' 8""","46' 2""","49' 2""","41' 6""","29' 6""","101' 11""","-","53' 11""","37' 6""","3' 0""","15' 8""","14' 1""","13' 4""","23' 0""","18' 8""","18' 2""","46' 0""","-","-","-","31' 6""","46' 2""","-","31' 6""","67' 8""","42' 9""","33' 10""","49' 8""","49' 8""","-","-","-","-"
"9/9/2018","BMW Championship","T3","1.331","84.72","66.67","16.67","66.67","29' 9""","41' 10""","33' 1""","63' 9""","27' 7""","-","88' 2""","59' 9""","19' 8""","8' 8""","18' 4""","11' 10""","13' 1""","22' 11""","22' 5""","40' 10""","42' 10""","-","-","-","100' 4""","47' 1""","22' 7""","100' 4""","67' 5""","53' 2""","35' 8""","19' 5""","16' 2""","-","22' 7""","-","-"
"9/3/2018","Dell Technologies Champ","W/D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T3",".841","76.39","43.75",".00","57.14","35' 0""","56' 3""","69' 10""","47' 3""","29' 2""","106' 11""","35' 2""","62' 1""","30' 3""","9' 4""","13' 4""","12' 0""","12' 6""","27' 0""","23' 8""","30' 6""","42' 11""","-","94' 6""","-","-","68' 1""","28' 10""","94' 6""","53' 1""","74' 3""","-","28' 10""","-","38' 3""","9' 11""","1","12"
"8/19/2018","Wyndham Championship","T11","1.533","83.33","100.00","100.00","87.50","24' 4""","39' 9""","45' 0""","32' 6""","20' 10""","-","-","39' 3""","31' 3""","-","14' 9""","18' 6""","17' 1""","20' 8""","16' 11""","19' 3""","32' 10""","-","-","-","14' 0""","39' 9""","-","14' 0""","42' 10""","41' 8""","37' 10""","53' 2""","53' 2""","-","-","-","-"
"8/12/2018","PGA Championship","T35","1.637","76.39","10.00",".00","100.00","27' 11""","54' 9""","75' 1""","27' 9""","25' 2""","-","-","49' 5""","53' 9""","2' 10""","17' 3""","21' 7""","16' 7""","14' 2""","23' 7""","20' 2""","52' 5""","-","-","174' 6""","58' 2""","63' 1""","4' 11""","96' 11""","-","38' 2""","21' 5""","16' 7""","28' 3""","4' 11""","-","-","-"
"7/29/2018","RBC Canadian Open","CUT",".108","66.67","37.50","33.33","100.00","29' 5""","37' 2""","32' 2""","42' 1""","23' 8""","-","-","-","34' 3""","-","13' 9""","20' 10""","17' 10""","19' 3""","22' 0""","34' 1""","34' 3""","-","-","-","-","37' 2""","-","-","53' 10""","45' 9""","28' 1""","23' 11""","23' 11""","-","-","-","-"
"7/22/2018","Barbasol Championship","T2",".916","83.33","75.00","50.00","91.67","27' 8""","32' 0""","45' 8""","25' 1""","26' 6""","-","36' 8""","43' 1""","54' 10""","1' 0""","23' 9""","11' 8""","14' 8""","21' 6""","18' 4""","27' 1""","45' 5""","-","-","60' 0""","-","33' 0""","17' 4""","60' 0""","40' 3""","35' 11""","23' 4""","17' 5""","17' 6""","-","17' 4""","1","7"
"7/1/2018","Quicken Loans National","T17",".940","76.39","41.67",".00","60.00","32' 9""","60' 9""","67' 0""","56' 1""","23' 2""","-","-","24' 11""","25' 8""","9' 11""","15' 3""","20' 8""","18' 0""","17' 0""","19' 6""","32' 10""","25' 7""","-","118' 6""","-","45' 5""","64' 7""","11' 4""","94' 1""","122' 5""","47' 5""","39' 3""","42' 5""","52' 9""","11' 4""","-","-","-"
"6/25/2018","(*) CVS Health Charity","T4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
