"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","8",".639","66.67","8' 3""","61.90","-","66.67","50.00","80.00","40.00","100.00"
"1/6/2019","Sentry T of C","T25",".140","25.00","10' 6""","61.11","100.00","60.00","-","50.00","62.50","75.00"
"12/9/2018","(*) QBE Shootout","T8","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T21","-",".00","-","45.45","-","37.50","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T11","-","33.33","-","68.18","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T67","-","28.57","-","50.00","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T33","-","75.00","-","66.67","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","2","-.309","100.00","4' 5""","70.59","100.00","42.86","50.00","50.00","100.00","75.00"
"9/9/2018","BMW Championship","T3",".302","50.00","6' 7""","45.45","-","25.00","25.00","50.00","50.00","100.00"
"9/3/2018","Dell Technologies Champ","W/D","-","-","-","-","-","-","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T3",".881","70.00","8' 5""","82.35","-","100.00","50.00","100.00","75.00","100.00"
"8/19/2018","Wyndham Championship","T11",".209","-","-","83.33","100.00","33.33",".00","100.00","85.71","100.00"
"8/12/2018","PGA Championship","T35","-.981","60.00","6' 5""","64.71","100.00","66.67","66.67",".00","55.56","100.00"
"7/29/2018","RBC Canadian Open","CUT","-.050",".00","-","66.67","100.00","62.50",".00","-","77.78","100.00"
"7/22/2018","Barbasol Championship","T2",".452","100.00","15' 4""","83.33","100.00","85.71","-",".00","80.00","100.00"
"7/1/2018","Quicken Loans National","T17","-.772","33.33","5' 8""","52.94","100.00","57.14",".00","50.00","66.67","66.67"
"6/25/2018","(*) CVS Health Charity","T4","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","CUT","-.671",".00","9' 1""","50.00","100.00","66.67",".00","-","50.00","100.00"
"6/10/2018","FedEx St. Jude Classic","T51",".011","75.00","8' 7""","66.67","100.00","69.23",".00","50.00","83.33","87.50"
"6/3/2018","the Memorial Tournament","CUT","-1.035","60.00","9' 11""","57.14","-","66.67","100.00","50.00","57.14","100.00"
"5/20/2018","AT&T Byron Nelson","T21",".352","50.00","12' 10""","64.29","100.00",".00","33.33","57.14","100.00","100.00"
"5/13/2018","THE PLAYERS Championship","T37","-.550","61.54","9' 8""","59.26","100.00","33.33","75.00","33.33","54.55","83.33"
"4/29/2018","Zurich Classic of New Orl","1","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","T11",".117","40.00","13' 5""","60.87",".00","75.00","33.33","50.00","64.29","75.00"
"4/15/2018","RBC Heritage","T5","-1.058","40.00","15' 9""","58.33","100.00","60.00",".00",".00","75.00","100.00"
"4/8/2018","Masters Tournament","CUT","-",".00","-","22.22","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T54","-.147","66.67","10' 9""","54.17","100.00","50.00","25.00","75.00","72.73","100.00"
"3/11/2018","Valspar Championship","CUT","-.016","20.00","16' 8""","62.50","100.00","60.00","50.00","66.67","66.67","-"
"2/25/2018","The Honda Classic","CUT","-.266","50.00","7' 11""","52.94","-","37.50","25.00","75.00","42.86","100.00"
"2/18/2018","Genesis Open","CUT","-1.536","50.00","10' 3""","45.45","100.00","25.00",".00","50.00","50.00","-"
"2/11/2018","AT&T Pebble Beach","CUT","-2.018","60.00","14' 1""","38.89","100.00","37.50",".00",".00","25.00","-"
"2/4/2018","Waste Management Phoenix","T43","-.441","14.29","13' 2""","52.63","100.00","-",".00","50.00","33.33","100.00"
"1/28/2018","Farmers Insurance Open","T54",".652","55.56","6' 0""","45.45","100.00","22.22","25.00",".00","66.67","75.00"
"1/7/2018","Sentry T of C","T11",".644",".00","10' 2""","60.00","100.00","57.14","50.00","57.14","66.67","-"
"12/10/2017","(*) QBE Shootout","T12","-","-","-","-","-","-","-","-","-","-"
