"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","8","1.206","-.167","293.5","293.5","330","58.93","39' 5""","19.51","12.20","70","111.91","50"
"1/6/2019","Sentry T of C","T25","-.456",".167","263.6","287.7","365","73.33","14' 2""","15.00","6.67","54","112.19","50"
"12/9/2018","(*) QBE Shootout","T8","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T21","-","-","293.6","-","310","76.79","-","-","-","21","-","-"
"10/28/2018","WGC-HSBC Champions","T11","-","-","-","-","305","57.14","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T67","-","-","-","-","-","62.50","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T33","-","-","-","-","-","75.00","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","2","1.211",".877","289.8","298.4","341","69.64","23' 9""","16.07","12.50","29","117.06","43"
"9/9/2018","BMW Championship","T3","1.465","-.168","288.9","287.5","343","69.64","22' 9""","17.86","7.14","82","114.65","91"
"9/3/2018","Dell Technologies Champ","W/D","-","-","-","-","-","-","-","-","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T3","2.126",".405","273.1","282.6","325","69.64","26' 5""","14.29","10.71","89","115.83","100"
"8/19/2018","Wyndham Championship","T11","2.685",".943","320.1","287.1","344","76.79","26' 3""","12.50","7.14","12","117.22","40"
"8/12/2018","PGA Championship","T35","1.113",".457","304.4","285.8","319","71.43","15' 7""","8.93","7.14","54","-","-"
"7/29/2018","RBC Canadian Open","CUT","-.174","-.232","296.8","297.7","339","46.43","25' 2""","21.43","17.86","1,998","114.80","1,998"
"7/22/2018","Barbasol Championship","T2","2.609","1.241","290.5","286.7","320","75.00","17' 2""","7.14","17.86","25","115.28","76"
"7/1/2018","Quicken Loans National","T17",".788",".620","299.0","285.6","342","67.86","12' 8""","12.50","16.07","54","115.28","73"
"6/25/2018","(*) CVS Health Charity","T4","-","-","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","CUT","-.008",".013","293.8","283.5","325","60.71","18' 9""","14.29","10.71","1,998","114.56","1,998"
"6/10/2018","FedEx St. Jude Classic","T51",".067","1.338","303.1","292.5","338","60.71","21' 7""","17.86","19.64","35","114.16","59"
"6/3/2018","the Memorial Tournament","CUT","-2.094",".708","288.3","284.2","316","82.14","21' 7""","3.57","10.71","1,998","115.34","1,998"
