"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","8",".887","78.9","1.627","1.542","47.22","4.17","27.75","28.00","26.00","30.00","27.00","96.30","85.71","75.00","80.00","66.67","50.00","100.00","33.33","71.43","85.19","40.00","28.57",".00","9.09","71' 10""","2' 9""","102' 6""","43.14"
"1/6/2019","Sentry T of C","T25","-1.120","38.8","1.889","1.722","27.78","2.78","31.00","31.00","29.00","32.00","32.00","98.00","100.00","77.78","66.67","50.00","50.00",".00",".00","68.75","87.34","16.67","9.09",".00",".00","16' 9""","2' 2""","47' 2""","18.52"
"12/9/2018","(*) QBE Shootout","T8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T21","-","-","1.721","1.681","31.94",".00","30.25","32.00","27.00","30.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","34.43"
"10/28/2018","WGC-HSBC Champions","T11","-","-","1.780","1.625","38.89","1.39","29.25","27.00","32.00","29.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24.00"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T67","-","-","1.944","1.819","23.61","5.56","32.75","33.00","35.00","32.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18.52"
"10/14/2018","CIMB Classic","T33","-","-","1.759","1.639","36.11","2.78","29.50","26.00","33.00","30.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","31.48"
"9/23/2018","TOUR Championship","2",".656","28.6","1.764","1.639","40.28","4.17","29.50","34.00","26.00","28.00","30.00","100.00","100.00","100.00","75.00","60.00",".00","66.67","50.00","72.22","90.00","40.00","33.33",".00","8.00","35' 8""","2' 5""","83' 4""","30.91"
"9/9/2018","BMW Championship","T3","1.168","47.7","1.607","1.583","41.67",".00","28.50","29.00","30.00","30.00","25.00","100.00","100.00","80.00","75.00","100.00","40.00","80.00",".00","66.67","88.41","66.67","11.11","25.00","10.53","36' 6""","2' 3""","95' 0""","40.98"
"9/3/2018","Dell Technologies Champ","W/D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T3",".517","44.3","1.727","1.583","38.89",".00","28.50","29.00","29.00","27.00","29.00","100.00","100.00","100.00","60.00","100.00","100.00","100.00","50.00","90.00","94.37","16.67","12.50","20.00",".00","23' 7""","2' 5""","70' 9""","27.27"
"8/19/2018","Wyndham Championship","T11","-.786","100.8","1.867","1.750","27.78","2.78","31.50","29.00","35.00","32.00","30.00","100.00","87.50","100.00","100.00","-","25.00",".00",".00","80.00","87.01","7.69","12.50",".00","13.04","44' 5""","2' 5""","73' 11""","25.00"
"8/12/2018","PGA Championship","T35","-.160","104.2","1.782","1.653","38.89","4.17","29.75","31.00","28.00","26.00","34.00","100.00","71.43","83.33","33.33","60.00","80.00",".00",".00","68.42","82.89","45.45","50.00",".00","5.26","28' 3""","2' 1""","77' 0""","27.27"
"7/29/2018","RBC Canadian Open","CUT","-.223","-","1.792","1.556","44.44",".00","28.00","29.00","27.00","-","-","100.00","80.00","-","100.00","-","100.00",".00",".00","100.00","91.89","16.67",".00","20.00",".00","21' 3""","1' 7""","60' 8""","25.00"
"7/22/2018","Barbasol Championship","T2",".708","39.8","1.717","1.597","37.50",".00","28.75","25.00","29.00","33.00","28.00","100.00","100.00","100.00","80.00","50.00","100.00","33.33",".00","77.78","92.86","28.57","44.44",".00",".00","19' 8""","1' 10""","62' 0""","38.33"
"7/1/2018","Quicken Loans National","T17",".589","98.5","1.745","1.667","36.11","2.78","30.00","29.00","30.00","32.00","29.00","100.00","100.00","71.43","100.00","75.00","33.33","50.00",".00","66.67","87.14","41.67","11.11","18.18","16.67","60' 7""","1' 11""","99' 9""","29.09"
"6/25/2018","(*) CVS Health Charity","T4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","CUT","-.108","-","1.786","1.694","38.89","8.33","30.50","31.00","30.00","-","-","100.00","100.00","75.00","100.00",".00",".00","-",".00","44.44","83.78","66.67","25.00",".00",".00","17' 3""","2' 6""","68' 1""","32.14"
"6/10/2018","FedEx St. Jude Classic","T51",".128","89.9","1.738","1.556","50.00","5.56","28.00","27.00","29.00","28.00","28.00","97.73","80.00","75.00","100.00","100.00",".00","50.00","50.00","85.00","90.41","20.00","50.00",".00","5.56","36' 11""","2' 7""","74' 7""","30.95"
"6/3/2018","the Memorial Tournament","CUT",".602","-","1.818","1.611","41.67","2.78","29.00","27.00","31.00","-","-","100.00","100.00","50.00","66.67","100.00","100.00",".00","100.00","75.00","91.18","33.33",".00","33.33",".00","21' 9""","2' 0""","82' 0""","27.27"
"5/20/2018","AT&T Byron Nelson","T21",".797","37.8","1.776","1.681","33.33","1.39","30.25","30.00","30.00","30.00","31.00","100.00","100.00","66.67","50.00","-","25.00","100.00","50.00","45.45","90.14","55.56","25.00","14.29",".00","20' 5""","2' 8""","68' 8""","27.59"
"5/13/2018","THE PLAYERS Championship","T37","1.223","74.7","1.622","1.514","50.00","4.17","27.25","22.00","30.00","30.00","27.00","97.78","75.00","100.00","80.00","100.00","16.67","-","66.67","62.50","86.76","70.00","30.00","33.33","5.56","36' 7""","2' 5""","90' 9""","46.67"
"4/29/2018","Zurich Classic of New Orl","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","T11",".793","50.3","1.673","1.542","43.06",".00","27.75","30.00","27.00","27.00","27.00","100.00","85.71","100.00","85.71",".00","100.00","66.67","50.00","89.47","91.89","18.18","20.00",".00",".00","16' 1""","2' 0""","64' 2""","34.69"
"4/15/2018","RBC Heritage","T5","2.038","17.3","1.563","1.472","52.78",".00","26.50","25.00","29.00","27.00","25.00","100.00","100.00","100.00","100.00","100.00","100.00","50.00",".00","100.00","93.94","50.00","33.33","9.09","10.00","27' 4""","1' 7""","81' 4""","43.75"
"4/8/2018","Masters Tournament","CUT","-","-","1.889","1.778","25.00","2.78","32.00","30.00","34.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","22.22"
"3/18/2018","Arnold Palmer Invt'l","T54",".480","51.2","1.792","1.639","34.72","1.39","29.50","29.00","29.00","33.00","27.00","100.00","100.00","100.00","50.00","66.67","60.00","-",".00","75.00","90.28","50.00","14.29",".00",".00","19' 7""","2' 0""","63' 2""","23.40"
"3/11/2018","Valspar Championship","CUT","-.193","-","1.950","1.639","36.11","5.56","29.50","29.00","30.00","-","-","100.00","100.00","100.00","50.00","-","66.67",".00",".00","62.50","83.78","28.57","33.33",".00","9.09","30' 7""","2' 9""","77' 6""","15.00"
"2/25/2018","The Honda Classic","CUT","-.250","-","1.947","1.694","33.33","2.78","30.50","33.00","28.00","-","-","100.00","100.00","75.00","66.67","-","66.67","50.00","50.00","70.00","87.18","20.00",".00",".00","9.09","33' 3""","2' 11""","75' 6""","10.53"
"2/18/2018","Genesis Open","CUT","-1.864","-","1.840","1.750","25.00",".00","31.50","31.00","32.00","-","-","100.00","100.00",".00","-","33.33","-",".00",".00","25.00","85.37",".00","20.00",".00",".00","17' 0""","1' 5""","40' 1""","16.00"
"2/11/2018","AT&T Pebble Beach","CUT","-.621","-","1.722","1.685","37.04","5.56","30.33","28.00","30.00","33.00","-","100.00","100.00","-","33.33","-","50.00","100.00","100.00","40.00","85.00","50.00",".00",".00",".00","12' 1""","2' 8""","66' 1""","36.11"
"2/4/2018","Waste Management Phoenix","T43",".345","64.8","1.811","1.694","31.94","4.17","30.50","29.00","27.00","32.00","34.00","100.00","100.00","100.00","100.00","100.00",".00","50.00","33.33","84.62","90.00","33.33","27.27","25.00","3.57","35' 2""","2' 11""","79' 0""","26.42"
"1/28/2018","Farmers Insurance Open","T54","-.156","76.9","1.840","1.736","26.39","2.78","31.25","33.00","29.00","33.00","30.00","100.00","100.00","80.00","66.67","50.00","66.67","50.00","50.00","66.67","85.00","14.29","20.00",".00",".00","15' 9""","2' 7""","63' 4""","22.00"
"1/7/2018","Sentry T of C","T11","-.177","32.8","1.807","1.708","30.56","4.17","30.75","31.00","30.00","30.00","32.00","100.00","100.00","85.71","60.00","75.00","100.00","25.00",".00","78.95","87.18","20.00","16.67",".00",".00","16' 4""","2' 4""","54' 2""","31.58"
"12/10/2017","(*) QBE Shootout","T12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
