"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","CUT","-.742","75.00","50.00",".00","50.00","46' 8""","74' 6""","14' 3""","94' 7""","33' 10""","-","-","30' 10""","69' 10""","-","-","20' 10""","20' 10""","16' 3""","19' 1""","5' 5""","54' 3""","101' 11""","-","-","-","94' 7""","14' 3""","101' 11""","-","77' 8""","-","59' 3""","104' 3""","-","14' 3""","-","-"
"10/28/2018","WGC-HSBC Champions","T41","-","66.67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T48","-","83.33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T50","-","86.11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T43","-.418","65.28","62.50","20.00","50.00","32' 10""","39' 7""","57' 6""","33' 7""","27' 3""","-","73' 4""","41' 2""","23' 0""","16' 4""","28' 2""","16' 8""","20' 6""","10' 7""","26' 8""","38' 9""","30' 6""","-","62' 9""","-","-","39' 7""","-","62' 9""","41' 4""","41' 8""","29' 2""","-","-","-","-","2","5"
"8/26/2018","THE NORTHERN TRUST","CUT","-.525","66.67","37.50",".00",".00","38' 4""","50' 6""","40' 1""","60' 11""","30' 0""","68' 7""","-","69' 2""","37' 5""","17' 0""","-","-","17' 0""","22' 6""","21' 4""","19' 10""","49' 2""","-","-","-","-","52' 8""","43' 11""","-","40' 3""","54' 2""","38' 8""","60' 10""","111' 9""","12' 1""","59' 10""","-","-"
"8/12/2018","PGA Championship","T27",".676","65.28","60.00","33.33","50.00","34' 6""","67' 2""","61' 8""","71' 9""","25' 11""","103' 7""","34' 9""","50' 0""","32' 6""","7' 7""","11' 5""","17' 6""","13' 4""","18' 10""","23' 3""","19' 9""","46' 10""","-","-","-","97' 6""","67' 2""","-","97' 6""","51' 4""","62' 2""","19' 4""","-","-","-","-","1","7"
"8/5/2018","WGC-Bridgestone Invit'l","T63",".652","65.28","37.50",".00","66.67","29' 6""","34' 1""","35' 6""","32' 7""","25' 11""","56' 6""","-","30' 9""","33' 5""","8' 5""","17' 11""","14' 3""","14' 6""","24' 5""","28' 11""","32' 4""","34' 8""","-","-","56' 5""","37' 7""","36' 3""","22' 4""","43' 10""","23' 0""","46' 2""","17' 3""","32' 1""","39' 5""","17' 6""","31' 8""","-","-"
"7/22/2018","The Open Championship","CUT","-","61.11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T25",".100","52.78","33.33",".00","33.33","40' 5""","67' 2""","68' 6""","65' 10""","35' 11""","75' 3""","92' 7""","86' 4""","24' 9""","-","17' 4""","11' 11""","14' 4""","30' 0""","37' 5""","34' 2""","78' 8""","-","96' 4""","-","-","67' 4""","65' 3""","96' 4""","35' 9""","78' 5""","69' 4""","65' 3""","-","-","65' 3""","1","11"
