"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","CUT","-.397",".00","8' 8""","11.11","-",".00","33.33",".00",".00","-"
"10/28/2018","WGC-HSBC Champions","T41","-","50.00","-","45.83","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T48","-","33.33","-","41.67","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T50","-","100.00","-","50.00","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T43",".114","20.00","7' 9""","64.00","100.00","73.33","50.00",".00","57.14","100.00"
"8/26/2018","THE NORTHERN TRUST","CUT","-1.057","40.00","10' 5""","33.33","-","20.00",".00",".00","75.00","50.00"
"8/12/2018","PGA Championship","T27",".646","71.43","8' 5""","72.00","100.00","80.00","40.00","40.00","90.91","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T63","-.854","66.67","6' 6""","44.00","100.00","20.00","28.57","50.00","33.33","100.00"
"7/22/2018","The Open Championship","CUT","-","100.00","-","42.86","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T25",".038","44.44","12' 11""","50.00","100.00","50.00","30.77","60.00","55.56","100.00"
"6/3/2018","the Memorial Tournament","T52","-.324","40.00","16' 5""","65.00","-","77.78","66.67","50.00","55.56","83.33"
"5/20/2018","AT&T Byron Nelson","T3","1.634","40.00","12' 5""","60.00","100.00","100.00",".00","100.00","66.67","-"
"5/13/2018","THE PLAYERS Championship","T46",".097","40.00","12' 5""","55.56","100.00","100.00",".00","75.00","60.00","100.00"
"4/8/2018","Masters Tournament","T24","-","33.33","-","59.26","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T29","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","T8","-.107","57.14","9' 5""","71.43","50.00","82.35",".00","62.50","75.00","100.00"
"3/4/2018","WGC-Mexico Championship","T30",".106","33.33","7' 8""","67.86","100.00","70.00","66.67","66.67","42.86","100.00"
"2/18/2018","Genesis Open","T37",".444","37.50","14' 11""","65.63","100.00","70.00",".00","83.33","40.00","100.00"
"2/11/2018","AT&T Pebble Beach","T20",".218","62.50","7' 10""","56.25","-","16.67","-","100.00","40.00","100.00"
"10/29/2017","WGC-HSBC Champions","T15","-",".00","-","47.06","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T15","-","25.00","-","42.86","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T32","-","77.78","-","50.00","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/4/2017","Dell Technologies Champ","T25","1.167","37.50","10' 11""","54.17","40.00","80.00","33.33","71.43","62.50","40.00"
"8/27/2017","THE NORTHERN TRUST","CUT","-.574","25.00","11' 2""","57.14","100.00","25.00","100.00",".00","77.78",".00"
"8/13/2017","PGA Championship","CUT","1.829","71.43","5' 10""","52.38","100.00","50.00","25.00","37.50","71.43","100.00"
"8/6/2017","WGC-Bridgestone Invit'l","T28","-.162","33.33","12' 11""","68.00","100.00","61.54","50.00",".00","80.00","85.71"
"7/23/2017","The Open Championship","T6","-","83.33","-","62.50","-","-","-","-","-","-"
"6/18/2017","U.S. Open","T50",".371","66.67","14' 10""","63.64","-","66.67","28.57","66.67","71.43","100.00"
"5/14/2017","THE PLAYERS Championship","T48",".551","33.33","8' 8""","54.17","100.00","50.00","50.00","66.67","50.00","66.67"
"4/30/2017","Zurich Classic of New Orl","T24","-","-","-","-","-","-","-","-","-","-"
"4/23/2017","Valero Texas Open","T10",".559","50.00","15' 5""","75.00","100.00","71.43","50.00","60.00","87.50","85.71"
"4/16/2017","RBC Heritage","T11",".405","80.00","8' 9""","73.08","-","66.67","50.00","75.00","75.00","100.00"
"4/9/2017","Masters Tournament","T27","-","50.00","-","50.00","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T39","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","CUT","-1.208","33.33","6' 11""","55.56","100.00","66.67","33.33","25.00","66.67","100.00"
"3/5/2017","WGC-Mexico Championship","T32",".341","50.00","5' 3""","66.67","100.00","73.68","75.00",".00","64.29","100.00"
"2/26/2017","The Honda Classic","W/D","-1.046","50.00","15' 0""","37.50","-","50.00",".00","-","60.00","-"
"2/19/2017","Genesis Open","T22",".106","25.00","22' 0""","82.14","100.00","81.82","50.00","100.00","75.00","88.89"
"1/15/2017","Sony Open in Hawaii","T13",".073","60.00","7' 2""","68.75","66.67","100.00","50.00","66.67","62.50","100.00"
"1/8/2017","SBS Tournament of Champ","32","-1.233",".00","10' 1""","33.33","-","60.00",".00","20.00","75.00","100.00"
"10/30/2016","WGC-HSBC Champions","T30","-","80.00","-","52.17","-","-","-","-","-","-"
"10/23/2016","CIMB Classic","T33","-","100.00","-","64.71","-","-","-","-","-","-"
"9/11/2016","BMW Championship","T32","-.037","50.00","19' 8""","60.00",".00","75.00",".00","100.00","28.57","77.78"
"9/5/2016","Deutsche Bank Champ","T41","-.104","50.00","7' 8""","61.90","100.00","54.55",".00","60.00","50.00","100.00"
"8/28/2016","The Barclays","CUT","-1.576","30.00","14' 7""","35.29","-","57.14",".00",".00","50.00","75.00"
"8/7/2016","Travelers Championship","CUT",".155","100.00","4' 6""","64.29","100.00","33.33","40.00","-","80.00","75.00"
"7/31/2016","PGA Championship","T4",".199",".00","4' 3""","71.43","100.00","75.00","50.00",".00","80.00","83.33"
"7/17/2016","The Open Championship","T72","-","16.67","-","52.94","-","-","-","-","-","-"
"7/3/2016","WGC-Bridgestone Invit'l","T10",".218","37.50","6' 5""","60.71","100.00","71.43","25.00","50.00","66.67","75.00"
"6/28/2016","(*) CVS Health Charity","T3","-","-","-","-","-","-","-","-","-","-"
"6/19/2016","U.S. Open","T5","-","55.56","-","45.45","-","-","-","-","-","-"
"5/15/2016","THE PLAYERS Championship","T57",".100","71.43","6' 6""","55.17","50.00","42.86","28.57","57.14","75.00","66.67"
"4/24/2016","Valero Texas Open","T9",".245","60.00","7' 10""","72.73","100.00","55.56","100.00","40.00","85.71","50.00"
"4/17/2016","RBC Heritage","1","1.148","66.67","7' 5""","78.57","66.67","77.78","33.33","83.33","92.86","75.00"
"4/10/2016","Masters Tournament","CUT","-",".00","-","66.67","-","-","-","-","-","-"
"3/27/2016","WGC-Dell Match Play","T18","-","-","-","-","-","-","-","-","-","-"
"3/13/2016","Valspar Championship","T37","-.465","50.00","10' 5""","64.00","100.00","57.14","50.00","20.00","62.50","90.00"
"3/6/2016","WGC-Cadillac Championship","T23","-.301","69.23","7' 4""","52.00","100.00","42.86","50.00","25.00","70.00","60.00"
"2/28/2016","The Honda Classic","CUT",".077","80.00","4' 10""","38.46",".00","57.14","100.00","25.00","50.00",".00"
"11/8/2015","WGC-HSBC Champions","T5","-","25.00","-","57.14","-","-","-","-","-","-"
"11/1/2015","CIMB Classic","T17","-","40.00","-","62.50","-","-","-","-","-","-"
"10/11/2015","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-"
"8/23/2015","Wyndham Championship","T47","-.109","100.00","4' 5""","66.67","80.00","42.86",".00","37.50","100.00","100.00"
"8/16/2015","PGA Championship","3",".932","100.00","1' 4""","79.17","100.00","62.50","33.33","100.00","80.00","100.00"
"8/9/2015","WGC-Bridgestone Invit'l","T17","-.686","50.00","16' 3""","66.67","50.00","73.33","100.00","20.00","76.92","75.00"
"7/19/2015","The Open Championship","T20","-","50.00","-","68.75","-","-","-","-","-","-"
"6/28/2015","Travelers Championship","CUT","-.468",".00","9' 11""","46.67","-","62.50","25.00","50.00","57.14","-"
"6/21/2015","U.S. Open","T4","-",".00","-","46.67","-","-","-","-","-","-"
"5/10/2015","THE PLAYERS Championship","T42","1.040","60.00","8' 7""","55.56","66.67","45.45","40.00","20.00","63.64","100.00"
"5/3/2015","WGC-Cadillac Match Play","T9","-","-","-","-","-","-","-","-","-","-"
"4/19/2015","RBC Heritage","T7",".331","60.00","7' 2""","87.50","100.00","90.00","100.00","50.00","85.71","100.00"
"4/12/2015","Masters Tournament","CUT","-","33.33","-","68.42","-","-","-","-","-","-"
