"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","CUT","-1.316","-.177","294.8","294.0","316","50.00","27' 3""","7.14","28.57","1,998","117.36","1,998"
"10/28/2018","WGC-HSBC Champions","T41","-","-","-","-","341","51.79","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T48","-","-","-","-","-","48.21","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T50","-","-","-","-","-","62.50","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T43",".200",".504","301.1","292.4","336","64.29","30' 4""","7.14","16.07","73","116.28","60"
"8/26/2018","THE NORTHERN TRUST","CUT","-2.079","-.497","282.8","282.1","313","64.29","25' 6""","22.22","11.11","1,998","115.91","1,998"
"8/12/2018","PGA Championship","T27","1.816",".493","307.9","293.5","331","71.43","26' 3""","7.14","12.50","44","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T63","-.825","-.623","326.9","304.9","383","41.07","27' 5""","23.64","25.45","82","116.92","74"
"7/22/2018","The Open Championship","CUT","-","-","295.0","-","333","60.00","-","-","-","1,998","-","-"
"6/17/2018","U.S. Open","T25",".381",".243","297.4","292.8","360","64.29","-","12.50","19.64","97","-","-"
"6/3/2018","the Memorial Tournament","T52",".829",".538","292.4","288.6","325","69.64","23' 1""","5.36","17.86","68","115.64","46"
"5/20/2018","AT&T Byron Nelson","T3","2.221",".356","300.6","294.5","383","83.93","21' 8""","1.79","1.79","43","117.11","57"
"5/13/2018","THE PLAYERS Championship","T46",".091","-.459","290.6","291.1","356","51.79","31' 6""","1.82","20.00","110","114.33","133"
"4/8/2018","Masters Tournament","T24","-","-","292.1","-","312","58.93","-","-","-","61","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T29","-","-","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","T8","-.085",".324","305.1","281.6","352","46.15","21' 11""","19.61","25.49","81","114.73","127"
"3/4/2018","WGC-Mexico Championship","T30","-.500","-.185","303.5","299.8","366","55.36","20' 5""","14.55","27.27","68","113.80","85"
"2/18/2018","Genesis Open","T37",".984",".227","277.1","292.8","342","41.07","19' 9""","14.29","32.14","144","114.22","105"
"2/11/2018","AT&T Pebble Beach","T20","2.039","1.254","302.5","283.9","330","70.91","13' 5""","14.29","7.14","46","113.59","71"
"10/29/2017","WGC-HSBC Champions","T15","-","-","-","-","338","66.07","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T15","-","-","-","-","-","87.50","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T32","-","-","-","-","-","80.36","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/4/2017","Dell Technologies Champ","T25","2.133","-.222","282.9","281.8","324","55.36","29' 11""","14.81","14.81","127","115.95","94"
"8/27/2017","THE NORTHERN TRUST","CUT","-.563",".276","287.5","286.5","345","67.86","29' 9""","10.71","10.71","1,998","114.13","1,998"
"8/13/2017","PGA Championship","CUT","-.414","-.159","292.3","284.4","313","64.29","20' 0""","17.86","7.14","1,998","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T28",".539",".312","311.0","304.1","369","53.57","26' 7""","22.22","18.52","62","113.61","103"
