"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","CUT","-3.363","-","1.852","1.833","19.44","2.78","33.00","34.00","32.00","-","-","100.00","100.00","50.00","50.00",".00","-",".00","-","44.44","75.00",".00",".00",".00",".00","6' 0""","1' 11""","40' 2""","25.93"
"10/28/2018","WGC-HSBC Champions","T41","-","-","1.833","1.694","34.72","4.17","30.50","31.00","29.00","32.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","22.92"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T48","-","-","1.833","1.792","23.61","2.78","32.25","34.00","31.00","33.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","23.33"
"10/14/2018","CIMB Classic","T50","-","-","1.871","1.819","25.00","6.94","32.75","34.00","33.00","30.00","34.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.81"
"9/3/2018","Dell Technologies Champ","T43","-.103","99.3","1.766","1.556","41.67","2.78","28.00","31.00","28.00","27.00","26.00","100.00","80.00","100.00","83.33",".00","100.00","50.00",".00","78.57","87.67","25.00","20.00",".00","7.14","28' 10""","1' 11""","68' 2""","29.79"
"8/26/2018","THE NORTHERN TRUST","CUT","1.140","-","1.667","1.611","41.67","2.78","29.00","29.00","29.00","-","-","100.00","100.00","-","75.00","100.00","66.67","100.00",".00","72.73","86.11","50.00","25.00",".00",".00","17' 0""","2' 4""","82' 6""","37.50"
"8/12/2018","PGA Championship","T27","-.363","113.2","1.787","1.597","38.89","1.39","28.75","30.00","29.00","28.00","28.00","97.87","85.71","66.67","75.00","33.33","80.00","28.57",".00","66.67","81.01","16.67","33.33","27.27",".00","23' 4""","1' 7""","71' 2""","27.66"
"8/5/2018","WGC-Bridgestone Invit'l","T63","-1.020","102.0","1.830","1.708","33.33","4.17","30.75","29.00","31.00","33.00","30.00","98.18","100.00",".00","33.33","100.00","66.67","50.00",".00","46.15","85.71","35.71","14.29",".00",".00","16' 0""","1' 8""","53' 9""","21.28"
"7/22/2018","The Open Championship","CUT","-","-","1.909","1.722","22.22",".00","31.00","32.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18.18"
"6/17/2018","U.S. Open","T25","1.014","65.8","1.842","1.639","33.33","2.78","29.50","30.00","31.00","30.00","27.00","100.00","100.00","50.00","100.00","66.67","42.86","33.33","50.00","61.11","85.71","46.15","18.18","14.29","5.88","26' 8""","2' 11""","81' 3""","18.42"
"6/3/2018","the Memorial Tournament","T52","-.713","95.7","1.846","1.694","33.33","2.78","30.50","30.00","30.00","33.00","29.00","100.00","100.00",".00","83.33","100.00","33.33","42.86",".00","71.43","87.18","36.36",".00",".00",".00","13' 7""","2' 3""","56' 10""","25.00"
"5/20/2018","AT&T Byron Nelson","T3",".963","68.7","1.614","1.556","43.06","4.17","28.00","30.00","28.00","32.00","22.00","97.56","92.31","80.00","66.67","100.00",".00","100.00","50.00","75.00","91.30","25.00","36.36","16.67",".00","20' 1""","1' 11""","70' 3""","42.86"
"5/13/2018","THE PLAYERS Championship","T46",".435","75.3","1.815","1.681","33.33","4.17","30.25","30.00","27.00","34.00","30.00","95.65","75.00","100.00","80.00","60.00","75.00","50.00","100.00","76.47","88.73","37.50",".00","28.57",".00","24' 2""","2' 4""","74' 9""","29.63"
"4/8/2018","Masters Tournament","T24","-","-","1.822","1.597","40.28","5.56","28.75","29.00","29.00","33.00","24.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33.33"
"3/25/2018","WGC-Dell Tech Match Play","T29","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","T8","2.048","51.3","1.622","1.431","58.33","1.39","25.75","29.00","24.00","24.00","26.00","100.00","100.00","66.67","100.00","100.00",".00","80.00","100.00","63.64","92.54","45.45","28.57","40.00","7.69","32' 7""","1' 10""","88' 5""","40.54"
"3/4/2018","WGC-Mexico Championship","T30",".348","47.2","1.727","1.542","44.44","1.39","27.75","28.00","30.00","29.00","24.00","100.00","81.82","80.00","75.00","50.00","66.67","100.00",".00","71.43","90.28","30.77","20.00","16.67",".00","24' 10""","2' 3""","64' 7""","29.55"
"2/18/2018","Genesis Open","T37","-.152","62.9","1.800","1.583","45.83","4.17","28.50","26.00","29.00","29.00","30.00","97.83","90.91","100.00","75.00","33.33","75.00","50.00","100.00","55.56","86.08","50.00",".00","12.50","6.67","28' 4""","2' 2""","64' 10""","37.50"
"2/11/2018","AT&T Pebble Beach","T20","1.642","30.5","1.768","1.681","34.72","2.78","30.25","29.00","32.00","32.00","28.00","100.00","100.00","-","66.67",".00","100.00","-","50.00","62.50","88.24","33.33","25.00","25.00","16.67","55' 0""","1' 7""","105' 4""","28.57"
"10/29/2017","WGC-HSBC Champions","T15","-","-","1.745","1.722","31.94","4.17","31.00","31.00","31.00","31.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.91"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T15","-","-","1.862","1.806","26.39","6.94","32.50","37.00","29.00","31.00","33.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.86"
"10/15/2017","CIMB Classic","T32","-","-","1.720","1.625","37.50","2.78","29.25","26.00","29.00","32.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34.00"
"10/1/2017","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/4/2017","Dell Technologies Champ","T25","-1.380","122.0","1.750","1.639","37.50","6.94","29.50","31.00","29.00","27.00","31.00","100.00","83.33","50.00","33.33","25.00","40.00","75.00","100.00","38.89","82.28","37.50","18.18",".00",".00","15' 9""","2' 4""","62' 3""","31.25"
"8/27/2017","THE NORTHERN TRUST","CUT",".063","-","1.818","1.667","33.33",".00","30.00","32.00","28.00","-","-","100.00","100.00","50.00","100.00",".00","100.00","50.00",".00","60.00","89.19","50.00",".00",".00",".00","13' 4""","2' 3""","62' 6""","18.18"
"8/13/2017","PGA Championship","CUT","-.917","-","1.867","1.639","36.11","5.56","29.50","30.00","29.00","-","-","100.00","100.00","50.00","40.00","-","-","33.33","100.00","44.44","82.50","20.00",".00",".00","12.50","34' 3""","2' 3""","66' 7""","13.33"
"8/6/2017","WGC-Bridgestone Invit'l","T28",".207","64.0","1.809","1.625","37.50",".00","29.25","29.00","29.00","31.00","28.00","100.00","100.00","81.82","100.00","75.00","50.00","100.00","50.00","80.00","93.06","7.69",".00","30.00","6.25","27' 7""","1' 10""","71' 9""","19.15"
"7/23/2017","The Open Championship","T6","-","-","1.771","1.611","40.28","1.39","29.00","24.00","31.00","28.00","33.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29.17"
"6/18/2017","U.S. Open","T50","-.648","90.3","1.940","1.750","33.33","8.33","31.50","31.00","32.00","29.00","34.00","100.00","100.00","100.00","83.33","66.67","25.00","16.67","33.33","71.43","80.77","40.00","18.18","12.50","10.53","28' 3""","4' 3""","91' 6""","20.00"
"5/14/2017","THE PLAYERS Championship","T48","-.081","72.4","1.917","1.722","26.39","1.39","31.00","30.00","28.00","33.00","33.00","100.00","100.00","80.00",".00","100.00","75.00",".00","50.00","72.22","86.49","40.00","14.29",".00","4.55","29' 4""","2' 9""","69' 11""","16.67"
"4/30/2017","Zurich Classic of New Orl","T24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/23/2017","Valero Texas Open","T10","-.460","102.3","1.792","1.583","43.06","4.17","28.50","26.00","29.00","30.00","29.00","97.78","66.67","63.64","60.00","75.00","100.00","-","100.00","68.00","86.49","33.33",".00","16.67","7.14","25' 9""","2' 1""","69' 7""","29.17"
"4/16/2017","RBC Heritage","T11",".874","45.7","1.630","1.472","52.78",".00","26.50","26.00","28.00","28.00","24.00","100.00","84.62","100.00","75.00","100.00","83.33","25.00","50.00","88.24","89.47","28.57","25.00",".00","6.67","26' 6""","1' 11""","70' 2""","36.96"
"4/9/2017","Masters Tournament","T27","-","-","1.900","1.736","26.39","5.56","31.25","32.00","30.00","31.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18.37"
"3/26/2017","WGC-Dell Tech Match Play","T39","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","CUT","-.676","-","1.889","1.528","52.78","5.56","27.50","28.00","27.00","-","-","100.00","100.00","75.00","100.00","33.33","50.00","-","50.00","60.00","87.80",".00",".00","-",".00","9' 10""","2' 5""","48' 3""","27.78"
"3/5/2017","WGC-Mexico Championship","T32","-.515","92.6","1.738","1.542","43.06","2.78","27.75","26.00","28.00","29.00","28.00","97.87","77.78","60.00","50.00","37.50",".00","75.00","-","42.11","81.01","40.00",".00","25.00","7.14","27' 4""","1' 11""","63' 8""","35.71"
"2/26/2017","The Honda Classic","W/D","-2.892","-","2.100","1.889","16.67","5.56","34.00","34.00","-","-","-","100.00","-","33.33","50.00","-","100.00","-","-","50.00","85.71",".00",".00",".00",".00","-","1' 8""","38' 6""",".00"
"2/19/2017","Genesis Open","T22",".714","73.8","1.795","1.542","45.83","2.78","27.75","25.00","26.00","30.00","30.00","100.00","87.50","75.00","85.71","66.67","100.00",".00","33.33","80.95","88.16","16.67","37.50",".00",".00","19' 7""","2' 1""","65' 10""","25.00"
"1/15/2017","Sony Open in Hawaii","T13","1.225","67.4","1.732","1.625","40.28","2.78","29.25","31.00","32.00","26.00","28.00","100.00","100.00","87.50","75.00","50.00","100.00","75.00",".00","77.78","90.14","33.33","38.46","22.22",".00","24' 5""","2' 2""","80' 4""","33.93"
"1/8/2017","SBS Tournament of Champ","32","-1.358","45.8","1.860","1.806","25.00","5.56","32.50","34.00","35.00","31.00","30.00","97.92","77.78","66.67","100.00","60.00",".00","50.00","33.33","64.71","83.95","21.05",".00",".00",".00","14' 2""","2' 4""","57' 7""","24.56"
"10/30/2016","WGC-HSBC Champions","T30","-","-","1.796","1.569","41.67","4.17","28.25","30.00","25.00","29.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","28.57"
"10/23/2016","CIMB Classic","T33","-","-","1.818","1.694","31.94","4.17","30.50","30.00","32.00","32.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","27.27"
"9/11/2016","BMW Championship","T32","-.169","63.5","1.745","1.597","41.67","1.39","28.75","30.00","26.00","30.00","29.00","100.00","83.33","85.71","75.00","100.00","100.00","50.00","33.33","82.35","90.41","50.00",".00",".00","11.11","27' 9""","2' 6""","70' 3""","34.04"
"9/5/2016","Deutsche Bank Champ","T41","-.691","74.8","1.804","1.625","37.50","2.78","29.25","27.00","26.00","36.00","28.00","97.83","87.50","100.00","66.67","60.00","-",".00","40.00","66.67","84.62","37.50","16.67","11.11",".00","23' 8""","2' 2""","62' 7""","25.49"
