"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","T62","-1.823","56.94","25.00","66.67","100.00","39' 6""","47' 1""","47' 3""","46' 11""","31' 11""","62' 8""","53' 5""","57' 1""","44' 7""","-","9' 8""","19' 9""","13' 8""","17' 1""","32' 0""","31' 9""","52' 8""","-","-","96' 2""","45' 5""","53' 5""","30' 5""","65' 9""","60' 3""","42' 9""","41' 10""","28' 1""","16' 3""","39' 11""","16' 4""","1","13"
"1/13/2019","Sony Open in Hawaii","T16",".925","68.06","77.78","14.29","100.00","37' 6""","48' 11""","52' 2""","46' 4""","31' 3""","-","69' 0""","33' 11""","46' 9""","-","10' 11""","15' 0""","13' 0""","15' 2""","32' 3""","45' 3""","53' 6""","-","-","65' 10""","64' 9""","50' 9""","8' 6""","65' 5""","55' 11""","35' 10""","37' 8""","37' 9""","52' 4""","8' 6""","-","-","-"
"1/6/2019","Sentry T of C","T22","-.625","69.44","56.52","7.69","46.15","41' 6""","45' 11""","76' 11""","21' 2""","38' 11""","-","91' 1""","50' 1""","45' 5""","32' 2""","16' 7""","21' 8""","22' 3""","25' 6""","37' 4""","43' 7""","55' 0""","-","-","-","-","49' 3""","19' 7""","-","82' 7""","41' 8""","59' 4""","29' 1""","33' 11""","19' 7""","-","-","-"
"12/9/2018","(*) QBE Shootout","T8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T30","-","55.56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T36","-","77.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T66","-","69.44","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/7/2018","Safeway Open","T2",".048","68.06","81.25","7.69","76.92","36' 7""","46' 0""","53' 10""","41' 4""","32' 7""","57' 9""","26' 7""","57' 4""","34' 8""","13' 2""","15' 9""","41' 0""","24' 7""","34' 2""","39' 7""","32' 6""","40' 9""","-","55' 1""","56' 9""","106' 4""","50' 3""","22' 11""","65' 8""","78' 9""","39' 4""","30' 0""","35' 0""","47' 0""","22' 11""","-","-","-"
"9/9/2018","BMW Championship","67","-1.145","70.83","55.56","20.00","20.00","40' 0""","41' 10""","21' 7""","52' 0""","39' 11""","95' 7""","113' 1""","62' 4""","49' 5""","9' 3""","15' 8""","15' 3""","13' 4""","21' 1""","28' 6""","52' 11""","65' 5""","-","-","102' 5""","79' 5""","47' 3""","6' 6""","90' 11""","103' 8""","52' 11""","39' 0""","17' 1""","21' 3""","7' 3""","5' 9""","-","-"
"9/3/2018","Dell Technologies Champ","T31","-1.206","61.11","56.25","22.22","55.56","40' 11""","48' 3""","43' 3""","50' 8""","35' 10""","-","56' 4""","39' 3""","53' 10""","-","13' 3""","26' 2""","22' 4""","23' 0""","34' 10""","37' 11""","50' 4""","-","-","44' 8""","40' 4""","51' 11""","18' 11""","42' 6""","66' 9""","26' 7""","76' 9""","18' 11""","-","-","18' 11""","2","11"
