"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","T62","1.558","69.23","4' 11""","70.97","100.00","80.00","42.86","100.00","90.00","83.33"
"1/13/2019","Sony Open in Hawaii","T16",".199","62.50","6' 8""","73.91","100.00",".00","33.33","40.00","87.50","100.00"
"1/6/2019","Sentry T of C","T22",".050","33.33","6' 10""","68.18","75.00","55.56","50.00","40.00","75.00","100.00"
"12/9/2018","(*) QBE Shootout","T8","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T30","-","75.00","-","53.13","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T36","-","50.00","-","68.75","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T66","-","50.00","-","50.00","-","-","-","-","-","-"
"10/7/2018","Safeway Open","T2",".593","40.00","4' 7""","60.87","100.00","63.64",".00","75.00","54.55","100.00"
"9/9/2018","BMW Championship","67","-.577","42.86","11' 1""","38.10","-","16.67","50.00","20.00","44.44",".00"
"9/3/2018","Dell Technologies Champ","T31",".873","45.45","7' 4""","71.43","100.00","69.23","66.67","44.44","81.82","100.00"
"8/19/2018","Wyndham Championship","1",".763","100.00","7' 6""","57.14","100.00","25.00",".00","100.00","40.00","100.00"
"8/12/2018","PGA Championship","T42",".426","71.43","6' 8""","50.00","-","37.50","42.86","33.33","83.33","50.00"
"7/29/2018","RBC Canadian Open","T8",".186","50.00","11' 6""","60.87","100.00","61.11",".00","50.00","63.64","66.67"
"7/22/2018","The Open Championship","CUT","-","33.33","-","33.33","-","-","-","-","-","-"
"7/8/2018","The Greenbrier","T3",".472","50.00","12' 2""","61.11","100.00","50.00",".00","60.00","71.43","100.00"
"6/24/2018","Travelers Championship","CUT","-1.002",".00","16' 5""","44.44","-","50.00","100.00",".00","50.00","50.00"
"6/17/2018","U.S. Open","T48",".572","56.25","11' 2""","50.00","100.00",".00","40.00","66.67","53.85","-"
"6/10/2018","FedEx St. Jude Classic","T6","1.148","75.00","5' 9""","70.97","100.00","71.43","50.00","100.00","78.57","80.00"
"5/27/2018","Fort Worth Invitational","T42",".948","60.00","5' 7""","53.85","100.00","58.33",".00","60.00","58.33","80.00"
"5/20/2018","AT&T Byron Nelson","CUT","-1.080","33.33","8' 6""","54.55","100.00","100.00",".00","50.00","75.00","100.00"
"5/13/2018","THE PLAYERS Championship","CUT","-.085","60.00","13' 1""","38.10","-","40.00",".00","33.33","37.50","100.00"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","15","1.177","57.14","17' 6""","78.57","100.00","77.78","25.00","100.00","78.57","100.00"
"4/15/2018","RBC Heritage","T23",".353","50.00","9' 1""","62.50","100.00","75.00","50.00","80.00","58.33","75.00"
"4/1/2018","Houston Open","T87","-.107","100.00","2' 11""","56.25","100.00","33.33",".00","33.33","66.67","80.00"
"3/18/2018","Arnold Palmer Invt'l","CUT","-.676","42.86","13' 10""","61.54","100.00","100.00",".00","66.67","75.00","-"
"3/11/2018","Valspar Championship","T31","-.291","66.67","10' 11""","57.14","100.00","50.00","20.00","42.86","62.50","87.50"
"2/25/2018","The Honda Classic","CUT","-1.597","50.00","12' 6""","41.67","100.00","33.33",".00",".00","50.00","100.00"
"2/11/2018","AT&T Pebble Beach","T20","1.179","63.64","5' 10""","59.26","-","55.56","66.67",".00","75.00","66.67"
"2/4/2018","Waste Management Phoenix","T23",".438","85.71","7' 6""","80.95","-","50.00","25.00","100.00","87.50","100.00"
"1/28/2018","Farmers Insurance Open","T45",".868","70.00","9' 5""","70.97","66.67","63.64","25.00","25.00","84.62","100.00"
"1/21/2018","CareerBuilder Challenge","CUT","-.377","50.00","29' 11""","76.19","-","84.62","-",".00","100.00","100.00"
"12/10/2017","(*) QBE Shootout","T7","-","-","-","-","-","-","-","-","-","-"
"11/19/2017","The RSM Classic","T29",".734","50.00","11' 6""","76.19","100.00","77.78","50.00","50.00","87.50","100.00"
"8/6/2017","WGC-Bridgestone Invit'l","DNS","-","-","-","-","-","-","-","-","-","-"
"6/25/2017","Travelers Championship","T14","1.569","50.00","12' 5""","73.91","100.00","71.43","33.33","100.00","77.78","100.00"
"6/18/2017","U.S. Open","T9","-.048",".00","10' 4""","46.67","100.00","66.67",".00","42.86","50.00","100.00"
"5/28/2017","DEAN & DELUCA Invt'l","T48",".143","62.50","12' 6""","54.84","100.00","52.63","16.67","66.67","70.00","77.78"
"5/21/2017","AT&T Byron Nelson","CUT",".494","80.00","6' 1""","63.64","100.00","25.00","44.44","50.00","75.00","100.00"
"4/16/2017","RBC Heritage","T11",".156","50.00","13' 10""","75.00","100.00","83.33","100.00","100.00","66.67","85.71"
"4/9/2017","Masters Tournament","T27","-","40.00","-","64.29","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T28","-.548","64.29","10' 7""","58.62","100.00","50.00","33.33","62.50","50.00","100.00"
"3/5/2017","WGC-Mexico Championship","T7",".398","60.00","11' 11""","52.38",".00","53.85","60.00","50.00","44.44","60.00"
"2/19/2017","Genesis Open","CUT","1.334","100.00","0""","46.67","100.00","50.00","16.67",".00","60.00","100.00"
"2/12/2017","AT&T Pebble Beach","4","-.456","40.00","11' 5""","70.00","100.00","66.67","100.00","33.33","66.67","100.00"
"1/29/2017","Farmers Insurance Open","T9",".891","85.71","3' 3""","64.00","-","45.45","33.33","33.33","100.00","100.00"
"1/15/2017","Sony Open in Hawaii","CUT",".818","50.00","7' 2""","72.73","100.00","50.00","25.00","100.00","100.00","100.00"
"1/8/2017","SBS Tournament of Champ","T14",".609","50.00","28' 6""","78.57","100.00","75.00","66.67","50.00","100.00","75.00"
"12/10/2016","(*) Franklin Templeton","T8","-","-","-","-","-","-","-","-","-","-"
"12/4/2016","(*) Hero World Challenge","T6","-","-","-","-","-","-","-","-","-","-"
"11/20/2016","The RSM Classic","T45","-.987","25.00","11' 7""","66.67","100.00","71.43","25.00","50.00","83.33","-"
"10/2/2016","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/25/2016","TOUR Championship","T17",".600","81.82","6' 7""","70.00","-","64.29","28.57","85.71","84.62","100.00"
"9/11/2016","BMW Championship","T13",".387","100.00","2' 5""","66.67","33.33","73.33","40.00","80.00","70.00","100.00"
"9/5/2016","Deutsche Bank Champ","T46","-.281","83.33","7' 9""","50.00","100.00","33.33",".00","33.33","62.50","100.00"
"8/28/2016","The Barclays","T48",".190","66.67","9' 4""","56.25","100.00","61.54","25.00","50.00","60.00","75.00"
"8/21/2016","Wyndham Championship","T3",".493","75.00","6' 8""","63.16","66.67","40.00","33.33","60.00","77.78","100.00"
"7/31/2016","PGA Championship","T56",".463","33.33","5' 0""","72.22","-","70.00","80.00","50.00","66.67","83.33"
"7/24/2016","RBC Canadian Open","T5",".438","75.00","6' 6""","65.38","100.00","70.00",".00",".00","80.00","83.33"
"7/17/2016","The Open Championship","T22","-","50.00","-","51.52","-","-","-","-","-","-"
"7/3/2016","WGC-Bridgestone Invit'l","T21",".078","10.00","11' 10""","57.58","100.00","86.67","75.00","28.57","41.67","90.00"
"6/19/2016","U.S. Open","CUT","-",".00","-","30.77","-","-","-","-","-","-"
"5/29/2016","DEAN & DELUCA Invt'l","T17","-.203","25.00","16' 6""","66.67","100.00","85.71","100.00","33.33","33.33","87.50"
"5/22/2016","AT&T Byron Nelson","CUT","-.161","33.33","9' 11""","50.00","66.67",".00",".00","60.00","25.00","100.00"
"5/15/2016","THE PLAYERS Championship","CUT","-.430","50.00","11' 10""","75.00","50.00","100.00","75.00","100.00","50.00","75.00"
"4/24/2016","Valero Texas Open","T25","1.059","71.43","7' 7""","70.37","100.00","50.00","40.00","75.00","69.23","100.00"
"4/17/2016","RBC Heritage","CUT","-.739","50.00","5' 7""","61.90","66.67","33.33","100.00",".00","57.14","100.00"
"4/10/2016","Masters Tournament","T10","-","50.00","-","62.07","-","-","-","-","-","-"
"3/27/2016","WGC-Dell Match Play","T9","-","-","-","-","-","-","-","-","-","-"
"3/20/2016","Arnold Palmer Invt'l","T36",".308",".00","8' 3""","73.33","87.50","88.89","50.00","100.00","71.43","85.71"
"3/6/2016","WGC-Cadillac Championship","W/D","1.194","33.33","12' 11""","44.44","100.00","66.67",".00","50.00","100.00","100.00"
"2/14/2016","AT&T Pebble Beach","T35","2.742","80.00","2' 11""","62.96","100.00","50.00","-","20.00","77.78","100.00"
"2/7/2016","Waste Management Phoenix","T33","-.004","40.00","12' 11""","56.00","100.00","44.44","42.86","50.00","50.00","100.00"
"1/31/2016","Farmers Insurance Open","1",".755","50.00","5' 8""","62.50","100.00","53.85","40.00","60.00","66.67","75.00"
