"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","T62","-.776","-.511","289.4","284.5","310","55.36","32' 2""","11.90","21.43","90","108.50","28"
"1/13/2019","Sony Open in Hawaii","T16",".120","-1.004","307.3","282.9","353","48.21","17' 7""","16.07","23.21","90","108.41","54"
"1/6/2019","Sentry T of C","T22","-.918","-.343","274.5","283.1","366","81.67","16' 4""","6.67","6.67","26","109.79","15"
"12/9/2018","(*) QBE Shootout","T8","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T30","-","-","-","-","318","53.57","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T36","-","-","-","-","-","76.79","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T66","-","-","-","-","-","67.86","-","-","-","-","-","-"
"10/7/2018","Safeway Open","T2","1.193",".552","309.5","290.3","358","55.36","28' 11""","14.29","19.64","62","108.61","10"
"9/9/2018","BMW Championship","67","-2.826","-1.104","284.1","278.6","332","64.29","27' 6""","8.93","17.86","113","109.53","32"
"9/3/2018","Dell Technologies Champ","T31","-.637","-.303","298.4","283.4","335","64.29","22' 1""","8.93","14.29","79","109.68","58"
"8/19/2018","Wyndham Championship","1","2.783",".033","315.4","282.7","330","57.14","19' 9""","18.18","21.82","76","109.53","57"
"8/12/2018","PGA Championship","T42","-.679","-.271","290.9","278.1","311","69.64","28' 6""","16.07","3.57","95","-","-"
"7/29/2018","RBC Canadian Open","T8","1.470",".101","299.3","296.7","389","58.93","27' 0""","16.07","17.86","56","110.37","12"
"7/22/2018","The Open Championship","CUT","-","-","292.8","-","338","30.00","-","-","-","1,998","-","-"
"7/8/2018","The Greenbrier","T3","1.906","-.309","305.5","293.8","343","57.14","24' 7""","25.00","10.71","116","110.51","88"
"6/24/2018","Travelers Championship","CUT","-1.072",".129","292.5","281.9","339","67.86","21' 1""","10.71","3.57","1,998","108.39","1,998"
"6/17/2018","U.S. Open","T48","-.262","-.280","295.0","283.3","336","71.43","-","14.29","14.29","89","-","-"
"6/10/2018","FedEx St. Jude Classic","T6",".695","-.277","297.3","289.3","334","42.86","27' 6""","25.93","18.52","102","111.45","79"
"5/27/2018","Fort Worth Invitational","T42",".601",".139","287.6","282.5","330","58.93","27' 9""","10.71","21.43","104","110.73","90"
"5/20/2018","AT&T Byron Nelson","CUT",".433",".046","299.8","289.6","333","85.71","18' 3""","3.70",".00","1,998","113.38","1,998"
