"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","T62","-.130","99.2","1.805","1.569","43.06","2.78","28.25","29.00","28.00","27.00","29.00","100.00","80.00","50.00","100.00","100.00",".00","50.00","75.00","42.86","87.93","40.00",".00",".00",".00","11' 6""","1' 10""","50' 0""","34.15"
"1/13/2019","Sony Open in Hawaii","T16","1.641","26.3","1.633","1.486","51.39",".00","26.75","29.00","28.00","27.00","23.00","100.00","100.00","100.00","66.67","100.00","100.00","100.00","100.00","92.31","98.48","55.56","9.09",".00","6.25","27' 0""","2' 7""","77' 8""","38.78"
"1/6/2019","Sentry T of C","T22",".092","25.5","1.800","1.625","36.11","1.39","29.25","30.00","30.00","29.00","28.00","100.00","90.00","75.00","83.33","100.00","20.00","100.00","100.00","66.67","90.41","15.38","37.50",".00",".00","19' 7""","2' 4""","64' 5""","24.00"
"12/9/2018","(*) QBE Shootout","T8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T30","-","-","1.725","1.542","47.22","1.39","27.75","27.00","30.00","25.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","35.00"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T36","-","-","1.875","1.736","33.33","6.94","31.25","29.00","34.00","33.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.00"
"10/14/2018","CIMB Classic","T66","-","-","1.760","1.653","36.11","1.39","29.75","33.00","28.00","28.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34.00"
"10/7/2018","Safeway Open","T2","1.664","28.2","1.551","1.486","51.39",".00","26.75","27.00","25.00","27.00","28.00","100.00","100.00","100.00","100.00","60.00","25.00","100.00","33.33","68.75","90.41","33.33","40.00",".00","10.00","40' 4""","2' 3""","79' 10""","46.94"
"9/9/2018","BMW Championship","67","-.040","82.9","1.784","1.722","31.94","4.17","31.00","31.00","31.00","31.00","31.00","97.62","100.00","40.00","75.00","66.67","80.00","50.00","-","64.71","87.67","44.44","16.67",".00","8.70","28' 4""","2' 4""","80' 10""","27.45"
"9/3/2018","Dell Technologies Champ","T31","1.234","50.2","1.795","1.528","40.28","1.39","27.50","28.00","32.00","26.00","24.00","100.00","100.00","87.50","100.00","25.00","75.00","66.67",".00","76.19","88.06","55.56","45.45",".00",".00","19' 8""","3' 0""","87' 11""","25.00"
"8/19/2018","Wyndham Championship","1",".866","60.1","1.638","1.569","36.11","1.39","28.25","22.00","30.00","30.00","31.00","100.00","100.00","80.00","33.33","100.00","50.00",".00","100.00","69.23","91.04","27.27","33.33",".00","14.81","33' 10""","2' 3""","83' 7""","40.35"
"8/12/2018","PGA Championship","T42","1.382","62.5","1.750","1.639","37.50","1.39","29.50","32.00","29.00","31.00","26.00","100.00","88.89","100.00","100.00","80.00","66.67","33.33","50.00","88.24","91.18","41.67","10.00",".00","17.39","37' 11""","2' 5""","95' 4""","28.85"
"7/29/2018","RBC Canadian Open","T8",".643","69.8","1.592","1.514","44.44","1.39","27.25","27.00","29.00","28.00","25.00","100.00","100.00","100.00",".00","50.00",".00","40.00","100.00","60.00","87.14","37.50","25.00","33.33","11.76","49' 2""","2' 1""","89' 6""","38.30"
"7/22/2018","The Open Championship","CUT","-","-","1.889","1.694","25.00",".00","30.50","31.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","11.11"
"7/8/2018","The Greenbrier","T3",".816","37.3","1.611","1.542","43.06",".00","27.75","30.00","28.00","28.00","25.00","100.00","100.00","100.00","60.00","83.33","100.00","20.00","-","85.71","90.14","29.41","25.00","14.29",".00","22' 3""","1' 10""","74' 4""","38.89"
"6/24/2018","Travelers Championship","CUT","-1.544","-","2.000","1.861","22.22","8.33","33.50","34.00","33.00","-","-","96.15","100.00","100.00",".00","50.00","100.00","-","50.00","42.86","84.62","22.22","25.00",".00",".00","18' 9""","2' 4""","65' 8""","11.11"
"6/17/2018","U.S. Open","T48",".656","71.8","1.868","1.708","33.33","4.17","30.75","30.00","33.00","29.00","31.00","100.00","81.25","87.50","100.00","60.00","100.00","20.00",".00","84.21","85.53","35.71",".00","25.00",".00","23' 10""","2' 8""","77' 9""","15.79"
"6/10/2018","FedEx St. Jude Classic","T6","1.500","49.6","1.634","1.431","55.56","1.39","25.75","29.00","22.00","25.00","27.00","100.00","77.78","100.00","100.00","66.67","33.33","33.33","33.33","81.25","86.76","55.56","44.44","16.67","18.18","38' 6""","2' 2""","99' 0""","39.02"
"5/27/2018","Fort Worth Invitational","T42",".028","91.7","1.674","1.556","37.50","1.39","28.00","27.00","31.00","29.00","25.00","100.00","100.00","80.00","100.00",".00","33.33","100.00","100.00","50.00","88.73","40.00",".00","12.50","5.88","28' 7""","2' 4""","72' 2""","34.78"
