"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","CUT","-1.966","58.33","25.00","100.00","100.00","41' 8""","60' 2""","29' 9""","121' 0""","35' 6""","-","14' 2""","66' 10""","40' 9""","25' 7""","-","41' 5""","36' 2""","36' 11""","29' 6""","-","40' 8""","-","121' 0""","-","-","60' 2""","-","121' 0""","40' 0""","-","19' 6""","-","-","-","-","1","-"
"1/20/2019","Desert Classic","CUT","-1.263","50.00","25.00",".00",".00","38' 8""","58' 9""","34' 2""","64' 11""","29' 0""","-","-","-","34' 3""","-","30' 3""","11' 9""","17' 11""","16' 2""","34' 11""","-","34' 3""","170' 7""","-","-","-","64' 11""","34' 2""","170' 7""","-","9' 3""","63' 4""","25' 4""","16' 6""","34' 2""","-","1","-"
"1/13/2019","Sony Open in Hawaii","CUT","-1.255","50.00","60.00",".00","33.33","40' 0""","58' 0""","100' 9""","42' 0""","30' 10""","-","-","-","34' 0""","26' 3""","11' 6""","16' 5""","17' 3""","12' 1""","35' 0""","47' 4""","34' 0""","-","-","48' 10""","58' 0""","49' 5""","143' 11""","56' 2""","87' 3""","40' 3""","18' 6""","85' 8""","27' 4""","-","143' 11""","-","-"
"12/9/2018","(*) QBE Shootout","T1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/18/2018","The RSM Classic","T32","-1.697","72.22","50.00","66.67","66.67","33' 3""","-","-","-","32' 8""","-","-","49' 10""","21' 8""","12' 8""","28' 6""","33' 0""","29' 6""","29' 8""","27' 2""","43' 6""","33' 9""","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T68","-","66.67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","72","-","45.83","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T36","-","79.17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","68","-1.581","63.89","66.67",".00",".00","41' 3""","47' 6""","52' 7""","42' 5""","39' 4""","134' 8""","101' 2""","47' 7""","47' 11""","-","22' 11""","21' 3""","21' 11""","22' 6""","23' 6""","40' 1""","65' 5""","-","-","102' 9""","-","50' 2""","18' 8""","102' 9""","80' 5""","58' 1""","41' 5""","12' 5""","10' 4""","18' 8""","-","-","-"
"9/3/2018","Dell Technologies Champ","T49","-.843","61.11","50.00","12.50","62.50","38' 3""","41' 11""","43' 7""","38' 7""","34' 0""","-","70' 7""","59' 10""","43' 9""","9' 3""","11' 5""","20' 11""","17' 11""","23' 4""","29' 3""","35' 2""","53' 8""","-","-","-","47' 11""","43' 4""","25' 10""","47' 11""","58' 3""","32' 10""","44' 11""","-","-","-","-","-","-"
