"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","CUT","-.010","66.67","3' 10""","60.00","-","20.00",".00","100.00","66.67","100.00"
"1/20/2019","Desert Classic","CUT",".775","66.67","-","70.37","-","71.43","-","100.00","50.00","100.00"
"1/13/2019","Sony Open in Hawaii","CUT",".182","40.00","8' 1""","55.56","33.33","50.00",".00","40.00","60.00","100.00"
"12/9/2018","(*) QBE Shootout","T1","-","-","-","-","-","-","-","-","-","-"
"11/18/2018","The RSM Classic","T32",".867","100.00","2' 11""","75.00","100.00","50.00",".00","100.00","77.78","100.00"
"11/11/2018","Mayakoba Golf Classic","T68","-","50.00","-","41.67","-","27.27","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","72","-","44.44","-","51.28","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T36","-","57.14","-","46.67","-","-","-","-","-","-"
"9/9/2018","BMW Championship","68","-.657",".00","10' 1""","50.00","100.00","80.00","25.00","40.00","42.86","77.78"
"9/3/2018","Dell Technologies Champ","T49","-.228","77.78","7' 7""","64.29","100.00","46.15","100.00","20.00","61.54","87.50"
"8/26/2018","THE NORTHERN TRUST","T48",".109","75.00","4' 1""","65.00","100.00","71.43","75.00",".00","77.78","60.00"
"8/12/2018","PGA Championship","T71",".122","75.00","10' 5""","55.17","-","38.46","30.00","50.00","71.43","85.71"
"8/5/2018","WGC-Bridgestone Invit'l","62","-.614","50.00","10' 5""","56.25","100.00","47.06","14.29","25.00","70.00","90.00"
"7/22/2018","The Open Championship","CUT","-","33.33","-","40.00","-","-","-","-","-","-"
"7/8/2018","The Greenbrier","T56","-.282","28.57","12' 4""","50.00","100.00","50.00","40.00","33.33","50.00","66.67"
"6/24/2018","Travelers Championship","T6","-.158","50.00","13' 7""","65.22","100.00","57.14",".00","85.71","63.64","66.67"
"6/17/2018","U.S. Open","T36",".572","42.86","12' 10""","46.43","50.00","33.33","20.00","60.00","42.86",".00"
"5/27/2018","Fort Worth Invitational","T14","-.371","25.00","8' 4""","45.45","100.00","50.00",".00","20.00","66.67","71.43"
"5/13/2018","THE PLAYERS Championship","CUT","-2.393","33.33","12' 6""","28.57","100.00","33.33",".00","50.00","42.86",".00"
"5/6/2018","Wells Fargo Championship","74","1.019","60.00","5' 10""","48.48","50.00","46.15","14.29","44.44","66.67","75.00"
"4/15/2018","RBC Heritage","T23","-.955","60.00","9' 2""","73.91","-","62.50",".00","100.00","76.92","83.33"
"4/8/2018","Masters Tournament","T44","-","30.00","-","42.86","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T54",".061","37.50","8' 7""","59.09","100.00","33.33",".00","66.67","66.67","100.00"
"3/4/2018","WGC-Mexico Championship","T5",".061","40.00","11' 4""","64.71","75.00","83.33","20.00","66.67","100.00","100.00"
"2/25/2018","The Honda Classic","T33",".112","50.00","8' 5""","53.85","100.00","60.00",".00","66.67","64.29","75.00"
"1/28/2018","Farmers Insurance Open","CUT",".334","60.00","4' 8""","50.00","100.00",".00","50.00","-","40.00","100.00"
"1/21/2018","CareerBuilder Challenge","T20","-.268","25.00","10' 0""","69.23","100.00","68.75","-","60.00","62.50","66.67"
"1/14/2018","Sony Open in Hawaii","T4","-.133","28.57","11' 8""","64.71","100.00","50.00",".00","33.33","83.33","71.43"
"1/7/2018","Sentry T of C","3",".243","50.00","5' 2""","76.92","100.00","50.00",".00","100.00","83.33","66.67"
"12/10/2017","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-"
"11/19/2017","The RSM Classic","T4",".828","66.67","10' 5""","81.25","100.00","50.00","-","100.00","77.78","100.00"
"10/29/2017","WGC-HSBC Champions","8","-","100.00","-","70.59","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T5","-","45.45","-","57.14","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T24",".902","66.67","11' 3""","73.68","100.00","81.82","40.00","80.00","77.78","80.00"
"9/17/2017","BMW Championship","T40","-.068","66.67","8' 0""","71.43","-","85.71",".00","87.50","44.44","100.00"
"9/4/2017","Dell Technologies Champ","T65",".268","62.50","9' 5""","62.96","-","66.67","20.00","33.33","80.00","100.00"
"8/27/2017","THE NORTHERN TRUST","CUT","-1.295",".00","11' 8""","20.00","100.00",".00",".00",".00",".00","66.67"
"8/13/2017","PGA Championship","T13",".986","88.89","6' 4""","54.84","100.00","50.00","20.00","57.14","64.71","100.00"
"8/6/2017","WGC-Bridgestone Invit'l","T50",".258","100.00","8' 10""","75.68","100.00","63.16","62.50","80.00","81.25","85.71"
"7/23/2017","The Open Championship","CUT","-",".00","-","43.75","-","-","-","-","-","-"
"7/16/2017","John Deere Classic","T10",".194","100.00","4' 4""","69.23","50.00","75.00","50.00","-","83.33","66.67"
"6/25/2017","Travelers Championship","T35",".456","83.33","7' 1""","54.17","100.00","60.00","11.11","100.00","77.78","66.67"
"6/18/2017","U.S. Open","T2","1.058","100.00","5' 3""","81.25","100.00","100.00","57.14","100.00","100.00","-"
"6/4/2017","the Memorial Tournament","CUT","-.864","16.67","12' 0""","43.75","100.00","40.00",".00",".00","60.00","80.00"
"5/28/2017","DEAN & DELUCA Invt'l","T7",".367","42.86","7' 11""","78.57","100.00","83.33","66.67","75.00","83.33","100.00"
"5/14/2017","THE PLAYERS Championship","T53",".926","71.43","6' 3""","55.17","100.00","20.00","25.00","66.67","63.64","80.00"
"5/7/2017","Wells Fargo Championship","1",".723","55.56","7' 3""","76.92","100.00","50.00",".00","60.00","80.00","100.00"
"4/30/2017","Zurich Classic of New Orl","T14","-","-","-","-","-","-","-","-","-","-"
"4/16/2017","RBC Heritage","T9",".057","50.00","6' 0""","65.22","100.00","40.00",".00",".00","85.71","100.00"
"4/2/2017","Shell Houston Open","CUT",".104","42.86","17' 6""","50.00","100.00","40.00",".00","33.33","44.44","100.00"
"3/19/2017","Arnold Palmer Invt'l","T13","1.357","88.89","4' 4""","76.67","100.00","25.00","40.00","100.00","82.35","100.00"
"3/12/2017","Valspar Championship","CUT","-.850","33.33","9' 4""","26.67","100.00","28.57","33.33",".00","12.50","100.00"
"2/26/2017","The Honda Classic","T48",".836","76.92","6' 7""","59.26","66.67","60.00","42.86","60.00","75.00","100.00"
"2/19/2017","Genesis Open","CUT",".145",".00","12' 1""","31.25","100.00","14.29","50.00","33.33","12.50","66.67"
"2/5/2017","Waste Management Phoenix","T24",".132","40.00","11' 3""","76.19","100.00","100.00","66.67","66.67","90.00","100.00"
"1/29/2017","Farmers Insurance Open","T9","-.027","40.00","13' 1""","53.85","100.00","50.00","50.00",".00","57.14","80.00"
"1/22/2017","CareerBuilder Challenge","T3",".889","75.00","-","72.73","100.00","70.00",".00","50.00","100.00","100.00"
"1/15/2017","Sony Open in Hawaii","T20",".089","36.36","9' 8""","82.14","100.00","100.00","80.00","100.00","69.23","100.00"
"11/20/2016","The RSM Classic","CUT","-.355","66.67","7' 4""","54.55","-","66.67",".00","100.00","100.00","-"
"11/13/2016","OHL Classic at Mayakoba","T55","-","50.00","-","55.00","-","71.43","-","-","-","-"
