"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","CUT","-2.299","-.323","276.8","280.7","298","60.71","19' 9""","21.43","14.29","1,998","-","-"
"1/20/2019","Desert Classic","CUT",".102",".591","279.0","270.8","295","76.19","16' 2""",".00","35.71","1,998","-","-"
"1/13/2019","Sony Open in Hawaii","CUT","-1.165","-.093","290.0","287.9","339","46.43","15' 4""","10.71","32.14","1,998","107.71","1,998"
"12/9/2018","(*) QBE Shootout","T1","-","-","-","-","-","-","-","-","-","-","-","-"
"11/18/2018","The RSM Classic","T32","-.013",".817","275.5","272.5","308","87.50","20' 4""",".00","2.38","61","108.39","62"
"11/11/2018","Mayakoba Golf Classic","T68","-","-","283.5","-","309","60.71","-","-","-","101","-","-"
"10/28/2018","WGC-HSBC Champions","72","-","-","-","-","316","53.57","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T36","-","-","-","-","-","76.79","-","-","-","-","-","-"
"9/9/2018","BMW Championship","68","-2.708","-.470","281.9","278.4","328","69.64","13' 2""","10.71","14.29","93","110.19","87"
"9/3/2018","Dell Technologies Champ","T49","-.927",".144","294.8","286.2","332","64.29","17' 6""","16.07","8.93","90","108.94","37"
"8/26/2018","THE NORTHERN TRUST","T48",".706","-.012","278.4","276.9","309","69.64","20' 4""","20.37","3.70","76","111.89","67"
"8/12/2018","PGA Championship","T71","-1.746","-1.123","288.6","283.6","311","57.14","25' 4""","17.86","5.36","145","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","62","-1.905","-.572","310.6","300.1","360","48.21","19' 10""","23.64","20.00","88","110.20","117"
"7/22/2018","The Open Championship","CUT","-","-","307.8","-","358","53.33","-","-","-","1,998","-","-"
"7/8/2018","The Greenbrier","T56",".669",".921","313.3","293.5","345","75.00","18' 2""","16.07","5.36","41","110.23","34"
"6/24/2018","Travelers Championship","T6",".521",".289","291.3","284.2","336","66.07","16' 5""","8.93","8.93","82","108.64","28"
"6/17/2018","U.S. Open","T36","2.399",".219","288.8","292.8","338","83.93","-","7.14","1.79","64","-","-"
"5/27/2018","Fort Worth Invitational","T14",".186",".679","291.6","286.4","332","62.50","22' 7""","14.29","5.36","78","108.33","92"
