"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","CUT","-.380","-","1.952","1.667","33.33","5.56","30.00","28.00","32.00","-","-","100.00","100.00","100.00","50.00","100.00","100.00","-","-","83.33","94.74",".00","-",".00",".00","7' 7""","2' 10""","55' 9""","23.81"
"1/20/2019","Desert Classic","CUT","-2.217","-","1.630","1.389","57.41",".00","25.00","31.00","22.00","22.00","-","100.00","100.00",".00",".00","-","-","-","100.00",".00","90.00",".00",".00","-",".00","9' 3""","1' 0""","33' 2""","37.04"
"1/13/2019","Sony Open in Hawaii","CUT","-2.064","-","1.778","1.611","38.89",".00","29.00","28.00","30.00","-","-","100.00","100.00",".00","80.00","33.33","50.00","-",".00","54.55","83.33",".00","12.50",".00",".00","16' 0""","1' 4""","45' 10""","22.22"
"12/9/2018","(*) QBE Shootout","T1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/18/2018","The RSM Classic","T32",".842","60.4","1.750","1.597","38.89","1.39","28.75","28.00","29.00","32.00","26.00","100.00","100.00","100.00","-","75.00","-",".00",".00","90.00","93.88","25.00","12.50","33.33","12.50","47' 3""","2' 0""","95' 3""","28.85"
"11/11/2018","Mayakoba Golf Classic","T68","-","-","1.708","1.625","38.89","1.39","29.25","27.00","28.00","31.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","33.33"
"10/28/2018","WGC-HSBC Champions","72","-","-","1.848","1.625","40.28","2.78","29.25","30.00","26.00","32.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21.21"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T36","-","-","1.772","1.694","37.50","6.94","30.50","35.00","27.00","30.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","31.58"
"9/9/2018","BMW Championship","68","-2.408","119.4","1.935","1.792","29.17","8.33","32.25","32.00","33.00","33.00","31.00","100.00","88.89","83.33","100.00","50.00","33.33","28.57","50.00","64.00","81.61","7.69",".00",".00",".00","11' 3""","2' 7""","55' 1""","17.39"
"9/3/2018","Dell Technologies Champ","T49",".774","92.6","1.705","1.556","48.61","4.17","28.00","29.00","29.00","25.00","29.00","100.00","100.00","50.00","33.33","50.00","100.00","100.00",".00","62.50","88.57","22.22","28.57","60.00","14.29","45' 4""","2' 7""","98' 4""","36.36"
"8/26/2018","THE NORTHERN TRUST","T48","-.563","120.5","1.808","1.667","37.50","4.17","30.00","30.00","29.00","30.00","31.00","100.00","100.00","60.00","25.00","80.00","66.67","40.00",".00","58.82","84.21","33.33","21.43","12.50","7.69","28' 11""","2' 3""","79' 6""","26.92"
