"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/6/2019","Sentry T of C","24",".078","72.22","78.26","21.05","68.42","39' 5""","38' 1""","32' 5""","41' 10""","35' 8""","114' 3""","84' 2""","39' 11""","43' 1""","25' 4""","9' 4""","24' 0""","21' 8""","19' 2""","25' 4""","23' 2""","54' 10""","169' 5""","-","-","89' 6""","55' 5""","20' 8""","129' 6""","40' 6""","20' 5""","51' 0""","22' 11""","40' 10""","22' 5""","19' 8""","1","13"
"10/28/2018","WGC-HSBC Champions","T16","-","65.28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","1","-","77.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T26","-2.268","54.17","87.50","42.86","71.43","37' 8""","44' 10""","38' 1""","50' 7""","28' 5""","-","-","50' 6""","28' 8""","10' 0""","22' 6""","24' 1""","21' 5""","26' 1""","22' 7""","30' 7""","34' 6""","-","-","105' 9""","65' 4""","48' 11""","27' 9""","75' 5""","95' 0""","45' 11""","48' 8""","26' 1""","25' 0""","32' 5""","8' 11""","1","9"
"9/9/2018","BMW Championship","T19",".787","83.33","100.00","40.00","60.00","36' 5""","40' 0""","45' 7""","32' 5""","30' 9""","108' 0""","65' 4""","46' 8""","33' 2""","11' 5""","19' 11""","18' 0""","18' 4""","24' 3""","16' 9""","39' 10""","45' 2""","-","133' 11""","70' 10""","-","58' 3""","15' 0""","102' 5""","-","48' 4""","54' 8""","19' 3""","36' 3""","20' 6""","5' 10""","1","8"
"9/3/2018","Dell Technologies Champ","T12",".283","65.28","81.25","23.08","61.54","34' 10""","43' 8""","36' 8""","50' 8""","28' 4""","-","46' 1""","61' 1""","46' 4""","-","25' 10""","12' 9""","15' 8""","19' 0""","22' 9""","23' 1""","49' 3""","-","75' 5""","66' 3""","-","44' 10""","33' 0""","69' 4""","-","41' 1""","22' 9""","30' 0""","26' 11""","-","33' 0""","-","-"
"8/26/2018","THE NORTHERN TRUST","T8",".926","70.83","75.00","16.67","66.67","36' 3""","38' 1""","39' 5""","36' 8""","32' 5""","76' 5""","53' 2""","34' 8""","52' 4""","2' 8""","20' 2""","34' 6""","27' 1""","21' 10""","15' 9""","16' 2""","61' 6""","-","-","-","-","41' 0""","17' 2""","-","44' 11""","67' 11""","22' 1""","17' 3""","17' 5""","22' 11""","11' 5""","-","-"
"8/12/2018","PGA Championship","1","1.472","75.00","50.00","16.67","50.00","30' 6""","67' 0""","58' 1""","75' 10""","22' 5""","63' 9""","80' 10""","17' 10""","26' 0""","10' 6""","13' 7""","11' 4""","12' 4""","18' 1""","17' 2""","28' 7""","42' 2""","-","-","-","96' 10""","67' 0""","-","96' 10""","37' 4""","73' 5""","47' 2""","103' 3""","103' 3""","-","-","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","5","1.478","76.39","75.00","33.33","83.33","26' 9""","33' 1""","35' 2""","24' 8""","22' 4""","-","-","44' 10""","21' 8""","15' 11""","18' 9""","15' 1""","16' 1""","22' 8""","15' 10""","32' 5""","27' 0""","-","58' 0""","-","-","33' 9""","30' 10""","58' 0""","22' 7""","40' 3""","26' 7""","33' 9""","37' 6""","33' 6""","20' 2""","-","-"
