"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/6/2019","Sentry T of C","24",".130","50.00","14' 8""","45.00","100.00","37.50",".00","66.67","60.00","66.67"
"10/28/2018","WGC-HSBC Champions","T16","-","57.14","-","52.00","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","1","-","33.33","-","62.50","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T26",".241","71.43","7' 1""","60.61","100.00","56.25","18.18","100.00","77.78","88.89"
"9/9/2018","BMW Championship","T19",".019","50.00","2' 8""","66.67","100.00","50.00",".00","50.00","60.00","100.00"
"9/3/2018","Dell Technologies Champ","T12",".722","60.00","6' 0""","80.00","25.00","91.67","80.00","100.00","75.00","77.78"
"8/26/2018","THE NORTHERN TRUST","T8",".479","63.64","7' 7""","76.19","100.00","66.67","33.33","66.67","85.71","87.50"
"8/12/2018","PGA Championship","1","-.005","66.67","5' 5""","77.78","100.00","71.43","25.00","100.00","100.00","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","5","-.057","-","-","47.06","-","43.75","50.00","25.00","60.00","50.00"
"7/29/2018","RBC Canadian Open","CUT",".378","66.67","7' 0""","53.33","-","62.50",".00","-","50.00","75.00"
"7/22/2018","The Open Championship","T39","-","25.00","-","53.57","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T19","-.367","66.67","6' 0""","53.85","100.00","37.50",".00","50.00","50.00","75.00"
"6/17/2018","U.S. Open","1","-.484","50.00","11' 10""","47.83","-","40.00","37.50","33.33","66.67","-"
"6/10/2018","FedEx St. Jude Classic","T30",".220","71.43","3' 10""","75.00","100.00","75.00","50.00","100.00","76.92","75.00"
"5/27/2018","Fort Worth Invitational","2","1.175","55.56","6' 11""","72.73","100.00","60.00","50.00","75.00","70.00","100.00"
"5/13/2018","THE PLAYERS Championship","T11",".128","44.44","10' 9""","78.95","100.00","66.67","100.00",".00","90.91","100.00"
"5/6/2018","Wells Fargo Championship","T42",".187","71.43","9' 10""","62.50","100.00","37.50","33.33","66.67","73.33","100.00"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","DNS","-","-","-","-","-","-","-","-","-","-"
"1/7/2018","Sentry T of C","34","-.257","20.00","10' 8""","50.00","100.00","42.86","20.00","50.00","50.00","100.00"
"12/3/2017","(*) Hero World Challenge","18","-","-","-","-","-","-","-","-","-","-"
"10/29/2017","WGC-HSBC Champions","T2","-","20.00","-","60.00","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","6","-.107","54.55","16' 5""","60.00","-","70.00","33.33","80.00","70.00","50.00"
