"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/6/2019","Sentry T of C","24","-.694","-.902","289.5","307.1","402","60.00","22' 1""","11.67","18.33","38","122.09","42"
"10/28/2018","WGC-HSBC Champions","T16","-","-","-","-","335","48.21","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","1","-","-","-","-","-","73.21","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T26","-2.315","-.287","312.8","312.0","350","41.07","39' 10""","22.22","24.07","30","125.73","48"
"9/9/2018","BMW Championship","T19","1.535",".729","308.1","309.1","361","60.71","26' 8""","21.43","14.29","68","123.08","69"
"9/3/2018","Dell Technologies Champ","T12","1.955",".950","325.5","299.4","362","66.07","25' 3""","8.93","10.71","25","121.94","129"
"8/26/2018","THE NORTHERN TRUST","T8","2.517","1.112","304.3","302.3","333","58.93","42' 11""","16.36","18.18","53","123.50","99"
"8/12/2018","PGA Championship","1","2.937","1.470","324.1","307.6","348","73.21","17' 2""","12.50","8.93","16","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","5","2.678","1.257","341.3","328.9","411","53.57","36' 11""","30.91","7.27","26","121.76","32"
"7/29/2018","RBC Canadian Open","CUT","-.058","1.187","331.8","316.5","354","42.86","33' 2""","29.63","14.81","1,998","120.80","1,998"
"7/22/2018","The Open Championship","T39","-","-","310.6","-","345","48.33","-","-","-","84","-","-"
"6/24/2018","Travelers Championship","T19","1.061",".803","292.4","294.8","363","60.71","33' 10""","16.07","12.50","95","121.99","104"
"6/17/2018","U.S. Open","1","2.114",".384","318.3","293.8","367","64.29","-","16.07","12.50","57","-","-"
"6/10/2018","FedEx St. Jude Classic","T30",".709","1.087","299.9","297.8","354","55.36","28' 6""","21.43","17.86","54","123.29","101"
"5/27/2018","Fort Worth Invitational","2","1.775","1.293","321.1","297.2","361","58.93","32' 10""","26.79","12.50","38","123.24","115"
"5/13/2018","THE PLAYERS Championship","T11","1.569",".795","308.9","290.8","332","64.29","22' 3""","8.93","14.29","37","121.25","68"
"5/6/2018","Wells Fargo Championship","T42",".250","-.350","322.0","305.2","343","39.29","30' 3""","16.07","14.29","87","122.95","105"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","DNS","-","-","-","-","-","-","-","-","-","-","-","-"
"1/7/2018","Sentry T of C","34","-2.552","-.954","288.8","307.6","409","48.33","23' 2""","16.67","23.33","38","118.62","12"
