"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/6/2019","Sentry T of C","24","-.382","30.6","1.750","1.667","33.33","2.78","30.00","32.00","31.00","28.00","29.00","97.56","88.89","83.33","85.71","40.00","100.00","50.00","100.00","73.68","86.84","21.43","20.00","16.67",".00","24' 3""","2' 11""","69' 5""","33.33"
"10/28/2018","WGC-HSBC Champions","T16","-","-","1.787","1.625","31.94",".00","29.25","32.00","29.00","27.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","27.66"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","1","-","-","1.750","1.597","38.89","4.17","28.75","30.00","27.00","30.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","41.07"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T26",".931","19.3","1.795","1.542","44.44","1.39","27.75","27.00","30.00","26.00","28.00","100.00","100.00","100.00","100.00","100.00","80.00",".00","33.33","95.00","92.54","31.25","42.86",".00","5.26","25' 6""","2' 6""","83' 3""","25.64"
"9/9/2018","BMW Championship","T19","-.652","79.1","1.800","1.694","30.56","2.78","30.50","32.00","31.00","32.00","27.00","100.00","100.00","100.00","66.67","100.00","33.33","-",".00","70.00","94.37","18.18",".00",".00","6.90","33' 6""","2' 2""","58' 4""","30.00"
"9/3/2018","Dell Technologies Champ","T12","-.358","101.1","1.766","1.556","44.44","2.78","28.00","27.00","32.00","29.00","24.00","100.00","76.92","100.00","33.33","42.86","66.67","25.00","60.00","61.11","81.25","25.00","20.00","16.67","17.65","29' 5""","2' 6""","83' 6""","31.91"
"8/26/2018","THE NORTHERN TRUST","T8","-.374","120.4","1.725","1.583","47.22","5.56","28.50","27.00","26.00","33.00","28.00","100.00","66.67","71.43","100.00","60.00","50.00","50.00","66.67","66.67","85.53","20.00","16.67","66.67","7.14","26' 5""","2' 4""","80' 11""","35.29"
"8/12/2018","PGA Championship","1","1.015","70.9","1.630","1.514","50.00","1.39","27.25","31.00","25.00","25.00","28.00","100.00","100.00","85.71","100.00","50.00","75.00","100.00","57.14","78.95","90.54","44.44","9.09",".00",".00","18' 6""","1' 10""","69' 7""","40.74"
"8/5/2018","WGC-Bridgestone Invit'l","5","-.523","99.3","1.691","1.639","37.50","4.17","29.50","27.00","32.00","30.00","29.00","100.00","75.00","40.00","66.67","33.33","71.43",".00","75.00","57.14","81.82","13.33","40.00",".00","22.22","32' 6""","2' 3""","92' 3""","35.19"
"7/29/2018","RBC Canadian Open","CUT","-2.839","-","1.857","1.639","36.11","5.56","29.50","30.00","29.00","-","-","95.45","85.71","40.00","50.00","-","33.33","33.33","100.00","40.00","76.74","40.00",".00",".00",".00","11' 3""","2' 5""","57' 5""","33.33"
"7/22/2018","The Open Championship","T39","-","-","1.773","1.625","44.44","6.94","29.25","31.00","26.00","32.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","38.64"
"6/24/2018","Travelers Championship","T19",".625","82.3","1.674","1.528","45.83","4.17","27.50","30.00","26.00","27.00","27.00","100.00","88.89","75.00","71.43","50.00","100.00","66.67","40.00","71.43","84.72","41.67","28.57","20.00","7.14","45' 0""","2' 9""","91' 0""","45.65"
"6/17/2018","U.S. Open","1","2.031","36.7","1.755","1.653","37.50","2.78","29.75","31.00","29.00","31.00","28.00","100.00","100.00","100.00","83.33","66.67","83.33","40.00","75.00","82.35","89.86","33.33",".00","11.11","20.00","61' 5""","3' 10""","118' 6""","28.57"
"6/10/2018","FedEx St. Jude Classic","T30",".486","65.9","1.818","1.528","43.06","1.39","27.50","26.00","29.00","23.00","32.00","100.00","100.00","80.00","75.00",".00","100.00","33.33",".00","76.92","90.00","40.00","33.33",".00","5.56","32' 2""","2' 3""","73' 2""","22.73"
"5/27/2018","Fort Worth Invitational","2","2.104","48.3","1.560","1.444","51.39","1.39","26.00","29.00","25.00","27.00","23.00","100.00","100.00","66.67","100.00","66.67","100.00","66.67","100.00","80.00","93.55","46.67","37.50",".00","13.33","35' 0""","2' 2""","98' 10""","46.00"
"5/13/2018","THE PLAYERS Championship","T11",".457","80.0","1.736","1.583","41.67","2.78","28.50","28.00","30.00","28.00","28.00","100.00","100.00","87.50","83.33","60.00",".00","100.00",".00","71.43","88.89","33.33","18.18","25.00",".00","20' 4""","2' 8""","75' 5""","34.62"
"5/6/2018","Wells Fargo Championship","T42",".419","78.8","1.813","1.667","37.50","4.17","30.00","29.00","31.00","30.00","30.00","100.00","100.00","100.00","83.33","40.00",".00","80.00",".00","66.67","85.71","25.00","20.00","14.29","5.56","36' 11""","2' 11""","79' 9""","27.08"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","DNS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1/7/2018","Sentry T of C","34","-2.478","56.4","1.977","1.792","26.39","8.33","32.25","34.00","26.00","37.00","32.00","97.83","90.00","60.00","50.00","33.33",".00","50.00","40.00","44.44","78.16","23.08",".00",".00",".00","14' 6""","4' 3""","57' 7""","18.18"
"12/3/2017","(*) Hero World Challenge","18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/29/2017","WGC-HSBC Champions","T2","-","-","1.702","1.597","37.50","2.78","28.75","25.00","30.00","30.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","36.84"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","6","1.600","12.6","1.660","1.556","44.44",".00","28.00","29.00","31.00","26.00","26.00","100.00","100.00","100.00","-","66.67","50.00","100.00","50.00","76.47","91.04","62.50","28.57",".00","17.39","35' 4""","2' 5""","100' 2""","38.30"
"9/17/2017","BMW Championship","T12",".127","37.5","1.609","1.486","48.61",".00","26.75","26.00","30.00","28.00","23.00","100.00","100.00","75.00","66.67","100.00","100.00","100.00","25.00","83.33","92.86","11.11","33.33","66.67",".00","22' 6""","2' 2""","72' 1""","45.65"
"9/4/2017","Dell Technologies Champ","T18",".959","64.3","1.702","1.556","44.44","2.78","28.00","31.00","29.00","26.00","26.00","100.00","87.50","100.00","80.00","50.00","80.00","50.00",".00","85.00","90.00","7.14","20.00","37.50","20.00","65' 9""","2' 5""","104' 2""","34.04"
"8/27/2017","THE NORTHERN TRUST","T49","-.172","71.9","1.744","1.597","43.06","5.56","28.75","29.00","28.00","30.00","28.00","97.37","88.89","80.00","75.00","50.00","57.14","66.67","40.00","68.00","82.50","30.00",".00",".00","12.50","29' 6""","2' 9""","76' 8""","35.90"
"8/13/2017","PGA Championship","T13","-.826","94.3","1.778","1.667","31.94","4.17","30.00","29.00","31.00","29.00","31.00","100.00","87.50","90.00","77.78",".00",".00",".00",".00","69.57","83.12","35.71","14.29",".00",".00","19' 5""","2' 9""","63' 8""","35.56"
"8/6/2017","WGC-Bridgestone Invit'l","T17","1.930","28.8","1.595","1.458","54.17",".00","26.25","27.00","27.00","27.00","24.00","100.00","100.00","100.00","100.00","75.00","100.00","50.00","80.00","95.24","95.59","35.71","12.50",".00","11.11","25' 2""","2' 9""","88' 7""","43.24"
"7/23/2017","The Open Championship","T6","-","-","1.700","1.500","41.67",".00","27.00","21.00","31.00","29.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.77"
"6/18/2017","U.S. Open","1","1.785","33.6","1.758","1.708","30.56","1.39","30.75","29.00","31.00","32.00","31.00","100.00","100.00","100.00","75.00","100.00","100.00","20.00","100.00","92.31","92.31","28.57","33.33","33.33","10.34","48' 6""","2' 10""","110' 3""","33.87"
"6/11/2017","FedEx St. Jude Classic","T37",".960","52.4","1.750","1.556","47.22","2.78","28.00","30.00","27.00","27.00","28.00","97.44","100.00","100.00","80.00","66.67","33.33","66.67",".00","78.95","88.89","40.00","25.00","50.00","5.00","31' 7""","2' 5""","82' 10""","34.09"
"6/4/2017","the Memorial Tournament","T31","-.376","75.3","1.679","1.611","36.11","2.78","29.00","28.00","32.00","31.00","25.00","100.00","100.00","100.00","83.33",".00","60.00","33.33","50.00","70.59","87.67","25.00","25.00",".00",".00","18' 6""","3' 0""","67' 3""","32.69"
"5/21/2017","AT&T Byron Nelson","T50","-.784","107.8","1.786","1.556","47.22","5.56","28.00","25.00","29.00","30.00","28.00","100.00","77.78","60.00","25.00","80.00","57.14","25.00",".00","57.14","79.27","57.14","50.00",".00",".00","19' 2""","2' 10""","68' 5""","33.33"
"5/14/2017","THE PLAYERS Championship","T16","1.398","38.8","1.674","1.528","48.61","1.39","27.50","25.00","26.00","30.00","29.00","100.00","100.00","100.00","100.00","80.00","50.00","66.67","-","83.33","95.52","27.27","20.00",".00","15.79","42' 4""","2' 2""","89' 7""","34.88"
"4/30/2017","Zurich Classic of New Orl","T5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/23/2017","Valero Texas Open","2",".460","98.5","1.722","1.569","41.67","4.17","28.25","27.00","30.00","29.00","27.00","100.00","87.50","66.67","66.67","50.00","60.00","60.00","75.00","61.54","87.50","23.08","16.67","66.67","5.26","39' 1""","2' 6""","82' 4""","35.19"
"4/9/2017","Masters Tournament","T11","-","-","1.810","1.597","44.44","6.94","28.75","32.00","29.00","28.00","26.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","45.24"
"3/26/2017","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","CUT","-.084","-","1.588","1.472","55.56","2.78","26.50","28.00","25.00","-","-","100.00","80.00","50.00","100.00","50.00","75.00",".00",".00","70.00","84.62",".00","33.33",".00","33.33","31' 11""","2' 5""","88' 1""","47.06"
"3/5/2017","WGC-Mexico Championship","T48","1.281","49.5","1.744","1.556","48.61","4.17","28.00","29.00","27.00","27.00","29.00","100.00","100.00","61.54","66.67","57.14","50.00","100.00","100.00","60.00","86.49","54.55","12.50",".00",".00","15' 8""","2' 5""","78' 8""","34.88"
"2/26/2017","The Honda Classic","CUT","-.266","-","1.905","1.722","30.56","2.78","31.00","30.00","32.00","-","-","100.00","100.00","100.00","80.00","50.00",".00","100.00","50.00","70.00","89.47","33.33",".00","-",".00","14' 1""","2' 0""","63' 6""","14.29"
"2/19/2017","Genesis Open","CUT",".812","-","1.800","1.583","44.44","2.78","28.50","30.00","27.00","-","-","100.00","50.00","66.67","100.00","100.00","50.00",".00","50.00","76.92","83.78","57.14","33.33",".00",".00","17' 4""","3' 0""","85' 5""","25.00"
"2/5/2017","Waste Management Phoenix","T42",".126","93.7","1.696","1.583","40.28","1.39","28.50","27.00","29.00","30.00","28.00","100.00","80.00","83.33","75.00","100.00",".00",".00","16.67","78.57","83.33","55.56","30.00","12.50","13.33","44' 7""","2' 5""","96' 5""","43.48"
"1/29/2017","Farmers Insurance Open","CUT","-.287","-","1.870","1.722","25.00","2.78","31.00","32.00","30.00","-","-","100.00","100.00","66.67","100.00","100.00",".00","-","-","66.67","88.89","25.00",".00",".00",".00","12' 4""","2' 8""","49' 11""","30.43"
"12/4/2016","(*) Hero World Challenge","T13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/6/2016","Shriners Hospitals","2","1.106","89.8","1.648","1.542","45.83","5.56","27.75","24.00","27.00","30.00","30.00","100.00","83.33","66.67","71.43",".00","50.00",".00","100.00","60.00","84.62","38.46","33.33","66.67","16.67","62' 6""","2' 5""","120' 3""","48.15"
"10/30/2016","WGC-HSBC Champions","T40","-","-","1.776","1.722","29.17","1.39","31.00","30.00","31.00","30.00","33.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.61"
"10/2/2016","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
