"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/13/2019","Sony Open in Hawaii","T10","1.197","72.22","88.89","62.50","87.50","29' 5""","46' 0""","43' 11""","48' 2""","24' 0""","-","-","-","37' 4""","7' 10""","-","19' 7""","15' 8""","19' 0""","26' 3""","24' 3""","37' 4""","-","-","39' 0""","64' 2""","41' 4""","83' 5""","57' 11""","55' 6""","45' 7""","19' 5""","62' 3""","19' 10""","83' 5""","-","-","-"
"1/6/2019","Sentry T of C","7","-.543","76.39","60.87","20.00","53.33","42' 10""","40' 9""","43' 10""","35' 3""","40' 10""","136' 6""","21' 1""","63' 3""","46' 0""","13' 5""","24' 3""","38' 1""","26' 1""","38' 5""","34' 7""","35' 10""","57' 10""","-","-","99' 3""","76' 6""","47' 9""","15' 3""","87' 11""","59' 7""","49' 4""","29' 4""","20' 3""","24' 2""","16' 3""","-","-","-"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12/2/2018","(*) Hero World Challenge","T12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","1","1.753","83.33","81.25","30.77","61.54","32' 2""","54' 6""","52' 5""","57' 10""","25' 11""","64' 5""","68' 4""","73' 1""","35' 5""","-","27' 2""","13' 2""","15' 10""","18' 9""","19' 6""","24' 2""","59' 6""","-","-","-","70' 9""","54' 6""","-","70' 9""","62' 3""","63' 9""","40' 6""","33' 8""","33' 8""","-","-","1","19"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","19",".102","63.89","87.50","14.29","85.71","34' 4""","37' 8""","37' 4""","38' 1""","30' 3""","87' 9""","-","24' 7""","36' 7""","-","6' 7""","34' 4""","25' 1""","19' 2""","31' 3""","39' 5""","36' 10""","-","62' 0""","30' 8""","66' 1""","41' 11""","9' 1""","52' 11""","36' 7""","42' 2""","39' 11""","9' 1""","-","9' 1""","-","1","100"
"9/9/2018","BMW Championship","T19",".183","83.33","66.67","33.33","50.00","27' 6""","24' 11""","17' 2""","26' 10""","27' 5""","-","64' 9""","51' 9""","42' 3""","19' 10""","8' 6""","19' 1""","15' 3""","19' 6""","23' 10""","26' 6""","49' 6""","-","-","-","-","30' 6""","16' 6""","-","-","49' 5""","14' 3""","20' 3""","27' 10""","17' 2""","15' 10""","1","16"
"9/3/2018","Dell Technologies Champ","1","1.034","75.00","81.25","30.77","76.92","36' 5""","32' 7""","44' 2""","25' 8""","34' 5""","120' 7""","56' 8""","14' 9""","43' 1""","-","21' 11""","29' 10""","28' 6""","27' 10""","22' 6""","40' 2""","42' 7""","-","75' 1""","-","-","36' 2""","7' 11""","75' 1""","60' 3""","17' 7""","32' 6""","7' 11""","-","-","7' 11""","-","-"
"8/26/2018","THE NORTHERN TRUST","1","1.040","81.94","50.00","12.50","75.00","33' 8""","50' 9""","38' 2""","55' 0""","29' 9""","85' 9""","53' 4""","67' 4""","46' 9""","8' 7""","14' 6""","21' 7""","16' 9""","14' 10""","24' 8""","28' 10""","60' 6""","-","-","76' 2""","-","52' 5""","39' 1""","76' 2""","42' 7""","71' 6""","29' 2""","39' 1""","-","-","39' 1""","-","-"
"8/12/2018","PGA Championship","CUT",".607","69.44","20.00",".00",".00","30' 3""","41' 1""","31' 6""","45' 10""","27' 2""","118' 7""","-","38' 0""","35' 6""","-","17' 9""","16' 2""","17' 0""","21' 8""","19' 9""","26' 3""","52' 7""","-","-","-","52' 11""","41' 1""","-","52' 11""","30' 3""","23' 10""","-","48' 1""","48' 1""","-","-","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","30","-.221","59.72","62.50","40.00","40.00","29' 10""","34' 1""","36' 4""","32' 0""","26' 8""","-","-","54' 5""","25' 1""","3' 10""","8' 1""","17' 9""","15' 11""","20' 3""","27' 8""","37' 4""","33' 11""","-","-","-","44' 9""","35' 7""","3' 8""","44' 9""","56' 8""","26' 3""","29' 3""","29' 2""","35' 7""","-","3' 8""","1","7"
"7/22/2018","The Open Championship","T51","-","54.17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7/15/2018","John Deere Classic","W/D","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T9","1.019","76.39","66.67","37.50","75.00","30' 3""","39' 7""","37' 3""","42' 1""","25' 6""","-","29' 8""","32' 3""","17' 11""","10' 3""","5' 3""","10' 11""","9' 7""","18' 1""","31' 0""","31' 6""","25' 9""","-","-","109' 3""","-","44' 0""","18' 8""","109' 3""","26' 0""","47' 6""","42' 9""","26' 4""","33' 0""","25' 2""","7' 6""","-","-"
"6/17/2018","U.S. Open","T25","-.238","59.72","55.56","20.00","80.00","44' 0""","43' 1""","37' 10""","46' 4""","44' 2""","80' 4""","73' 4""","27' 7""","-","15' 7""","21' 5""","22' 5""","20' 5""","48' 9""","39' 1""","44' 9""","61' 3""","-","46' 3""","-","75' 1""","46' 8""","31' 1""","65' 6""","41' 5""","7' 0""","58' 4""","15' 4""","23' 5""","-","7' 4""","-","-"
