"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/13/2019","Sony Open in Hawaii","T10",".211","66.67","5' 11""","65.00","75.00","25.00",".00","33.33","72.73","80.00"
"1/6/2019","Sentry T of C","7","-.372","50.00","8' 0""","76.47","-","71.43","100.00","75.00","80.00","66.67"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-"
"12/2/2018","(*) Hero World Challenge","T12","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","1",".632","66.67","8' 11""","75.00","100.00","50.00",".00","33.33","100.00","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","19","-.807","75.00","7' 5""","50.00","100.00","40.00",".00","100.00","50.00","50.00"
"9/9/2018","BMW Championship","T19",".063","50.00","12' 6""","50.00","100.00","50.00","-","-","44.44","100.00"
"9/3/2018","Dell Technologies Champ","1",".031","100.00","4' 1""","61.11","100.00","54.55","-","33.33","85.71","60.00"
"8/26/2018","THE NORTHERN TRUST","1",".365","75.00","9' 1""","69.23","100.00","50.00","-","80.00","40.00","100.00"
"8/12/2018","PGA Championship","CUT","-.130","60.00","10' 3""","63.64","-","33.33",".00","100.00","60.00","75.00"
"8/5/2018","WGC-Bridgestone Invit'l","30",".836","83.33","7' 0""","65.52","100.00","46.67","25.00","80.00","90.00","50.00"
"7/22/2018","The Open Championship","T51","-","37.50","-","57.58","-","-","-","-","-","-"
"7/15/2018","John Deere Classic","W/D","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T9",".699","100.00","3' 1""","70.59","100.00","60.00","-","100.00","60.00","100.00"
"6/17/2018","U.S. Open","T25","-.394","33.33","15' 2""","44.83","-","33.33","44.44","33.33","50.00","100.00"
"6/3/2018","the Memorial Tournament","1",".395","100.00","5' 11""","80.00","100.00","83.33","66.67","-","100.00","66.67"
"5/27/2018","Fort Worth Invitational","T42",".244","28.57","10' 7""","75.00","100.00","80.00",".00","50.00","85.71","100.00"
"5/13/2018","THE PLAYERS Championship","T37",".295","25.00","9' 5""","60.87","100.00","40.00",".00","100.00","73.33","40.00"
"5/6/2018","Wells Fargo Championship","4","-.525","42.86","13' 0""","60.00","-","66.67",".00","60.00","55.56","100.00"
"4/15/2018","RBC Heritage","T3","-.326","66.67","6' 7""","65.38","50.00","40.00","50.00","50.00","71.43","75.00"
"4/8/2018","Masters Tournament","T38","-","33.33","-","60.00","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","2",".020","37.50","11' 4""","55.00","100.00","20.00","-","16.67","55.56","100.00"
"3/11/2018","Valspar Championship","W/D","-1.678","40.00","14' 2""","46.15","100.00","50.00",".00","25.00","75.00","66.67"
"2/18/2018","Genesis Open","T41",".216","25.00","5' 2""","59.38","75.00","50.00",".00","66.67","53.33","81.82"
"2/11/2018","AT&T Pebble Beach","T55","1.328","66.67","10' 0""","66.67","-","85.71",".00",".00","75.00","100.00"
"2/4/2018","Waste Management Phoenix","T5",".436","66.67","6' 11""","76.47","-","57.14","80.00","100.00","60.00","80.00"
"1/28/2018","Farmers Insurance Open","CUT","-.356","50.00","5' 2""","27.27","-","50.00",".00",".00",".00","100.00"
"1/7/2018","Sentry T of C","26","-.227","25.00","12' 11""","36.84","-","50.00",".00","25.00","25.00","100.00"
"11/12/2017","OHL Classic at Mayakoba","T14","-","33.33","-","70.00","-","75.00","-","-","-","-"
"11/5/2017","Shriners Hospitals","T7","-.129","12.50","10' 6""","33.33","-","66.67",".00","66.67","28.57","-"
"10/8/2017","Safeway Open","T17",".075","50.00","9' 10""","73.68","100.00","90.00","100.00","100.00","54.55","100.00"
"9/17/2017","BMW Championship","T33","-.079","50.00","10' 8""","76.00","100.00","72.73","100.00","60.00","75.00","83.33"
"9/4/2017","Dell Technologies Champ","T30","-.083","66.67","3' 10""","60.71","-","60.00","25.00","50.00","64.29","100.00"
"8/27/2017","THE NORTHERN TRUST","CUT","-.426",".00","18' 0""","63.64","100.00",".00","33.33","50.00","75.00","100.00"
"8/13/2017","PGA Championship","T33","-.410","33.33","14' 4""","36.00","100.00","28.57","14.29","40.00","37.50","60.00"
"8/6/2017","WGC-Bridgestone Invit'l","T60","-.418","50.00","10' 1""","56.25","100.00","57.89","12.50","50.00","71.43","100.00"
"7/23/2017","The Open Championship","CUT","-",".00","-","41.18","-","-","-","-","-","-"
"7/16/2017","John Deere Classic","1",".127","80.00","15' 11""","66.67","100.00","50.00",".00","66.67","75.00","100.00"
"7/9/2017","The Greenbrier Classic","T14",".273","54.55","5' 8""","63.16","100.00","75.00","33.33","83.33","40.00","80.00"
"7/2/2017","Quicken Loans National","T17",".184","60.00","8' 4""","42.31","-","46.67","33.33","28.57","45.45","60.00"
"6/25/2017","Travelers Championship","T26","1.009","40.00","10' 1""","71.43","100.00","80.00","50.00","50.00","81.82","100.00"
"6/18/2017","U.S. Open","CUT","-.765",".00","34' 7""","47.06","100.00","33.33","25.00",".00","83.33","100.00"
"6/11/2017","FedEx St. Jude Classic","CUT","-.307","100.00","1' 5""","50.00","100.00","40.00","33.33","-","75.00","50.00"
"5/28/2017","DEAN & DELUCA Invt'l","CUT",".151","85.71","3' 1""","58.82","-","50.00","33.33","66.67","66.67","100.00"
"5/21/2017","AT&T Byron Nelson","CUT","-.465",".00","8' 2""","57.14","100.00","25.00",".00","-","80.00","100.00"
"5/7/2017","Wells Fargo Championship","CUT",".394","50.00","6' 11""","73.33","100.00","62.50","33.33","-","80.00","100.00"
"4/30/2017","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/23/2017","Valero Texas Open","CUT","-.710","37.50","16' 8""","56.25","100.00","75.00",".00",".00","77.78","66.67"
"4/16/2017","RBC Heritage","CUT","-.710",".00","7' 2""","63.64","100.00","40.00",".00","100.00","66.67","80.00"
"4/2/2017","Shell Houston Open","T44","-.103","75.00","10' 2""","66.67","90.00","50.00","60.00","25.00","57.14","100.00"
"3/26/2017","Puerto Rico Open","T2","-","25.00","-","71.43","-","100.00","-","-","-","-"
"3/12/2017","Valspar Championship","T27","-.425","50.00","9' 4""","56.00","100.00","50.00","33.33","66.67","33.33","100.00"
"2/26/2017","The Honda Classic","CUT","-.865",".00","9' 8""","14.29","-","20.00","-",".00","16.67","-"
"2/19/2017","Genesis Open","W/D","-.926","100.00","2' 5""","57.14","100.00",".00","-",".00","50.00","100.00"
"2/12/2017","AT&T Pebble Beach","CUT","2.190",".00","13' 3""","41.67","100.00","53.33",".00",".00","60.00","100.00"
"1/29/2017","Farmers Insurance Open","CUT","1.570","33.33","19' 6""","52.94","-","63.64","33.33","66.67",".00","100.00"
"1/22/2017","CareerBuilder Challenge","CUT","1.899","60.00","-","61.11","100.00","42.86",".00","50.00","100.00","100.00"
"1/15/2017","Sony Open in Hawaii","T49",".159","53.85","7' 2""","64.00","100.00","100.00","100.00","40.00","72.73","66.67"
"12/10/2016","(*) Franklin Templeton","T11","-","-","-","-","-","-","-","-","-","-"
"11/20/2016","The RSM Classic","CUT",".942","33.33","20' 1""","41.67","-","33.33",".00",".00","100.00","-"
"11/13/2016","OHL Classic at Mayakoba","T66","-","60.00","-","75.00","-","62.50","-","-","-","-"
"11/6/2016","Shriners Hospitals","T36",".486","20.00","10' 8""","57.14","100.00","40.00",".00","33.33","66.67","100.00"
"10/16/2016","Safeway Open","CUT","-1.158","25.00","12' 0""","45.45","-","50.00","100.00","33.33","33.33","100.00"
"8/7/2016","Travelers Championship","T47",".586","60.00","9' 8""","59.38","100.00","14.29","50.00","40.00","70.00","83.33"
"7/24/2016","RBC Canadian Open","CUT","-.688","71.43","8' 9""","65.00","100.00","53.85","25.00","-","55.56","100.00"
