"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/13/2019","Sony Open in Hawaii","T10","2.626","1.218","309.9","297.4","362","62.50","24' 3""","16.07","16.07","41","119.40","82"
"1/6/2019","Sentry T of C","7","-.402",".513","277.6","295.0","386","75.00","18' 6""","15.25","5.08","37","119.13","43"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-"
"12/2/2018","(*) Hero World Challenge","T12","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","1","3.388","1.003","312.8","302.2","349","78.57","21' 10""","8.93","5.36","34","118.91","107"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","19","-.268",".437","294.1","294.8","336","51.79","26' 4""","23.64","20.00","44","120.04","54"
"9/9/2018","BMW Championship","T19","1.026",".779","298.9","294.0","345","85.71","21' 0""","1.79","5.36","23","116.73","78"
"9/3/2018","Dell Technologies Champ","1","1.878",".814","311.8","292.2","332","75.00","23' 3""","7.14","10.71","19","117.58","73"
"8/26/2018","THE NORTHERN TRUST","1","2.152",".748","297.6","290.1","345","67.86","33' 8""","5.45","18.18","32","-","-"
"8/12/2018","PGA Championship","CUT",".805",".327","306.5","284.7","333","53.57","26' 7""","17.86","21.43","1,998","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","30",".789",".174","314.5","309.3","395","46.43","33' 4""","24.53","20.75","83","117.40","18"
"7/22/2018","The Open Championship","T51","-","-","321.9","-","405","41.67","-","-","-","83","-","-"
"7/15/2018","John Deere Classic","W/D","-","-","-","-","-","-","-","-","-","-","-","-"
