"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/13/2019","Sony Open in Hawaii","T10","-.364","87.8","1.692","1.597","43.06","2.78","28.75","30.00","31.00","27.00","27.00","100.00","87.50","75.00","75.00","75.00",".00","40.00",".00","56.25","81.01","28.57","12.50","80.00","6.25","40' 3""","1' 11""","82' 9""","44.23"
"1/6/2019","Sentry T of C","7","1.826","21.3","1.727","1.611","43.06","4.17","29.00","25.00","27.00","32.00","32.00","97.37","100.00","100.00","100.00","33.33","80.00","50.00","66.67","83.33","89.86","50.00",".00","12.50","5.56","43' 0""","2' 5""","91' 7""","36.36"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12/2/2018","(*) Hero World Challenge","T12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","1",".087","83.8","1.667","1.597","41.67","4.17","28.75","30.00","28.00","29.00","28.00","100.00","100.00","100.00","50.00","33.33",".00","100.00",".00","56.25","85.92","37.50","60.00","12.50",".00","24' 0""","2' 4""","79' 4""","37.29"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","19",".135","28.8","1.674","1.583","41.67","2.78","28.50","30.00","29.00","27.00","28.00","100.00","100.00","90.91","71.43","66.67","50.00","33.33","50.00","78.26","88.89","36.36","11.11",".00","10.53","39' 3""","2' 6""","82' 8""","33.33"
"9/9/2018","BMW Championship","T19","-.142","34.2","1.733","1.681","29.17",".00","30.25","30.00","31.00","30.00","30.00","100.00","100.00","100.00","85.71","50.00","100.00","-",".00","88.24","94.20","7.69","25.00","33.33","4.17","46' 4""","2' 0""","73' 2""","30.00"
"9/3/2018","Dell Technologies Champ","1","1.219","66.5","1.648","1.569","45.83","2.78","28.25","25.00","29.00","30.00","29.00","100.00","83.33","83.33","83.33","75.00","20.00","85.71","33.33","66.67","85.33","62.50","16.67","50.00","4.55","51' 2""","2' 1""","87' 2""","44.44"
"8/26/2018","THE NORTHERN TRUST","1","1.741","58.6","1.644","1.569","45.83","2.78","28.25","27.00","28.00","26.00","32.00","100.00","100.00","100.00","100.00","100.00",".00","100.00","60.00","90.91","95.59","30.00","30.00",".00","4.35","28' 7""","2' 0""","80' 6""","40.68"
"8/12/2018","PGA Championship","CUT","-.819","-","1.880","1.694","36.11","5.56","30.50","28.00","33.00","-","-","100.00","100.00","25.00","100.00",".00","-",".00","100.00","25.00","82.05","37.50","20.00",".00",".00","15' 7""","2' 8""","74' 11""","20.00"
"8/5/2018","WGC-Bridgestone Invit'l","30","-.634","102.9","1.814","1.583","41.67","5.56","28.50","30.00","29.00","30.00","25.00","100.00","80.00","66.67","75.00","66.67","-","50.00","50.00","69.23","86.67","20.00","20.00",".00","7.14","28' 6""","2' 2""","67' 6""","27.91"
"7/22/2018","The Open Championship","T51","-","-","1.846","1.625","38.89","4.17","29.25","28.00","30.00","31.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.77"
