"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/13/2019","Sony Open in Hawaii","CUT",".599","63.89","60.00",".00","25.00","33' 4""","43' 2""","50' 1""","37' 7""","28' 4""","-","-","-","23' 7""","3' 8""","21' 9""","6' 5""","11' 5""","19' 11""","25' 7""","45' 8""","23' 7""","-","13' 3""","76' 11""","-","47' 10""","5' 9""","45' 1""","73' 8""","42' 3""","46' 1""","5' 9""","-","-","5' 9""","-","-"
"1/6/2019","Sentry T of C","31","-.097","80.56","69.57","29.41","52.94","41' 4""","45' 1""","50' 2""","33' 9""","37' 9""","184' 3""","-","57' 7""","45' 6""","25' 2""","15' 2""","30' 1""","24' 6""","11' 10""","22' 2""","43' 10""","57' 11""","-","-","115' 10""","-","57' 11""","24' 9""","115' 10""","-","42' 6""","56' 9""","33' 2""","46' 0""","30' 3""","16' 1""","1","15"
"12/9/2018","(*) QBE Shootout","T6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12/2/2018","(*) Hero World Challenge","T12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","29","-1.413","48.61","62.50","33.33","33.33","39' 4""","38' 8""","40' 1""","37' 3""","34' 5""","-","-","50' 5""","48' 0""","-","6' 0""","17' 3""","14' 0""","19' 0""","43' 2""","41' 4""","48' 6""","-","87' 0""","-","39' 4""","42' 4""","12' 0""","71' 1""","36' 3""","52' 2""","29' 2""","38' 7""","59' 3""","3' 4""","11' 9""","-","-"
"9/9/2018","BMW Championship","T16","-.059","77.78","88.89",".00","37.50","38' 0""","44' 7""","34' 10""","51' 10""","33' 8""","108' 11""","114' 0""","70' 6""","36' 10""","11' 9""","14' 11""","35' 8""","23' 7""","19' 2""","17' 4""","34' 8""","58' 1""","-","77' 10""","46' 10""","73' 2""","49' 0""","33' 6""","68' 10""","-","10' 3""","37' 2""","32' 6""","30' 7""","41' 7""","25' 5""","-","-"
"9/3/2018","Dell Technologies Champ","T7",".741","68.06","75.00","41.67","75.00","33' 0""","29' 8""","28' 0""","32' 7""","27' 1""","-","-","51' 11""","32' 9""","11' 11""","-","14' 0""","13' 8""","15' 5""","35' 1""","23' 3""","37' 10""","-","-","-","-","30' 7""","17' 6""","-","7' 4""","42' 4""","15' 0""","22' 2""","24' 6""","17' 6""","-","1","19"
"8/26/2018","THE NORTHERN TRUST","T34","-.198","69.44","62.50","10.00","60.00","39' 9""","51' 8""","51' 11""","51' 4""","37' 1""","99' 5""","-","43' 10""","41' 9""","-","13' 5""","63' 2""","30' 0""","24' 5""","21' 5""","28' 4""","68' 6""","-","-","-","-","54' 4""","36' 9""","-","51' 5""","106' 1""","29' 1""","34' 6""","19' 3""","49' 9""","-","-","-"
"8/12/2018","PGA Championship","CUT","-1.852","50.00","20.00",".00",".00","39' 11""","43' 1""","19' 3""","45' 3""","37' 6""","-","92' 10""","43' 9""","70' 0""","35' 2""","14' 11""","11' 2""","24' 1""","16' 8""","27' 5""","30' 6""","69' 5""","-","-","-","76' 7""","48' 7""","26' 7""","76' 7""","81' 4""","39' 7""","25' 1""","24' 9""","19' 3""","32' 6""","14' 8""","-","-"
