"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/13/2019","Sony Open in Hawaii","CUT","-1.702","57.14","7' 9""","53.85","100.00","25.00","50.00","33.33","50.00","66.67"
"1/6/2019","Sentry T of C","31","-.118",".00","27' 5""","50.00","100.00","33.33",".00","42.86","33.33","100.00"
"12/9/2018","(*) QBE Shootout","T6","-","-","-","-","-","-","-","-","-","-"
"12/2/2018","(*) Hero World Challenge","T12","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","29","-1.508","33.33","9' 11""","51.35","-","55.56","66.67","25.00","61.54","55.56"
"9/9/2018","BMW Championship","T16","-.120","40.00","13' 11""","75.00","100.00","75.00","33.33","100.00","77.78","100.00"
"9/3/2018","Dell Technologies Champ","T7",".278","50.00","11' 10""","69.57","100.00","66.67",".00","100.00","50.00","100.00"
"8/26/2018","THE NORTHERN TRUST","T34",".465","50.00","7' 0""","63.64","100.00","71.43","60.00","100.00","45.45","100.00"
"8/12/2018","PGA Championship","CUT","-.323","25.00","10' 8""","50.00","-",".00","50.00","50.00","28.57","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T31","-.024","50.00","11' 6""","48.15","100.00","46.15","25.00",".00","44.44","87.50"
"7/29/2018","RBC Canadian Open","CUT","-.695","33.33","20' 4""","53.85","-","60.00",".00","100.00","25.00","100.00"
"7/22/2018","The Open Championship","CUT","-","33.33","-","50.00","-","-","-","-","-","-"
"7/8/2018","The Greenbrier","T13","-.012","80.00","6' 2""","58.33","100.00","50.00","33.33","40.00","50.00","75.00"
"6/24/2018","Travelers Championship","1",".962","66.67","14' 5""","56.25","100.00","37.50",".00","50.00","83.33","50.00"
"6/17/2018","U.S. Open","CUT","-.731",".00","14' 6""","37.50","100.00","50.00","22.22","100.00","40.00","-"
"6/3/2018","the Memorial Tournament","T44",".007","45.45","12' 1""","47.83","-","63.64",".00","50.00","54.55","80.00"
"5/13/2018","THE PLAYERS Championship","T57",".226","50.00","14' 1""","56.52","66.67","100.00","40.00","60.00","71.43","60.00"
"4/29/2018","Zurich Classic of New Orl","T28","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T5","-","60.00","-","62.50","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","1","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T66","-.483","55.56","13' 7""","58.33","100.00","40.00",".00","66.67","62.50","100.00"
"3/4/2018","WGC-Mexico Championship","T9","-1.298",".00","19' 6""","50.00","-","50.00","25.00",".00","40.00","83.33"
"2/18/2018","Genesis Open","1","1.084","50.00","15' 1""","69.23","100.00","75.00","50.00","66.67","71.43","100.00"
"2/11/2018","AT&T Pebble Beach","T35","-1.337","40.00","9' 5""","64.71","100.00","62.50","50.00",".00","33.33","75.00"
"2/4/2018","Waste Management Phoenix","T40","-.929","66.67","10' 4""","70.00","100.00","50.00","50.00","50.00","75.00","87.50"
"1/21/2018","CareerBuilder Challenge","CUT","-1.272","20.00","16' 3""","50.00","-","83.33","-","50.00",".00","100.00"
"12/10/2017","(*) QBE Shootout","T7","-","-","-","-","-","-","-","-","-","-"
"11/19/2017","The RSM Classic","67","-.693","42.86","17' 8""","50.00","100.00","37.50","16.67","33.33","60.00","100.00"
"11/5/2017","Shriners Hospitals","T51","-.191","50.00","9' 10""","52.00","75.00","57.14","66.67","20.00","58.33","100.00"
"9/4/2017","Dell Technologies Champ","T69","-.391",".00","25' 2""","40.91","100.00","71.43",".00","20.00","62.50","75.00"
