"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/13/2019","Sony Open in Hawaii","CUT","-1.199","-.096","313.0","306.5","377","53.57","28' 2""","14.29","10.71","1,998","119.25","1,998"
"1/6/2019","Sentry T of C","31",".783",".998","282.6","302.9","375","73.33","24' 1""","18.33","8.33","35","118.72","50"
"12/9/2018","(*) QBE Shootout","T6","-","-","-","-","-","-","-","-","-","-","-","-"
"12/2/2018","(*) Hero World Challenge","T12","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","29","-3.095","-.174","309.1","306.8","363","37.50","31' 10""","21.82","27.27","36","122.15","54"
"9/9/2018","BMW Championship","T16",".387",".566","304.4","301.7","353","67.86","25' 8""","14.55","16.36","51","120.37","74"
"9/3/2018","Dell Technologies Champ","T7","2.154","1.135","318.4","302.2","347","62.50","31' 1""","12.50","12.50","51","123.04","65"
"8/26/2018","THE NORTHERN TRUST","T34","1.179",".911","293.1","294.2","323","66.07","28' 4""","12.73","14.55","50","120.75","108"
"8/12/2018","PGA Championship","CUT","-1.905",".270","298.0","293.7","340","42.86","15' 8""","10.71","35.71","1,998","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T31",".016",".673","333.9","323.9","394","46.43","31' 3""","18.52","25.93","48","122.09","67"
"7/29/2018","RBC Canadian Open","CUT","-1.254",".570","313.3","316.4","386","53.57","25' 11""","25.00","10.71","1,998","124.65","1,998"
"7/22/2018","The Open Championship","CUT","-","-","320.0","-","358","43.33","-","-","-","1,998","-","-"
"7/8/2018","The Greenbrier","T13","1.777","1.221","325.5","311.9","361","67.86","25' 8""","16.36","10.91","42","120.89","91"
"6/24/2018","Travelers Championship","1","2.879","1.018","311.8","298.0","366","51.79","23' 0""","16.07","19.64","77","123.01","145"
"6/17/2018","U.S. Open","CUT",".458",".744","321.0","293.9","345","75.00","-",".00","17.86","1,998","-","-"
"6/3/2018","the Memorial Tournament","T44",".436",".916","302.6","296.2","349","62.50","27' 2""","14.29","17.86","66","119.46","58"
"5/13/2018","THE PLAYERS Championship","T57",".500",".308","304.4","295.5","350","58.93","41' 8""","1.85","12.96","61","121.43","37"
