"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/13/2019","Sony Open in Hawaii","CUT","-.530","-","1.696","1.611","38.89",".00","29.00","28.00","30.00","-","-","100.00","100.00","100.00","50.00","50.00","50.00",".00",".00","63.64","78.57","50.00",".00","33.33",".00","23' 7""","1' 9""","68' 7""","30.43"
"1/6/2019","Sentry T of C","31","-2.859","59.6","1.948","1.833","27.78","16.67","33.00","33.00","36.00","32.00","31.00","98.15","66.67","100.00","-",".00",".00","60.00",".00","28.57","79.52","18.18","9.09",".00","5.26","29' 4""","2' 8""","51' 3""","26.32"
"12/9/2018","(*) QBE Shootout","T6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12/2/2018","(*) Hero World Challenge","T12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","29",".212","26.5","1.771","1.569","44.44","1.39","28.25","30.00","30.00","26.00","27.00","100.00","100.00","80.00","33.33","50.00","75.00","75.00","60.00","62.50","87.67","33.33","14.29","25.00","7.14","29' 4""","2' 2""","81' 10""","31.43"
"9/9/2018","BMW Championship","T16",".746","58.7","1.696","1.597","41.67","1.39","28.75","31.00","28.00","27.00","29.00","100.00","100.00","83.33","60.00","100.00","100.00","50.00","83.33","78.57","92.96","33.33","12.50","12.50",".00","22' 7""","2' 1""","75' 9""","32.14"
"9/3/2018","Dell Technologies Champ","T7","-.307","90.5","1.735","1.569","38.89","1.39","28.25","29.00","28.00","29.00","27.00","100.00","100.00","72.73","100.00",".00","100.00","66.67","66.67","77.78","91.67","20.00",".00",".00","6.25","26' 2""","1' 11""","60' 9""","31.25"
"8/26/2018","THE NORTHERN TRUST","T34","-.536","83.9","1.740","1.625","37.50",".00","29.25","31.00","24.00","31.00","31.00","100.00","100.00","71.43","50.00","75.00",".00","33.33","50.00","62.50","88.16","33.33","11.11","14.29",".00","23' 9""","1' 11""","62' 8""","28.00"
"8/12/2018","PGA Championship","CUT","-1.610","-","1.833","1.667","36.11","2.78","30.00","30.00","30.00","-","-","100.00","80.00","100.00",".00",".00",".00",".00",".00","33.33","80.00","37.50",".00","33.33",".00","21' 8""","1' 8""","60' 0""","22.22"
"8/5/2018","WGC-Bridgestone Invit'l","T31","-.111","61.2","1.733","1.625","36.11","1.39","29.25","32.00","29.00","26.00","30.00","100.00","100.00","66.67","50.00","71.43","50.00","66.67","-","64.29","91.67","15.38","20.00","25.00",".00","23' 9""","1' 9""","62' 3""","31.11"
"7/29/2018","RBC Canadian Open","CUT","-.143","-","1.826","1.583","47.22","5.56","28.50","30.00","27.00","-","-","100.00","100.00","75.00","100.00",".00","50.00","-","100.00","72.73","91.67","33.33",".00",".00","9.09","29' 9""","3' 11""","72' 3""","34.78"
"7/22/2018","The Open Championship","CUT","-","-","2.083","1.861","25.00","11.11","33.50","36.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","16.67"
"7/8/2018","The Greenbrier","T13","-.055","76.9","1.646","1.542","40.28",".00","27.75","29.00","29.00","26.00","27.00","100.00","100.00","50.00","87.50","75.00","57.14",".00","37.50","71.43","82.50","11.11","33.33",".00","12.50","31' 4""","1' 3""","66' 5""","35.42"
"6/24/2018","Travelers Championship","1",".807","30.2","1.643","1.556","36.11",".00","28.00","30.00","28.00","30.00","24.00","100.00","100.00","100.00","50.00","100.00","57.14","50.00","100.00","73.68","89.86","41.67","25.00",".00",".00","19' 9""","1' 11""","70' 1""","35.71"
"6/17/2018","U.S. Open","CUT","-.922","-","1.900","1.806","27.78","8.33","32.50","33.00","32.00","-","-","100.00","100.00","66.67","50.00","66.67","50.00","-",".00","60.00","84.21","42.86",".00",".00","10.00","27' 6""","2' 11""","69' 5""","20.00"
"6/3/2018","the Memorial Tournament","T44","-.070","69.4","1.755","1.611","36.11","2.78","29.00","31.00","27.00","29.00","29.00","100.00","91.67","100.00","66.67","80.00",".00","33.33",".00","66.67","88.57","41.67","22.22","14.29",".00","20' 11""","2' 1""","64' 4""","28.57"
"5/13/2018","THE PLAYERS Championship","T57","-.224","103.8","1.857","1.653","31.94","5.56","29.75","29.00","28.00","32.00","30.00","100.00","85.71","83.33","40.00","87.50","57.14",".00","50.00","69.23","85.53","11.11","33.33",".00","4.00","28' 4""","2' 8""","69' 8""","32.65"
"4/29/2018","Zurich Classic of New Orl","T28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T5","-","-","1.821","1.694","36.11","5.56","30.50","34.00","30.00","27.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.36"
"3/25/2018","WGC-Dell Tech Match Play","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T66","-1.487","124.2","1.938","1.736","30.56","4.17","31.25","29.00","28.00","34.00","34.00","100.00","83.33","80.00","50.00","50.00","66.67","25.00","25.00","64.29","85.19","9.09",".00","11.11","5.00","40' 5""","2' 1""","58' 0""","22.92"
"3/4/2018","WGC-Mexico Championship","T9",".572","58.6","1.714","1.639","37.50","1.39","29.50","30.00","27.00","30.00","31.00","100.00","100.00","100.00","50.00","50.00","-","50.00","33.33","72.73","88.31",".00","23.08",".00","5.56","37' 8""","1' 10""","65' 11""","37.50"
"2/18/2018","Genesis Open","1",".767","59.6","1.652","1.500","45.83","1.39","27.00","29.00","29.00","24.00","26.00","97.67","100.00","83.33","33.33","66.67","100.00","20.00","100.00","73.33","87.67","60.00",".00",".00",".00","14' 2""","2' 1""","65' 5""","41.30"
"2/11/2018","AT&T Pebble Beach","T35",".702","48.2","1.800","1.667","34.72","1.39","30.00","31.00","31.00","31.00","27.00","100.00","100.00","100.00","-","100.00","66.67",".00","33.33","85.71","86.49","33.33","12.50",".00","20.00","27' 11""","1' 7""","72' 6""","23.64"
"2/4/2018","Waste Management Phoenix","T40","-.282","86.8","1.904","1.694","36.11","5.56","30.50","33.00","30.00","28.00","31.00","100.00","100.00","33.33","66.67","100.00","50.00","100.00","50.00","58.33","91.78","33.33",".00","16.67",".00","23' 11""","2' 3""","56' 0""","25.00"
"1/21/2018","CareerBuilder Challenge","CUT",".745","-","1.795","1.704","29.63",".00","30.67","32.00","32.00","28.00","-","100.00","-","100.00","-","50.00","-","100.00","-","66.67","94.44",".00","25.00",".00",".00","19' 7""","1' 0""","62' 10""","22.73"
"12/10/2017","(*) QBE Shootout","T7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/19/2017","The RSM Classic","67","1.509","57.2","1.659","1.528","45.83","1.39","27.50","27.00","23.00","30.00","30.00","100.00","100.00","66.67","100.00","100.00","66.67","50.00","100.00","85.71","94.23","28.57","66.67",".00","6.25","25' 7""","2' 5""","82' 10""","38.64"
"11/5/2017","Shriners Hospitals","T51","-.348","98.8","1.809","1.639","36.11","2.78","29.50","32.00","27.00","28.00","31.00","98.00","100.00","75.00","100.00","100.00","50.00",".00","50.00","69.23","89.33","33.33","6.67",".00","6.67","27' 7""","1' 7""","56' 1""","27.66"
"9/4/2017","Dell Technologies Champ","T69","-1.370","119.5","1.800","1.708","33.33","4.17","30.75","35.00","28.00","32.00","28.00","100.00","88.89","66.67","33.33","60.00","50.00",".00","50.00","52.63","82.72","41.67",".00",".00",".00","14' 4""","2' 2""","58' 9""","26.00"
"8/27/2017","THE NORTHERN TRUST","T10","1.006","50.0","1.792","1.583","40.28","1.39","28.50","25.00","29.00","35.00","25.00","100.00","85.71","100.00",".00","75.00","100.00","66.67","-","87.50","94.20","11.11","37.50","12.50","5.00","26' 4""","2' 4""","72' 11""","25.00"
"8/13/2017","PGA Championship","CUT","1.283","-","1.789","1.639","47.22","11.11","29.50","31.00","28.00","-","-","100.00","50.00","100.00","100.00","50.00",".00",".00","100.00","66.67","82.86","44.44","40.00","-","10.00","37' 1""","2' 7""","99' 0""","42.11"
"8/6/2017","WGC-Bridgestone Invit'l","T17",".623","81.1","1.756","1.556","44.44",".00","28.00","29.00","25.00","28.00","30.00","100.00","100.00","71.43","33.33","33.33","33.33",".00","100.00","50.00","87.32","30.00","50.00","20.00","13.33","46' 9""","1' 9""","86' 7""","26.67"
"7/30/2017","RBC Canadian Open","T42",".000","72.6","1.750","1.542","43.06","2.78","27.75","30.00","28.00","26.00","27.00","97.67","100.00","100.00","75.00","85.71","-","40.00","33.33","88.24","89.04","25.00",".00","33.33","5.56","33' 2""","2' 3""","69' 0""","36.36"
"7/23/2017","The Open Championship","T27","-","-","1.622","1.444","50.00","2.78","26.00","25.00","24.00","27.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","43.24"
"7/16/2017","John Deere Classic","T44","-.857","115.8","1.750","1.681","33.33","1.39","30.25","31.00","31.00","29.00","30.00","100.00","100.00","80.00","50.00","50.00","50.00",".00",".00","68.75","88.16","23.08",".00","12.50","6.67","35' 1""","1' 8""","58' 9""","28.57"
"7/9/2017","The Greenbrier Classic","T70",".543","60.0","1.775","1.597","37.50",".00","28.75","32.00","27.00","29.00","27.00","100.00","90.00","75.00","100.00","50.00","80.00","33.33",".00","75.00","88.41","50.00","20.00",".00","6.25","41' 0""","1' 9""","77' 4""","27.50"
"6/25/2017","Travelers Championship","CUT","-1.863","-","1.815","1.750","30.56","5.56","31.50","30.00","33.00","-","-","96.30","50.00","66.67","33.33","100.00",".00","50.00",".00","44.44","76.19","28.57","20.00",".00","12.50","34' 11""","1' 9""","72' 8""","29.63"
