"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"11/25/2018","(*) ISPS Handa World Cup","T6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T41","-","62.50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T41","-","80.56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T13","-","75.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T29",".621","79.17","55.56","40.00","60.00","29' 11""","32' 2""","32' 2""","32' 1""","29' 1""","157' 4""","14' 2""","37' 9""","44' 5""","12' 2""","17' 9""","16' 9""","16' 2""","18' 6""","25' 5""","43' 5""","48' 4""","-","-","-","115' 2""","34' 11""","23' 9""","115' 2""","8' 0""","41' 3""","28' 11""","20' 5""","17' 1""","22' 0""","27' 3""","2","11"
"9/3/2018","Dell Technologies Champ","T31","1.018","70.83","50.00","37.50","50.00","33' 1""","33' 10""","27' 3""","38' 3""","26' 3""","98' 7""","-","37' 3""","30' 4""","18' 2""","18' 7""","24' 2""","22' 3""","21' 6""","22' 8""","25' 0""","36' 8""","-","-","-","6' 1""","33' 10""","-","6' 1""","-","62' 2""","24' 4""","-","-","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T40",".507","81.94","31.25",".00","60.00","32' 7""","46' 5""","25' 0""","57' 2""","25' 3""","63' 11""","-","38' 5""","27' 9""","18' 0""","5' 11""","48' 3""","29' 3""","9' 5""","23' 3""","31' 4""","33' 7""","-","-","-","60' 10""","54' 0""","26' 9""","60' 10""","85' 0""","37' 2""","69' 9""","31' 3""","42' 6""","9' 7""","31' 1""","-","-"
"8/12/2018","PGA Championship","T56",".417","61.11","50.00","40.00","40.00","36' 11""","70' 10""","87' 6""","59' 9""","25' 8""","-","41' 7""","26' 0""","37' 3""","6' 11""","-","18' 2""","14' 11""","22' 7""","22' 6""","36' 5""","33' 11""","-","-","121' 7""","100' 4""","70' 10""","-","104' 7""","70' 10""","40' 10""","-","112' 0""","112' 0""","-","-","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T57",".374","59.72","37.50",".00","66.67","29' 5""","45' 7""","51' 9""","38' 10""","21' 2""","-","-","28' 6""","29' 11""","24' 4""","17' 7""","14' 11""","16' 8""","12' 6""","20' 11""","24' 5""","29' 6""","-","-","-","75' 3""","49' 4""","5' 9""","75' 3""","47' 9""","46' 6""","49' 0""","12' 4""","25' 5""","-","5' 9""","2","13"
"7/29/2018","RBC Canadian Open","T2","1.174","75.00","62.50","40.00","90.00","27' 3""","38' 5""","27' 7""","48' 3""","22' 10""","-","-","26' 7""","31' 4""","19' 11""","11' 0""","25' 7""","20' 8""","12' 11""","27' 9""","27' 1""","29' 5""","-","-","-","33' 9""","37' 11""","47' 9""","33' 9""","81' 4""","44' 11""","24' 2""","36' 4""","32' 6""","-","47' 9""","1","9"
