"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"11/25/2018","(*) ISPS Handa World Cup","T6","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T41","-","66.67","-","40.74","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T41","-","83.33","-","50.00","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T13","-","60.00","-","72.22","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T29",".495","-","-","66.67","-","62.50","100.00","66.67","57.14","75.00"
"9/3/2018","Dell Technologies Champ","T31","-.167","60.00","8' 4""","71.43","100.00","66.67","25.00","80.00","75.00","100.00"
"8/26/2018","THE NORTHERN TRUST","T40",".931","60.00","7' 0""","76.92","-","83.33","50.00","66.67","83.33","100.00"
"8/12/2018","PGA Championship","T56","-.024","42.86","11' 5""","57.14","100.00","42.86","40.00","40.00","61.54","80.00"
"8/5/2018","WGC-Bridgestone Invit'l","T57",".938","40.00","9' 6""","68.97","100.00","82.35","62.50","66.67","60.00","87.50"
"7/29/2018","RBC Canadian Open","T2",".173","80.00","8' 2""","77.78","-","72.73","100.00","50.00","70.00","100.00"
"7/22/2018","The Open Championship","T51","-","71.43","-","56.00","-","-","-","-","-","-"
"7/1/2018","Quicken Loans National","T41",".889","57.14","12' 5""","64.00","100.00","58.33","42.86","100.00","80.00","60.00"
"6/17/2018","U.S. Open","67","-.727","20.00","8' 9""","31.25","-","28.57","7.69","42.86","40.00","100.00"
"6/10/2018","FedEx St. Jude Classic","CUT","-.191","75.00","6' 6""","55.56","100.00","33.33","50.00","40.00","50.00","100.00"
"6/3/2018","the Memorial Tournament","T2",".782","50.00","6' 7""","66.67","100.00","66.67",".00","50.00","80.00","100.00"
"5/13/2018","THE PLAYERS Championship","T30",".213","33.33","9' 5""","66.67","80.00","50.00","50.00","50.00","80.00","75.00"
"5/6/2018","Wells Fargo Championship","T63",".342","40.00","10' 7""","56.67","-","47.06","30.00","75.00","66.67","75.00"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/15/2018","RBC Heritage","T7","1.453",".00","11' 3""","69.23","100.00","66.67",".00","33.33","73.33","100.00"
"4/1/2018","Houston Open","T52","-.263","55.56","13' 4""","72.00","100.00","57.14","50.00","66.67","66.67","88.89"
"3/18/2018","Arnold Palmer Invt'l","T14",".131","75.00","11' 10""","65.00","100.00","40.00",".00","100.00","75.00","85.71"
"3/11/2018","Valspar Championship","CUT","-.588","50.00","12' 2""","71.43","75.00","70.00",".00","100.00","63.64","80.00"
"2/25/2018","The Honda Classic","T5","-.023","50.00","7' 5""","69.23","100.00","54.55","50.00","50.00","80.00","100.00"
"2/4/2018","Waste Management Phoenix","T23","-.378","42.86","9' 11""","60.00","-","75.00","50.00","40.00","66.67","80.00"
"11/19/2017","The RSM Classic","CUT","-2.309","75.00","6' 0""","50.00","100.00","50.00",".00",".00","50.00","-"
"11/12/2017","OHL Classic at Mayakoba","CUT","-",".00","-","41.67","-","25.00","-","-","-","-"
"11/5/2017","Shriners Hospitals","T32","-.742","25.00","14' 6""","52.94",".00","33.33","25.00","66.67","60.00","50.00"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T11","-","37.50","-","44.44","-","-","-","-","-","-"
"8/27/2017","THE NORTHERN TRUST","CUT","-.647","80.00","10' 10""","58.82","100.00",".00","50.00","50.00","75.00","66.67"
"8/20/2017","Wyndham Championship","CUT",".473","50.00","5' 6""","35.71","75.00",".00",".00",".00","37.50","100.00"
"8/13/2017","PGA Championship","T28","1.016","66.67","7' 11""","60.00","100.00","66.67",".00","66.67","71.43","85.71"
"7/23/2017","The Open Championship","CUT","-","20.00","-","57.89","-","-","-","-","-","-"
"7/2/2017","Quicken Loans National","T29","-.389","55.56","10' 5""","53.57","-","53.33","40.00","33.33","50.00","100.00"
"6/25/2017","Travelers Championship","T66",".130","33.33","12' 4""","44.44","50.00","40.00","40.00","33.33","38.46","66.67"
"6/18/2017","U.S. Open","CUT",".422",".00","2' 8""","63.16","100.00",".00","40.00","40.00","83.33","100.00"
"6/4/2017","the Memorial Tournament","T25","-.116","55.56","4' 11""","57.14","100.00","25.00",".00","33.33","75.00","71.43"
"5/21/2017","AT&T Byron Nelson","T5",".188","33.33","22' 11""","68.00","100.00","71.43",".00","50.00","87.50","100.00"
"5/7/2017","Wells Fargo Championship","T8",".118","50.00","11' 6""","68.18","50.00","80.00",".00","60.00","80.00","100.00"
"4/30/2017","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/23/2017","Valero Texas Open","T40",".731","45.45","9' 6""","58.06","100.00","50.00",".00","57.14","76.92","100.00"
"4/9/2017","Masters Tournament","T33","-","57.14","-","61.54","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T58","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T49","-.093","50.00","9' 2""","57.14","100.00","50.00","33.33","50.00","61.54","100.00"
"3/12/2017","Valspar Championship","T49",".679","33.33","5' 9""","45.83","-","50.00","16.67","40.00","57.14","66.67"
"3/5/2017","WGC-Mexico Championship","T48","-.718","28.57","12' 5""","50.00","100.00","50.00",".00","20.00","50.00","90.00"
"2/19/2017","Genesis Open","T55","-.692","20.00","24' 9""","50.00","100.00","50.00",".00","50.00","60.00","80.00"
"2/5/2017","Waste Management Phoenix","6",".234","33.33","6' 9""","73.33","-","57.14","66.67","80.00","100.00","100.00"
"1/29/2017","Farmers Insurance Open","T49","-.273","52.94","6' 3""","53.57","100.00","54.55",".00","71.43","40.00","75.00"
"11/27/2016","(*) ISPS HANDA World Cup","T22","-","-","-","-","-","-","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T63","-","33.33","-","47.62","-","-","-","-","-","-"
"10/23/2016","CIMB Classic","T39","-","100.00","-","61.90","-","-","-","-","-","-"
"8/14/2016","(*) Olympic Men's Golf","T11","-","-","-","-","-","-","-","-","-","-"
"7/31/2016","PGA Championship","CUT","-.775","16.67","14' 11""","11.11","-",".00",".00",".00",".00","100.00"
"7/17/2016","The Open Championship","T59","-","28.57","-","54.84","-","-","-","-","-","-"
