"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"11/25/2018","(*) ISPS Handa World Cup","T6","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T41","-","-","-","-","340","48.21","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T41","-","-","-","-","-","73.21","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T13","-","-","-","-","-","62.50","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T29","1.589",".473","301.3","295.7","337","73.21","24' 6""","12.73","9.09","40","116.07","35"
"9/3/2018","Dell Technologies Champ","T31",".462","-.390","303.4","290.7","340","53.57","30' 7""","10.91","14.55","105","116.70","69"
"8/26/2018","THE NORTHERN TRUST","T40","2.143",".705","292.3","291.2","332","58.93","30' 1""","14.29","25.00","74","116.31","19"
"8/12/2018","PGA Championship","T56",".383","-.010","316.0","295.4","337","55.36","38' 3""","13.21","16.98","87","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T57","1.206","-.107","322.0","306.0","382","48.21","29' 2""","23.64","21.82","63","116.81","29"
"7/29/2018","RBC Canadian Open","T2","2.470","1.123","326.3","311.2","376","57.14","29' 1""","16.07","21.43","27","117.12","126"
"7/22/2018","The Open Championship","T51","-","-","303.0","-","355","55.00","-","-","-","91","-","-"
"7/1/2018","Quicken Loans National","T41","-.005","-.616","314.9","295.1","354","39.29","25' 5""","23.21","21.43","78","116.59","21"
"6/17/2018","U.S. Open","67","-.984",".439","301.0","298.9","348","64.29","-","16.07","14.29","89","-","-"
"6/10/2018","FedEx St. Jude Classic","CUT","-.799",".832","295.8","296.9","347","50.00","25' 4""","14.29","21.43","1,998","116.92","-"
"6/3/2018","the Memorial Tournament","T2","2.879","1.001","301.0","287.9","342","82.14","17' 11""","1.79","14.29","20","118.73","14"
"5/13/2018","THE PLAYERS Championship","T30","1.097",".613","303.9","289.5","367","58.93","50' 3""","7.14","17.86","65","117.74","46"
"5/6/2018","Wells Fargo Championship","T63","1.326",".318","335.3","313.9","357","50.00","37' 10""","10.91","18.18","49","118.48","11"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"4/15/2018","RBC Heritage","T7","2.146",".503","289.6","281.7","340","58.93","20' 5""","7.14","10.71","63","118.67","43"
"4/1/2018","Houston Open","T52",".345",".375","299.6","291.7","335","55.36","40' 11""","14.81","14.81","78","119.16","24"
"3/18/2018","Arnold Palmer Invt'l","T14","1.818","1.305","304.3","295.5","346","67.86","28' 5""","12.73","12.73","43","118.45","63"
"3/11/2018","Valspar Championship","CUT","-1.084",".574","308.5","284.1","342","53.85","33' 9""","15.38","23.08","1,998","116.19","1,998"
"2/25/2018","The Honda Classic","T5","2.227",".698","305.9","283.5","348","64.29","21' 9""","14.29","14.29","38","117.41","23"
"2/4/2018","Waste Management Phoenix","T23","1.042",".671","313.9","311.9","359","60.71","39' 6""","8.93","8.93","40","116.18","61"
"11/19/2017","The RSM Classic","CUT","-2.172","1.389","294.8","298.0","338","75.00","41' 2""","14.29",".00","1,998","-","-"
"11/12/2017","OHL Classic at Mayakoba","CUT","-","-","303.5","-","316","53.57","-","-","-","1,998","-","-"
"11/5/2017","Shriners Hospitals","T32","1.245",".517","322.5","307.4","419","57.14","33' 7""","11.11","22.22","42","114.98","29"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T11","-","-","-","-","-","87.50","-","-","-","-","-","-"
"8/27/2017","THE NORTHERN TRUST","CUT","-1.134","-.284","301.0","291.0","344","64.29","48' 4""","7.14","21.43","1,998","114.93","1,998"
"8/20/2017","Wyndham Championship","CUT","-.738","-.393","302.0","292.7","331","53.57","28' 6""","21.43","14.29","1,998","113.47","1,998"
"8/13/2017","PGA Championship","T28","2.061",".866","304.1","301.1","324","62.50","20' 3""","12.50","10.71","53","-","-"
"7/23/2017","The Open Championship","CUT","-","-","300.3","-","344","32.14","-","-","-","1,998","-","-"
"7/2/2017","Quicken Loans National","T29",".489",".772","311.9","291.4","358","53.57","27' 11""","10.91","12.73","66","115.76","52"
"6/25/2017","Travelers Championship","T66",".824",".626","299.8","289.8","342","64.29","25' 3""","12.50","12.50","61","114.07","18"
"6/18/2017","U.S. Open","CUT","-.265",".362","312.5","301.1","337","71.43","-","3.57","17.86","1,998","-","-"
"6/4/2017","the Memorial Tournament","T25","1.256","-.347","304.1","295.0","351","58.93","17' 9""","14.81","11.11","68","114.21","28"
"5/21/2017","AT&T Byron Nelson","T5","2.060","1.425","298.4","298.2","373","51.79","27' 5""","19.64","19.64","55","114.89","33"
"5/7/2017","Wells Fargo Championship","T8","1.774",".815","291.3","286.4","338","60.71","21' 8""","12.50","17.86","63","113.87","96"
"4/30/2017","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"4/23/2017","Valero Texas Open","T40","1.180",".971","293.0","293.7","361","66.07","33' 3""","7.14","10.71","56","115.06","78"
"4/9/2017","Masters Tournament","T33","-","-","297.8","-","332","71.43","-","-","-","14","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T58","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T49",".263",".171","295.6","285.2","328","58.93","19' 9""","10.91","12.73","79","114.06","63"
"3/12/2017","Valspar Championship","T49","1.257",".440","291.9","283.5","336","63.46","19' 11""","13.46","13.46","53","116.19","60"
"3/5/2017","WGC-Mexico Championship","T48","1.070",".797","298.9","301.6","372","69.64","15' 9""","12.96","12.96","42","116.59","48"
"2/19/2017","Genesis Open","T55","1.320",".624","302.4","287.5","323","58.93","24' 10""","16.07","17.86","28","116.57","60"
"2/5/2017","Waste Management Phoenix","6","1.501",".186","311.4","309.9","345","48.21","23' 7""","7.14","21.43","80","118.98","81"
"1/29/2017","Farmers Insurance Open","T49","-.322",".378","297.1","290.0","313","53.57","33' 0""","16.67","19.05","50","115.62","4"
"11/27/2016","(*) ISPS HANDA World Cup","T22","-","-","-","-","-","-","-","-","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T63","-","-","-","-","318","26.79","-","-","-","-","-","-"
"10/23/2016","CIMB Classic","T39","-","-","-","-","-","50.00","-","-","-","-","-","-"
"8/14/2016","(*) Olympic Men's Golf","T11","-","-","-","-","-","-","-","-","-","-","-","-"
"7/31/2016","PGA Championship","CUT",".393","-.057","301.3","290.1","358","53.57","29' 9""","14.29","21.43","1,998","-","-"
"7/17/2016","The Open Championship","T59","-","-","293.6","-","329","62.50","-","-","-","56","-","-"
"7/3/2016","WGC-Bridgestone Invit'l","T49","-1.748","-.005","322.4","309.8","368","33.93","23' 4""","29.63","27.78","67","116.15","35"
"6/26/2016","Quicken Loans National","T44",".627",".943","299.3","304.3","355","44.64","24' 3""","25.00","26.79","89","115.11","35"
"6/19/2016","U.S. Open","T23","-","-","293.0","-","334","55.36","-","-","-","69","-","-"
"6/5/2016","the Memorial Tournament","T11",".608",".004","303.4","288.2","350","57.14","32' 6""","3.70","27.78","77","116.24","74"
"5/15/2016","THE PLAYERS Championship","CUT",".081","-.671","299.5","290.4","338","60.71","40' 3""","3.70","11.11","1,998","113.83","1,998"
"5/8/2016","Wells Fargo Championship","CUT",".183",".705","279.5","294.3","345","42.86","23' 11""","3.57","32.14","1,998","112.25","1,998"
"5/1/2016","Zurich Classic of New Orl","T2","2.895",".716","292.8","279.3","317","83.33","46' 2""","2.38","11.90","24","112.45","20"
"4/10/2016","Masters Tournament","CUT","-","-","282.0","-","288","50.00","-","-","-","1,998","-","-"
"3/27/2016","WGC-Dell Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"3/20/2016","Arnold Palmer Invt'l","T36","1.060",".893","303.6","285.5","324","66.07","25' 10""","17.86","5.36","62","114.30","10"
"3/6/2016","WGC-Cadillac Championship","T52","-1.083",".005","305.4","294.8","354","48.21","24' 7""","23.21","17.86","60","113.61","26"
"11/8/2015","WGC-HSBC Champions","T19","-","-","-","-","311","55.36","-","-","-","-","-","-"
"8/23/2015","Wyndham Championship","T18","3.386","1.398","304.6","288.3","340","69.64","20' 10""","16.07","14.29","27","117.55","80"
"8/16/2015","PGA Championship","CUT","2.457",".768","304.5","293.4","339","57.14","30' 0""","17.86","10.71","1,998","-","-"
"8/9/2015","WGC-Bridgestone Invit'l","T57","1.231",".660","325.3","308.4","366","42.86","23' 7""","31.48","20.37","63","116.57","54"
"7/19/2015","The Open Championship","CUT","-","-","296.5","-","336","75.00","-","-","-","1,998","-","-"
"6/21/2015","U.S. Open","CUT","-","-","328.5","-","378","57.14","-","-","-","1,998","-","-"
"7/20/2014","The Open Championship","T26","-","-","280.5","-","332","69.64","-","-","-","47","-","-"
"7/18/2010","The Open Championship","CUT","-","-","311.5","-","348","65.63","-","-","-","1,998","-","-"
"7/4/2010","AT&T National","CUT","-2.060",".226","316.8","300.9","351","57.14","31' 4""","17.86","17.86","1,998","119.40","1,998"
"6/20/2010","U.S. Open Championship","CUT","-","-","294.3","-","327","57.14","-","-","-","1,998","-","-"
"6/6/2010","the Memorial Tournament","CUT","-.894","-.005","299.8","282.3","307","67.86","31' 4""","3.70","25.93","1,998","114.62","1,998"
"5/30/2010","Crowne Plaza Invitational","CUT","-1.009",".446","303.3","284.1","338","57.14","29' 11""","7.41","22.22","1,998","118.29","1,998"
"4/18/2010","Verizon Heritage","T59",".947",".863","287.6","277.5","331","64.29","30' 8""","3.92","13.73","57","115.17","48"
"4/11/2010","Masters Tournament","CUT","-","-","287.5","-","300","53.57","-","-","-","1,998","-","-"
"3/28/2010","Arnold Palmer Invt'l","CUT","-.300",".554","293.5","284.0","321","67.86","23' 1""","11.11","11.11","1,998","120.19","1,998"
