"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"11/25/2018","(*) ISPS Handa World Cup","T6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T41","-","-","1.800","1.597","38.89","1.39","28.75","30.00","28.00","28.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33.33"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T41","-","-","1.914","1.833","26.39","12.50","33.00","30.00","38.00","34.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29.31"
"10/14/2018","CIMB Classic","T13","-","-","1.685","1.556","47.22","2.78","28.00","25.00","34.00","28.00","25.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","42.59"
"9/9/2018","BMW Championship","T29","-1.205","101.3","1.807","1.681","27.78","1.39","30.25","27.00","33.00","31.00","30.00","100.00","71.43","100.00","100.00","42.86",".00","57.14","50.00","42.86","81.82","35.29",".00","11.11",".00","23' 3""","1' 11""","64' 4""","24.56"
"9/3/2018","Dell Technologies Champ","T31",".135","74.8","1.784","1.639","40.28","4.17","29.50","31.00","32.00","26.00","29.00","100.00","100.00","100.00","80.00","50.00","100.00","100.00",".00","81.25","88.73","36.36","23.08","16.67","5.88","50' 9""","2' 10""","85' 6""","29.41"
"8/26/2018","THE NORTHERN TRUST","T40","-1.750","137.8","1.881","1.764","30.56","5.56","31.75","34.00","32.00","29.00","32.00","100.00","85.71","71.43","50.00","100.00","50.00",".00",".00","68.75","84.62","33.33",".00","16.67","5.26","31' 4""","3' 4""","66' 7""","20.34"
"8/12/2018","PGA Championship","T56","-.181","79.6","1.750","1.625","38.89","1.39","29.25","30.00","34.00","26.00","27.00","100.00","100.00","80.00","100.00","40.00","20.00","50.00","16.67","52.94","81.01","71.43","27.27",".00",".00","17' 10""","2' 4""","70' 6""","29.55"
"8/5/2018","WGC-Bridgestone Invit'l","T57","-2.301","111.3","1.860","1.625","34.72","5.56","29.25","30.00","31.00","34.00","22.00","98.11","70.00","100.00","33.33",".00","75.00",".00","25.00","50.00","82.50","16.67",".00","16.67",".00","20' 1""","2' 1""","49' 9""","16.28"
"7/29/2018","RBC Canadian Open","T2",".893","52.8","1.630","1.514","47.22","1.39","27.25","27.00","29.00","25.00","28.00","100.00","100.00","100.00","85.71","57.14","100.00","-","66.67","84.62","92.96","22.22","16.67",".00","10.53","33' 11""","2' 1""","77' 8""","44.44"
