"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","T9","1.645","65.28","33.33","50.00","75.00","30' 8""","45' 6""","32' 11""","60' 7""","26' 4""","11' 10""","20' 3""","18' 5""","48' 10""","13' 0""","9' 2""","15' 5""","12' 6""","15' 10""","31' 6""","31' 7""","35' 9""","-","127' 2""","-","60' 7""","52' 4""","14' 11""","93' 11""","49' 11""","60' 0""","2' 4""","22' 8""","30' 6""","4' 11""","24' 11""","1","7"
"1/13/2019","Sony Open in Hawaii","T22",".975","76.39","77.78","14.29","100.00","31' 7""","49' 6""","44' 9""","54' 10""","25' 5""","-","-","-","37' 7""","9' 1""","8' 2""","16' 11""","11' 4""","12' 4""","29' 11""","34' 6""","37' 7""","-","-","55' 6""","-","49' 6""","-","55' 6""","33' 1""","56' 6""","23' 3""","66' 4""","66' 4""","-","-","1","12"
"11/25/2018","(*) ISPS Handa World Cup","T2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T54","-","56.94","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T7","-","81.94","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T22","-","75.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","20","1.335","65.28","87.50","14.29","85.71","33' 10""","53' 5""","60' 2""","42' 9""","23' 8""","43' 9""","-","52' 7""","21' 9""","-","7' 5""","8' 9""","8' 6""","15' 2""","16' 6""","28' 6""","34' 8""","-","-","83' 9""","-","54' 9""","30' 11""","83' 9""","-","42' 3""","51' 2""","40' 10""","42' 6""","-","30' 11""","1","5"
"9/9/2018","BMW Championship","T65","-1.001","62.50","66.67","16.67","50.00","36' 9""","36' 3""","35' 8""","36' 7""","35' 3""","93' 6""","74' 11""","47' 3""","53' 1""","16' 5""","18' 8""","25' 1""","22' 8""","21' 4""","19' 5""","45' 3""","59' 0""","-","-","-","58' 0""","40' 7""","12' 2""","58' 0""","48' 4""","34' 5""","34' 4""","21' 7""","31' 0""","12' 2""","-","-","-"
"9/3/2018","Dell Technologies Champ","3",".521","70.83","75.00","25.00","50.00","35' 11""","27' 10""","14' 6""","41' 2""","34' 8""","-","86' 1""","80' 5""","28' 5""","12' 3""","17' 5""","30' 9""","23' 3""","20' 9""","33' 5""","38' 2""","47' 2""","-","-","-","-","27' 10""","-","-","54' 7""","27' 9""","14' 6""","-","-","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T3","1.411","73.61","37.50","16.67","50.00","31' 3""","33' 10""","29' 6""","44' 3""","26' 11""","85' 10""","-","36' 8""","26' 5""","11' 4""","35' 9""","26' 5""","28' 6""","27' 10""","16' 10""","24' 5""","37' 2""","-","-","-","-","37' 8""","15' 11""","-","26' 7""","39' 3""","37' 3""","32' 11""","83' 10""","17' 4""","15' 2""","-","-"
"8/12/2018","PGA Championship","T56","-.725","59.72","60.00","16.67","66.67","36' 1""","54' 0""","56' 8""","50' 3""","31' 8""","81' 0""","43' 11""","59' 3""","54' 4""","2' 1""","8' 11""","13' 10""","10' 8""","21' 11""","31' 3""","33' 11""","59' 2""","-","167' 5""","99' 1""","-","57' 9""","12' 5""","133' 3""","57' 4""","14' 5""","27' 11""","41' 8""","56' 3""","12' 5""","-","2","12"
"8/5/2018","WGC-Bridgestone Invit'l","23",".052","62.50","37.50","33.33","66.67","31' 0""","35' 1""","37' 1""","33' 7""","29' 0""","-","-","95' 2""","43' 7""","45' 5""","19' 6""","10' 9""","14' 10""","15' 5""","28' 2""","28' 9""","59' 1""","-","-","-","45' 8""","35' 1""","-","45' 8""","46' 11""","36' 11""","44' 11""","21' 1""","21' 1""","-","-","1","7"
"7/22/2018","The Open Championship","78","-","52.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/17/2018","U.S. Open","CUT",".610","44.44","20.00",".00",".00","43' 10""","44' 5""","43' 1""","48' 5""","45' 3""","127' 11""","75' 9""","69' 6""","23' 2""","-","-","48' 8""","48' 8""","24' 1""","46' 0""","51' 8""","74' 1""","-","-","-","55' 6""","44' 5""","-","55' 6""","33' 4""","-","-","-","-","-","-","1","54"
"6/3/2018","the Memorial Tournament","CUT","-1.376","52.78","50.00","25.00","50.00","35' 6""","57' 1""","9' 1""","73' 0""","31' 5""","90' 2""","33' 10""","11' 10""","49' 7""","-","-","14' 2""","14' 2""","20' 7""","26' 2""","42' 6""","47' 0""","-","-","-","-","57' 1""","-","-","-","30' 6""","94' 4""","9' 1""","9' 1""","-","-","-","-"
"5/27/2018","Fort Worth Invitational","CUT","-2.103","47.22","50.00",".00",".00","37' 11""","44' 1""","29' 0""","49' 2""","31' 11""","-","78' 3""","40' 0""","40' 8""","-","11' 3""","14' 5""","12' 10""","22' 9""","28' 1""","25' 1""","53' 1""","-","-","-","-","50' 9""","11' 2""","-","64' 5""","61' 11""","33' 6""","29' 1""","41' 0""","12' 10""","9' 5""","-","-"
"5/13/2018","THE PLAYERS Championship","CUT","-3.551","52.78","60.00","33.33","83.33","41' 5""","57' 4""","63' 1""","51' 7""","37' 8""","103' 7""","-","71' 4""","40' 4""","12' 7""","10' 0""","10' 10""","11' 1""","28' 7""","36' 2""","57' 3""","71' 8""","-","103' 3""","68' 1""","-","57' 4""","-","85' 8""","41' 1""","29' 3""","51' 2""","-","-","-","-","1","19"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/15/2018","RBC Heritage","T32","-.042","54.17","73.33","16.67","75.00","35' 9""","39' 11""","47' 2""","32' 7""","29' 3""","-","54' 2""","54' 1""","46' 5""","-","58' 4""","20' 6""","28' 0""","23' 7""","21' 9""","27' 8""","50' 10""","-","-","40' 9""","55' 4""","39' 0""","46' 2""","50' 5""","52' 11""","21' 8""","37' 4""","46' 2""","-","-","46' 2""","-","-"
"4/8/2018","Masters Tournament","T5","-","68.06","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","CUT",".350","63.89","62.50",".00",".00","39' 11""","63' 5""","64' 11""","62' 10""","32' 3""","-","112' 6""","41' 1""","43' 1""","-","-","-","-","15' 9""","22' 7""","14' 5""","48' 10""","154' 6""","-","-","31' 7""","63' 5""","-","93' 1""","59' 5""","38' 0""","70' 4""","51' 11""","51' 11""","-","-","-","-"
"3/11/2018","Valspar Championship","T46",".606","52.78","50.00","25.00","50.00","38' 0""","33' 0""","39' 8""","27' 6""","38' 5""","146' 2""","93' 11""","47' 6""","40' 9""","-","11' 7""","15' 0""","14' 6""","33' 10""","29' 4""","34' 7""","61' 2""","-","-","40' 10""","14' 4""","35' 3""","12' 5""","27' 7""","14' 11""","53' 3""","40' 3""","15' 9""","17' 5""","12' 4""","12' 5""","2","17"
"2/18/2018","Genesis Open","T6",".949","52.78","43.75","57.14","42.86","35' 5""","45' 10""","49' 10""","40' 4""","29' 6""","-","21' 11""","48' 11""","9' 3""","14' 1""","15' 1""","20' 0""","17' 6""","23' 9""","34' 9""","32' 4""","37' 2""","-","-","92' 7""","78' 6""","47' 7""","13' 9""","80' 10""","30' 11""","12' 1""","67' 6""","23' 6""","33' 3""","13' 9""","-","-","-"
"2/4/2018","Waste Management Phoenix","T48",".102","61.11","100.00","18.75","56.25","40' 7""","47' 8""","41' 7""","58' 5""","31' 6""","-","41' 4""","46' 9""","48' 3""","-","-","21' 10""","21' 10""","21' 11""","26' 11""","39' 0""","44' 8""","-","55' 1""","86' 4""","-","47' 8""","-","75' 11""","47' 3""","24' 10""","51' 7""","-","-","-","-","2","29"
"1/28/2018","Farmers Insurance Open","T20",".647","59.72","33.33","25.00","100.00","31' 6""","25' 11""","31' 7""","14' 9""","33' 1""","-","46' 8""","47' 11""","41' 4""","-","6' 6""","21' 10""","17' 6""","27' 7""","15' 4""","45' 4""","44' 7""","-","-","83' 1""","-","27' 4""","20' 4""","83' 1""","64' 9""","13' 7""","23' 6""","19' 2""","16' 1""","25' 4""","-","1","-"
"1/14/2018","Sony Open in Hawaii","T18",".154","72.22","81.82","22.22","55.56","35' 9""","54' 10""","51' 11""","62' 6""","23' 8""","-","-","-","52' 9""","14' 10""","21' 4""","13' 7""","14' 8""","18' 11""","21' 9""","28' 3""","52' 9""","-","-","57' 2""","96' 5""","62' 1""","8' 11""","80' 8""","41' 0""","66' 7""","69' 3""","22' 3""","53' 2""","-","6' 10""","1","14"
"1/7/2018","Sentry T of C","T17","-.297","77.78","53.57","40.00","66.67","38' 10""","31' 0""","27' 11""","34' 1""","39' 6""","89' 6""","97' 3""","58' 10""","31' 3""","17' 8""","13' 6""","28' 8""","21' 7""","36' 0""","35' 0""","44' 5""","63' 4""","-","-","-","-","30' 3""","32' 7""","-","54' 4""","21' 7""","47' 5""","30' 1""","24' 5""","26' 11""","40' 10""","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","3","-","80.56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T5","-","75.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
