"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","T9",".359","60.00","5' 8""","72.00","100.00","81.82","20.00","50.00","100.00","100.00"
"1/13/2019","Sony Open in Hawaii","T22",".103","50.00","8' 10""","47.06","66.67","33.33","100.00",".00","44.44","75.00"
"11/25/2018","(*) ISPS Handa World Cup","T2","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T54","-","55.56","-","48.39","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T7","-","66.67","-","84.62","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T22","-","33.33","-","61.11","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","20",".466","66.67","5' 2""","44.00","-","57.14",".00","60.00","60.00","62.50"
"9/9/2018","BMW Championship","T65","-.214","42.86","7' 10""","62.96","100.00","60.00","50.00","60.00","45.45","100.00"
"9/3/2018","Dell Technologies Champ","3",".104","60.00","7' 5""","76.19","100.00","81.82","75.00","66.67","50.00","100.00"
"8/26/2018","THE NORTHERN TRUST","T3","-.165","80.00","5' 0""","73.68","100.00","71.43","100.00","40.00","50.00","100.00"
"8/12/2018","PGA Championship","T56",".689","50.00","15' 4""","58.62","100.00","57.14","50.00","50.00","63.64","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","23","-.232","71.43","9' 9""","70.37","100.00","80.00","50.00","62.50","60.00","90.00"
"7/22/2018","The Open Championship","78","-","50.00","-","47.06","-","-","-","-","-","-"
"6/17/2018","U.S. Open","CUT",".125","50.00","6' 8""","50.00","-","50.00","42.86","42.86","60.00","100.00"
"6/3/2018","the Memorial Tournament","CUT","-.301","60.00","9' 6""","47.06","100.00","50.00","50.00","100.00","45.45","50.00"
"5/27/2018","Fort Worth Invitational","CUT","-.637","55.56","8' 4""","42.11","-","33.33",".00","25.00","62.50","100.00"
"5/13/2018","THE PLAYERS Championship","CUT",".763",".00","18' 2""","35.29","-",".00","25.00","-","37.50","100.00"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/15/2018","RBC Heritage","T32",".543","63.64","5' 1""","66.67","100.00","71.43","25.00","57.14","77.78","83.33"
"4/8/2018","Masters Tournament","T5","-","40.00","-","69.57","-","-","-","-","-","-"
