"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","T9","1.348","-.655","290.8","288.4","317","53.57","30' 3""","12.20","14.63","94","111.88","46"
"1/13/2019","Sony Open in Hawaii","T22","1.337",".259","306.8","288.6","360","58.93","24' 10""","17.86","16.07","63","112.54","59"
"11/25/2018","(*) ISPS Handa World Cup","T2","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T54","-","-","-","-","314","60.71","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T7","-","-","-","-","-","82.14","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T22","-","-","-","-","-","71.43","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","20","1.031","-.771","295.6","299.2","344","48.21","38' 2""","24.07","11.11","45","114.01","21"
"9/9/2018","BMW Championship","T65","-1.983","-.768","296.8","285.9","343","64.29","27' 7""","10.71","16.07","87","112.98","22"
"9/3/2018","Dell Technologies Champ","3","1.260",".635","308.1","294.9","338","69.64","23' 5""","3.57","8.93","36","113.77","20"
"8/26/2018","THE NORTHERN TRUST","T3","1.244","-.002","290.6","290.1","319","57.14","28' 1""","20.00","14.55","88","113.45","15"
"8/12/2018","PGA Championship","T56","-.317","-.282","303.9","288.0","329","58.93","24' 0""","16.07","12.50","101","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","23","-.188","-.008","313.5","307.8","404","46.43","28' 5""","18.18","30.91","84","113.72","66"
"7/22/2018","The Open Championship","78","-","-","305.1","-","368","55.00","-","-","-","84","-","-"
"6/17/2018","U.S. Open","CUT",".030","-.705","294.5","288.4","336","60.71","-","14.29","14.29","1,998","-","-"
