"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","T9","2.079","23.9","1.660","1.472","51.39","1.39","26.50","30.00","28.00","26.00","22.00","100.00","100.00","100.00","100.00","100.00","40.00","66.67","100.00","76.92","92.31","40.00","-",".00","8.33","32' 10""","1' 7""","78' 2""","38.30"
"1/13/2019","Sony Open in Hawaii","T22","-.076","76.1","1.673","1.625","36.11","1.39","29.25","28.00","28.00","30.00","31.00","100.00","100.00","100.00","20.00","-","50.00","50.00","33.33","53.33","85.33","40.00","14.29","22.22",".00","24' 2""","1' 10""","67' 11""","36.36"
"11/25/2018","(*) ISPS Handa World Cup","T2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T54","-","-","1.780","1.542","45.83","2.78","27.75","29.00","27.00","29.00","26.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34.15"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T7","-","-","1.915","1.792","29.17","6.94","32.25","34.00","30.00","31.00","34.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.42"
"10/14/2018","CIMB Classic","T22","-","-","1.611","1.500","51.39","1.39","27.00","30.00","25.00","26.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","46.30"
"9/23/2018","TOUR Championship","20","-1.414","49.5","1.745","1.639","36.11","2.78","29.50","30.00","28.00","30.00","30.00","100.00","100.00","70.00",".00","80.00","44.44","33.33","100.00","60.00","85.19","10.00","16.67",".00",".00","15' 7""","2' 1""","53' 7""","31.91"
"9/9/2018","BMW Championship","T65","-.633","71.9","1.844","1.639","37.50","1.39","29.50","31.00","27.00","30.00","30.00","100.00","100.00","100.00","83.33","50.00","33.33","25.00","25.00","66.67","86.84","28.57","22.22",".00",".00","17' 9""","1' 11""","62' 6""","17.78"
"9/3/2018","Dell Technologies Champ","3","1.087","37.2","1.706","1.569","43.06",".00","28.25","28.00","28.00","29.00","28.00","100.00","100.00","100.00","50.00","60.00","100.00","50.00","50.00","75.00","91.30","40.00","28.57",".00","5.00","25' 5""","2' 1""","77' 1""","33.33"
"8/26/2018","THE NORTHERN TRUST","T3","1.399","45.4","1.679","1.569","44.44","1.39","28.25","29.00","30.00","25.00","29.00","100.00","83.33","100.00","100.00","100.00","80.00","100.00","50.00","93.33","95.59","33.33","25.00",".00","13.64","30' 11""","2' 1""","81' 9""","35.85"
"8/12/2018","PGA Championship","T56",".520","81.5","1.698","1.500","41.67","2.78","27.00","26.00","27.00","31.00","24.00","100.00","100.00","100.00","100.00","100.00","33.33","50.00","50.00","77.78","91.04","30.00","20.00","28.57",".00","20' 9""","1' 10""","69' 4""","37.21"
"8/5/2018","WGC-Bridgestone Invit'l","23","1.093","85.1","1.778","1.528","44.44","2.78","27.50","31.00","25.00","28.00","26.00","100.00","100.00","75.00","100.00","75.00","33.33","25.00",".00","70.59","86.96","57.14","21.43","40.00","6.67","31' 8""","1' 5""","77' 2""","28.89"
"7/22/2018","The Open Championship","78","-","-","1.816","1.597","37.50",".00","28.75","31.00","28.00","27.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26.32"
"6/17/2018","U.S. Open","CUT","-.495","-","2.000","1.667","33.33","5.56","30.00","31.00","29.00","-","-","100.00","75.00","71.43","75.00","100.00","100.00",".00","100.00","78.57","86.84","14.29","25.00",".00",".00","19' 6""","2' 11""","69' 8""","12.50"
"6/3/2018","the Memorial Tournament","CUT","-.468","-","1.737","1.611","41.67","2.78","29.00","31.00","27.00","-","-","100.00","100.00",".00","100.00","50.00","50.00","-",".00","55.56","86.84","33.33",".00",".00",".00","11' 10""","1' 6""","56' 4""","31.58"
