"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","T20","-.107","80.56","50.00","16.67","66.67","32' 0""","31' 3""","36' 10""","24' 4""","30' 5""","-","69' 3""","47' 11""","38' 3""","14' 1""","25' 0""","17' 9""","19' 4""","25' 2""","28' 2""","27' 8""","47' 4""","-","-","-","-","35' 9""","15' 6""","-","-","49' 0""","30' 6""","20' 9""","24' 3""","15' 6""","-","-","-"
"1/20/2019","Desert Classic","T34",".479","84.72","87.50","28.57","57.14","38' 1""","36' 7""","28' 7""","40' 7""","38' 8""","146' 2""","72' 9""","24' 1""","55' 0""","-","12' 3""","11' 1""","11' 7""","25' 4""","26' 1""","32' 11""","72' 4""","-","-","41' 0""","-","37' 10""","26' 5""","41' 0""","38' 3""","35' 11""","41' 6""","26' 5""","-","-","26' 5""","-","-"
"1/13/2019","Sony Open in Hawaii","T8",".787","76.39","88.89","37.50","62.50","33' 6""","45' 4""","42' 0""","46' 6""","25' 3""","-","-","37' 8""","46' 3""","-","11' 9""","13' 8""","12' 10""","19' 4""","28' 1""","31' 10""","44' 1""","-","-","65' 9""","61' 9""","45' 4""","-","64' 5""","53' 5""","23' 8""","42' 11""","17' 0""","17' 0""","-","-","-","-"
"1/6/2019","Sentry T of C","T14","-.391","73.61","69.57","31.25","68.75","42' 3""","48' 4""","44' 5""","50' 3""","39' 0""","116' 10""","77' 11""","65' 3""","45' 7""","16' 11""","18' 7""","35' 1""","23' 6""","29' 7""","24' 7""","35' 2""","62' 7""","-","-","-","-","55' 0""","35' 0""","-","43' 8""","60' 7""","67' 6""","39' 9""","54' 1""","48' 9""","28' 2""","-","-"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/18/2018","The RSM Classic","1",".786","88.89","83.33","40.00","60.00","29' 11""","42' 4""","33' 5""","43' 10""","28' 1""","135' 9""","147' 1""","38' 8""","35' 11""","9' 5""","13' 5""","17' 5""","16' 1""","23' 3""","17' 7""","21' 11""","58' 1""","-","-","-","-","43' 10""","33' 5""","-","-","49' 8""","-","24' 1""","14' 8""","33' 5""","-","-","-"
"11/11/2018","Mayakoba Golf Classic","CUT","-","75.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T61","-","70.83","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T5","-","90.28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T24",".405","86.11","66.67","50.00","100.00","35' 3""","43' 1""","20' 11""","82' 10""","33' 8""","107' 9""","97' 3""","38' 8""","41' 0""","-","21' 10""","30' 4""","27' 0""","21' 2""","17' 6""","34' 1""","54' 3""","-","-","-","116' 3""","49' 9""","18' 5""","116' 3""","93' 10""","22' 7""","49' 7""","19' 3""","21' 8""","17' 9""","18' 9""","-","-"
"9/3/2018","Dell Technologies Champ","T58","-.315","65.28","68.75","36.36","45.45","34' 7""","44' 3""","47' 9""","39' 8""","31' 9""","55' 5""","-","46' 4""","34' 11""","-","-","14' 4""","14' 4""","19' 11""","31' 4""","47' 9""","39' 7""","-","-","-","-","44' 3""","-","-","34' 0""","55' 3""","40' 3""","51' 1""","51' 1""","-","-","1","5"
"8/26/2018","THE NORTHERN TRUST","CUT","-.204","63.89","25.00",".00","50.00","32' 2""","39' 1""","52' 11""","33' 6""","27' 2""","-","-","27' 6""","42' 11""","-","18' 5""","5' 6""","16' 3""","36' 3""","12' 11""","20' 10""","41' 0""","-","-","-","-","44' 3""","7' 10""","-","48' 8""","47' 10""","25' 6""","7' 10""","-","7' 10""","-","-","-"
