"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","T20",".009","50.00","10' 8""","57.14","-","66.67",".00","33.33","83.33","-"
"1/20/2019","Desert Classic","T34",".103","75.00","11' 9""","54.55","-","42.86",".00","33.33","50.00","100.00"
"1/13/2019","Sony Open in Hawaii","T8",".124","62.50","10' 5""","70.59","100.00","50.00","50.00","33.33","71.43","100.00"
"1/6/2019","Sentry T of C","T14",".245","40.00","7' 10""","68.42","100.00","75.00","33.33","25.00","87.50","100.00"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-"
"11/18/2018","The RSM Classic","1",".034","100.00","4' 0""","50.00","-",".00",".00","-","75.00","100.00"
"11/11/2018","Mayakoba Golf Classic","CUT","-","-","-","55.56","-","25.00","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T61","-","30.00","-","61.90","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T5","-","50.00","-","42.86","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T24","-.205",".00","10' 9""","70.00","-","66.67","75.00","100.00","100.00","33.33"
"9/3/2018","Dell Technologies Champ","T58","-.383","33.33","13' 0""","40.00","100.00","25.00","33.33","40.00","54.55","20.00"
"8/26/2018","THE NORTHERN TRUST","CUT","-2.445","66.67","12' 5""","61.54","-","33.33","-","33.33","100.00","40.00"
"8/12/2018","PGA Championship","T71","-.012","70.00","8' 1""","60.71","100.00","40.00","50.00","57.14","66.67","100.00"
"7/22/2018","The Open Championship","CUT","-","40.00","-","57.14","-","-","-","-","-","-"
"7/8/2018","The Greenbrier","T30","-.114","50.00","13' 9""","61.54","-","66.67","33.33","100.00","40.00","100.00"
"7/1/2018","Quicken Loans National","T17",".279","25.00","11' 1""","57.14","100.00","54.55","33.33",".00","66.67","100.00"
"6/17/2018","U.S. Open","T25",".243","55.56","6' 8""","41.94","100.00","50.00","8.33","25.00","88.89","100.00"
"6/10/2018","FedEx St. Jude Classic","T26",".390","71.43","14' 0""","61.54","66.67","62.50","25.00","33.33","62.50","100.00"
"6/3/2018","the Memorial Tournament","T65",".581","60.00","5' 4""","57.14","100.00","40.00","28.57","50.00","61.54","100.00"
"5/20/2018","AT&T Byron Nelson","T9",".577","42.86","10' 8""","88.89","100.00","-","100.00","100.00","80.00","100.00"
"5/13/2018","THE PLAYERS Championship","T17",".125","80.00","9' 6""","66.67","100.00","66.67","50.00","40.00","77.78","100.00"
"5/6/2018","Wells Fargo Championship","T21",".108","85.71","7' 9""","67.86","50.00","84.62",".00","71.43","66.67","88.89"
"4/15/2018","RBC Heritage","T55","-.489","42.86","13' 0""","61.29","100.00","33.33",".00","27.27","83.33","100.00"
"4/1/2018","Houston Open","T18","-.024","50.00","8' 8""","73.33","85.71","50.00","33.33",".00","66.67","100.00"
"3/25/2018","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T14",".331","70.00","7' 7""","78.95","100.00","100.00",".00","100.00","75.00","100.00"
"3/11/2018","Valspar Championship","T40",".102","70.00","7' 3""","72.41","83.33","63.64","50.00","60.00","78.57","75.00"
"2/25/2018","The Honda Classic","CUT","-.713","37.50","10' 2""","30.77","-","25.00","100.00","25.00","20.00","33.33"
"2/18/2018","Genesis Open","T37","-.370","50.00","4' 7""","59.26",".00","50.00","40.00","50.00","69.23","66.67"
"1/28/2018","Farmers Insurance Open","T6",".531","66.67","9' 2""","65.22","-","50.00","33.33","40.00","80.00","100.00"
"1/21/2018","CareerBuilder Challenge","T20","1.385",".00","8' 0""","66.67","100.00","64.29","-",".00","80.00","100.00"
"1/14/2018","Sony Open in Hawaii","T32",".658","75.00","6' 3""","68.42","100.00","50.00",".00","66.67","77.78","100.00"
"11/19/2017","The RSM Classic","CUT","2.152","33.33","5""","61.54","-","50.00","33.33","100.00",".00","100.00"
"11/12/2017","OHL Classic at Mayakoba","T4","-","66.67","-","53.85","-","57.14","-","-","-","-"
"10/29/2017","WGC-HSBC Champions","T15","-","33.33","-","55.00","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T19","-","45.45","-","50.00","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T51","-","33.33","-","60.00","-","-","-","-","-","-"
"9/17/2017","BMW Championship","T67","-.292","25.00","10' 11""","54.84","100.00","66.67",".00","66.67","57.14","87.50"
