"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","T20","1.401","1.499","296.5","302.1","330","60.71","27' 1""","16.67","14.29","54","-","-"
"1/20/2019","Desert Classic","T34",".572","-.011","299.3","281.3","322","66.07","33' 9""","7.14","21.43","35","-","-"
"1/13/2019","Sony Open in Hawaii","T8","1.235",".325","310.0","295.3","354","57.14","20' 11""","8.93","25.00","58","116.94","110"
"1/6/2019","Sentry T of C","T14",".492",".638","280.8","295.1","388","80.00","26' 5""","5.00","10.00","24","116.25","26"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-"
"11/18/2018","The RSM Classic","1","1.026",".207","296.5","285.6","322","83.93","26' 1""","4.76","7.14","20","117.27","79"
"11/11/2018","Mayakoba Golf Classic","CUT","-","-","306.5","-","316","57.14","-","-","-","1,998","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T61","-","-","-","-","-","67.86","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T5","-","-","-","-","-","73.21","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T24",".047","-.152","297.3","293.6","353","66.07","28' 0""","16.36","12.73","76","117.12","105"
"9/3/2018","Dell Technologies Champ","T58","-.789","-.090","305.3","288.6","335","64.29","22' 0""","10.71","10.71","59","117.58","145"
"8/26/2018","THE NORTHERN TRUST","CUT","-2.498",".152","281.5","279.3","314","60.71","22' 1""","17.86","21.43","1,998","118.34","1,998"
"8/12/2018","PGA Championship","T71","-.713","-.229","295.5","284.0","315","66.07","21' 5""","5.36","14.29","101","-","-"
"7/22/2018","The Open Championship","CUT","-","-","286.5","-","312","66.67","-","-","-","1,998","-","-"
"7/8/2018","The Greenbrier","T30",".385",".411","320.4","298.5","348","66.07","24' 0""","17.86","8.93","64","117.69","81"
"7/1/2018","Quicken Loans National","T17","2.269",".623","316.8","289.5","347","69.64","24' 0""","8.93","16.07","14","119.21","59"
"6/17/2018","U.S. Open","T25","-.391",".261","305.6","295.8","366","64.29","-","21.43","10.71","75","-","-"
"6/10/2018","FedEx St. Jude Classic","T26","1.364",".794","315.0","301.5","344","53.57","23' 1""","17.86","19.64","38","118.95","126"
"6/3/2018","the Memorial Tournament","T65",".679","-.086","291.6","287.3","329","67.86","42' 2""","5.45","23.64","76","118.25","104"
"5/20/2018","AT&T Byron Nelson","T9",".141",".322","301.1","285.1","362","82.14","29' 0""",".00","3.57","48","117.80","106"
"5/13/2018","THE PLAYERS Championship","T17",".589",".117","303.4","287.3","339","69.64","28' 6""","5.36","14.29","25","116.85","96"
"5/6/2018","Wells Fargo Championship","T21",".970",".650","313.8","306.0","380","55.36","15' 4""","12.50","16.07","50","118.47","106"
"4/15/2018","RBC Heritage","T55","-.535",".497","276.9","277.2","334","66.07","19' 0""","12.50","12.50","69","118.08","110"
"4/1/2018","Houston Open","T18",".368",".642","285.5","282.0","314","75.00","32' 2""","7.14","8.93","54","117.32","92"
"3/25/2018","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T14","1.114",".676","288.6","287.6","331","64.29","17' 6""","10.71","10.71","104","117.35","139"
"3/11/2018","Valspar Championship","T40",".942","-.032","294.3","278.8","337","50.00","30' 6""","21.15","13.46","102","117.68","86"
"2/25/2018","The Honda Classic","CUT","2.450",".559","291.5","276.8","325","53.57","20' 2""","25.00","17.86","1,998","118.03","1,998"
"2/18/2018","Genesis Open","T37","1.028",".479","286.1","294.0","339","46.43","20' 8""","21.43","26.79","112","118.54","115"
"1/28/2018","Farmers Insurance Open","T6","2.039",".980","317.1","306.4","351","46.43","22' 4""","14.29","23.81","53","117.97","105"
"1/21/2018","CareerBuilder Challenge","T20","1.643",".934","304.5","283.9","324","67.86","18' 6""","21.43","14.29","26","119.10","114"
"1/14/2018","Sony Open in Hawaii","T32","1.503",".425","324.0","298.4","341","58.93","24' 7""","21.43","10.71","33","118.98","111"
"11/19/2017","The RSM Classic","CUT",".192","-2.157","297.3","292.1","334","32.14","12' 11""","15.38","30.77","1,998","115.89","1,998"
"11/12/2017","OHL Classic at Mayakoba","T4","-","-","298.1","-","321","75.00","-","-","-","17","-","-"
"10/29/2017","WGC-HSBC Champions","T15","-","-","-","-","303","57.14","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T19","-","-","-","-","-","73.21","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T51","-","-","-","-","-","51.79","-","-","-","-","-","-"
"9/17/2017","BMW Championship","T67","-2.060","-.848","299.5","291.0","349","39.29","27' 1""","16.07","17.86","123","117.21","124"
"9/4/2017","Dell Technologies Champ","CUT","-3.387","-1.782","289.5","284.9","316","53.57","35' 8""","11.54","15.38","1,998","113.91","1,998"
"8/27/2017","THE NORTHERN TRUST","T62","-.383","-.122","279.4","291.5","361","57.14","38' 0""","3.64","25.45","124","114.97","72"
"8/13/2017","PGA Championship","T73","-.882","-1.433","307.0","290.6","325","46.43","39' 4""","18.18","20.00","90","-","-"
"7/23/2017","The Open Championship","CUT","-","-","275.3","-","311","64.29","-","-","-","1,998","-","-"
"7/16/2017","John Deere Classic","T19",".715",".259","297.9","291.9","353","58.93","18' 4""","17.86","8.93","102","114.97","97"
"7/9/2017","The Greenbrier Classic","T45","-.405","-.316","314.6","297.7","343","58.93","29' 0""","23.21","10.71","81","115.14","45"
"7/2/2017","Quicken Loans National","2","2.101",".510","297.9","289.8","327","53.57","21' 8""","23.21","10.71","94","114.93","117"
"4/16/2017","RBC Heritage","T56","1.529",".560","290.6","282.9","316","48.21","18' 0""","21.43","14.29","80","116.13","85"
"4/2/2017","Shell Houston Open","T39",".151",".146","288.8","285.1","324","60.71","42' 2""","7.27","10.91","77","115.80","117"
"3/26/2017","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T56",".200","-.545","289.6","283.6","330","46.43","20' 7""","7.27","20.00","112","115.09","121"
"3/12/2017","Valspar Championship","T49",".643","-.127","297.9","281.3","344","48.08","31' 6""","21.57","11.76","77","115.28","91"
"2/26/2017","The Honda Classic","T52",".053",".732","311.3","285.6","337","57.14","28' 9""","12.50","14.29","49","116.67","59"
"2/19/2017","Genesis Open","T15","1.684",".788","297.9","283.7","346","64.29","23' 4""","17.86","7.14","22","114.75","100"
"1/29/2017","Farmers Insurance Open","T2","-.237","-.105","275.6","287.9","316","48.21","28' 10""","7.14","42.86","119","116.48","109"
"1/22/2017","CareerBuilder Challenge","T12","1.430",".783","290.1","280.0","321","55.36","24' 1""","3.57","35.71","91","117.01","130"
"1/15/2017","Sony Open in Hawaii","T8",".909",".728","311.4","303.6","343","53.57","27' 11""","5.36","32.14","73","117.57","93"
"12/10/2016","(*) Franklin Templeton","T5","-","-","-","-","-","-","-","-","-","-","-","-"
"11/20/2016","The RSM Classic","T13","2.218",".595","301.1","289.4","335","62.50","18' 0""","7.32","17.07","64","117.37","130"
"11/13/2016","OHL Classic at Mayakoba","T7","-","-","296.6","-","319","62.50","-","-","-","60","-","-"
"11/6/2016","Shriners Hospitals","T15","1.358",".802","311.0","304.3","346","58.93","26' 7""","7.14","21.43","49","118.56","93"
"10/23/2016","CIMB Classic","T39","-","-","-","-","-","57.14","-","-","-","-","-","-"
"10/16/2016","Safeway Open","CUT","-1.373","-1.476","298.5","278.1","332","50.00","23' 1""","25.93","11.11","1,998","120.50","1,998"
"9/11/2016","BMW Championship","T47","-1.243","-1.355","306.0","294.8","378","41.07","29' 8""","20.00","34.55","87","117.80","37"
"9/5/2016","Deutsche Bank Champ","T24",".156",".159","304.9","287.3","347","67.86","27' 0""","3.57","12.50","34","116.43","111"
"8/28/2016","The Barclays","CUT","-1.117",".081","309.8","296.0","346","57.14","35' 1""","21.43","3.57","1,998","116.68","1,998"
"6/26/2016","Quicken Loans National","T75","-1.228",".395","306.6","299.5","350","46.43","28' 10""","30.36","17.86","76","117.37","38"
"6/12/2016","FedEx St. Jude Classic","T26","1.998","1.131","298.3","294.2","343","57.14","21' 3""","12.50","23.21","41","117.97","39"
"6/5/2016","the Memorial Tournament","T48",".847",".285","307.9","291.9","343","55.36","27' 9""","10.71","25.00","73","117.25","106"
"5/22/2016","AT&T Byron Nelson","T4","2.350",".611","298.9","297.2","345","50.00","32' 2""","11.32","24.53","77","117.60","28"
"5/15/2016","THE PLAYERS Championship","CUT","-2.854","-1.349","303.0","286.2","339","39.29","29' 8""","18.52","22.22","1,998","116.81","1,998"
"5/8/2016","Wells Fargo Championship","CUT",".110",".840","295.8","303.5","389","32.14","36' 5""","17.86","39.29","1,998","117.35","1,998"
"5/1/2016","Zurich Classic of New Orl","T11",".679",".168","300.2","280.9","332","64.29","32' 3""","11.90","14.29","62","117.78","99"
"4/17/2016","RBC Heritage","T23","1.906","-.433","306.5","277.0","329","41.07","25' 1""","19.64","17.86","74","117.99","31"
"4/3/2016","Shell Houston Open","T7","2.470","1.513","306.3","296.9","346","60.71","44' 5""","16.36","14.55","48","119.78","36"
"3/20/2016","Arnold Palmer Invt'l","T46",".713",".062","304.9","281.8","338","51.79","26' 8""","12.50","16.07","81","118.58","56"
"3/13/2016","Valspar Championship","T5","2.072",".651","294.1","284.2","360","57.69","35' 2""","19.61","7.84","49","120.00","105"
"2/28/2016","The Honda Classic","CUT","-.081","-1.537","299.0","281.0","344","42.86","27' 0""","11.11","29.63","1,998","118.29","1,998"
"2/21/2016","Northern Trust Open","75","-.638","-.272","289.0","290.5","340","41.07","33' 3""","21.82","30.91","99","122.62","107"
"2/7/2016","Waste Management Phoenix","T24","-.034","-1.173","303.5","300.5","333","44.64","40' 11""","13.21","26.42","79","119.33","111"
"1/31/2016","Farmers Insurance Open","T16","-.056","-2.778","301.1","299.5","352","39.29","35' 4""","14.63","31.71","78","118.47","82"
"1/24/2016","CareerBuilder Challenge","T11","2.496","1.762","308.1","288.9","346","69.64","25' 0""","7.14","17.86","27","119.59","51"
"1/17/2016","Sony Open in Hawaii","T13","1.753","1.310","318.3","303.3","348","53.57","18' 7""","17.86","19.64","50","119.34","86"
"12/12/2015","(*) Franklin Templeton","T10","-","-","-","-","-","-","-","-","-","-","-","-"
"11/22/2015","The RSM Classic","T9",".548",".820","296.4","286.9","337","71.43","27' 5""","4.76","14.29","49","116.54","71"
"11/15/2015","OHL Classic at Mayakoba","T17","-","-","300.6","-","326","60.71","-","-","-","55","-","-"
"11/1/2015","CIMB Classic","T10","-","-","-","-","-","66.07","-","-","-","-","-","-"
"10/25/2015","Shriners Hospitals","70","-.368","-.481","307.9","300.9","344","44.64","28' 10""","12.50","28.57","95","118.82","109"
"10/18/2015","Frys.com Open","T17","-.067","-.190","310.5","288.1","336","42.86","29' 8""","7.14","33.93","79","119.42","75"
"9/7/2015","Deutsche Bank Champ","T56","-.470","-.862","312.0","292.6","346","55.36","32' 2""","3.57","16.07","65","116.53","69"
"8/30/2015","The Barclays","T58","-1.613","-.555","308.1","292.6","386","37.50","34' 3""","12.73","34.55","96","116.70","57"
"8/23/2015","Wyndham Championship","T31","1.514",".813","315.9","286.5","338","51.79","23' 2""","17.86","28.57","65","119.16","106"
"8/16/2015","PGA Championship","T65","1.296","1.078","300.9","293.6","351","73.21","27' 2""","5.36","7.14","17","-","-"
"8/2/2015","Quicken Loans National","T11","1.700",".852","311.8","300.6","352","62.50","38' 3""","7.27","16.36","52","118.34","85"
"7/19/2015","Barbasol Championship","T39",".952",".907","304.4","291.6","336","66.07","32' 0""","10.71","16.07","44","118.55","134"
"7/12/2015","John Deere Classic","T60",".535",".218","302.9","291.4","327","73.21","23' 0""","5.45","9.09","49","118.19","37"
"7/5/2015","The Greenbrier Classic","CUT","-1.630","-.736","296.8","283.8","333","53.57","40' 11""","21.43","21.43","1,998","117.49","1,998"
"6/14/2015","FedEx St. Jude Classic","CUT","-.348","-.987","301.0","294.1","331","35.71","45' 10""","7.14","35.71","1,998","117.46","1,998"
"6/7/2015","the Memorial Tournament","T31","-.136",".372","296.8","291.9","341","57.14","29' 6""","12.50","26.79","83","118.87","128"
"5/31/2015","AT&T Byron Nelson","CUT","2.146","1.517","317.5","295.6","321","51.85","14' 0""","7.14","14.29","1,998","117.68","1,998"
"5/17/2015","Wells Fargo Championship","T38","1.125",".484","317.8","302.4","359","39.29","33' 3""","14.55","20.00","65","118.70","81"
"5/10/2015","THE PLAYERS Championship","T56",".426",".231","300.0","285.2","325","46.43","24' 0""","14.55","20.00","82","120.48","103"
"4/26/2015","Zurich Classic of New Orl","CUT","1.537",".543","301.0","284.6","318","57.14","33' 4""","14.81","22.22","1,998","120.79","1,998"
"4/19/2015","RBC Heritage","CUT","-1.548","-.330","300.0","266.2","308","50.00","24' 6""","7.14","21.43","1,998","119.62","1,998"
"4/5/2015","Shell Houston Open","T5","1.445",".335","310.9","293.6","368","46.43","39' 8""","11.32","11.32","72","119.05","63"
"3/29/2015","Valero Texas Open","CUT","-.465","-.314","286.3","294.0","340","46.43","33' 10""","11.11","18.52","1,998","120.40","1,998"
"3/22/2015","Arnold Palmer Invt'l","T21",".962",".423","305.9","291.4","332","66.07","33' 6""","5.36","10.71","58","119.85","83"
"3/15/2015","Valspar Championship","T10",".885",".158","278.3","281.3","324","53.85","25' 3""","15.38","19.23","81","120.36","129"
"3/1/2015","The Honda Classic","T44","1.395",".963","292.5","279.5","346","53.57","21' 1""","8.93","30.36","66","119.39","88"
"2/22/2015","Northern Trust Open","T61",".956","1.045","311.9","295.1","343","51.79","20' 6""","16.36","16.36","38","120.74","123"
"2/8/2015","Farmers Insurance Open","T5","2.925",".855","304.6","302.6","340","46.43","33' 8""","14.63","21.95","53","119.61","119"
"2/1/2015","Waste Management Phoenix","T71",".018",".849","301.5","301.2","331","50.00","24' 6""","8.93","26.79","80","119.50","83"
"1/25/2015","Humana Challenge","T56","1.180",".700","291.5","289.8","350","55.56","26' 10""","15.38","15.38","99","119.42","22"
"1/18/2015","Sony Open in Hawaii","T26",".639",".040","296.9","297.4","355","33.93","40' 11""","18.18","38.18","103","121.14","84"
"12/13/2014","(*) Franklin Templeton","T7","-","-","-","-","-","-","-","-","-","-","-","-"
"11/16/2014","OHL Classic at Mayakoba","CUT","-","-","298.8","-","307","57.14","-","-","-","1,998","-","-"
"11/9/2014","Sanderson Farms Champ.","T14","1.218",".631","295.5","297.1","336","42.86","47' 3""","21.15","25.00","73","118.47","94"
"10/26/2014","The McGladrey Classic","T73","-.342","-.031","299.3","291.0","336","59.52","31' 5""","11.90","14.29","1,998","120.09","1,998"
"10/19/2014","Shriners Hospitals","T18",".187","-.570","316.5","303.1","352","42.86","25' 9""","7.14","33.93","78","120.03","123"
"10/12/2014","Frys.com Open","T71","-.050",".571","299.0","292.6","325","50.00","27' 10""","14.29","21.43","87","119.12","142"
"9/7/2014","BMW Championship","T36","-.320",".631","314.0","313.1","364","46.43","35' 5""","23.64","23.64","69","118.44","57"
"9/1/2014","Deutsche Bank Champ","T35","-.473","-.472","301.4","290.6","363","50.00","33' 9""","16.07","16.07","96","119.90","105"
"8/24/2014","The Barclays","T22",".690",".360","288.6","294.7","340","51.79","34' 11""","14.81","25.93","75","119.38","41"
