"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","T20",".795","71.6","1.741","1.681","36.11","4.17","30.25","29.00","31.00","31.00","30.00","96.77","87.50","100.00","25.00","50.00","100.00","50.00","33.33","55.56","81.82","57.14","33.33",".00","12.50","39' 0""","2' 2""","101' 11""","31.03"
"1/20/2019","Desert Classic","T34",".002","59.4","1.754","1.708","30.56","1.39","30.75","32.00","30.00","32.00","29.00","100.00","100.00","100.00","100.00","50.00","66.67","100.00",".00","71.43","84.62","14.29",".00","66.67",".00","21' 10""","2' 0""","74' 1""","31.15"
"1/13/2019","Sony Open in Hawaii","T8","1.276","38.8","1.691","1.583","41.67",".00","28.50","27.00","28.00","29.00","30.00","100.00","100.00","100.00","100.00","100.00","50.00","66.67","66.67","84.62","93.06","12.50","14.29","60.00",".00","22' 2""","1' 10""","75' 6""","36.36"
"1/6/2019","Sentry T of C","T14","-.068","34.3","1.792","1.667","38.89","4.17","30.00","33.00","31.00","30.00","26.00","100.00","100.00","100.00","50.00","66.67","66.67","33.33","33.33","75.00","89.61","10.00","16.67",".00","4.55","27' 0""","2' 10""","59' 3""","33.96"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/18/2018","The RSM Classic","1",".717","65.6","1.688","1.667","36.11","2.78","30.00","30.00","29.00","31.00","30.00","100.00","87.50","100.00","-",".00",".00",".00","33.33","71.43","88.00","50.00","42.86","25.00",".00","24' 0""","2' 1""","92' 4""","39.06"
"11/11/2018","Mayakoba Golf Classic","CUT","-","-","1.889","1.778","22.22",".00","32.00","29.00","35.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","22.22"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T61","-","-","1.863","1.667","31.94","4.17","30.00","28.00","31.00","31.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21.57"
"10/14/2018","CIMB Classic","T5","-","-","1.708","1.653","30.56","1.39","29.75","31.00","29.00","31.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34.38"
"9/9/2018","BMW Championship","T24",".586","37.5","1.790","1.722","27.78",".00","31.00","29.00","30.00","33.00","32.00","100.00","100.00","100.00","100.00","100.00","66.67","50.00","50.00","93.33","94.44","27.27","12.50",".00",".00","17' 7""","2' 1""","64' 0""","24.19"
"9/3/2018","Dell Technologies Champ","T58",".386","101.7","1.745","1.625","34.72","2.78","29.25","30.00","26.00","33.00","28.00","100.00","88.89",".00","20.00",".00","100.00","25.00","33.33","30.00","81.43","37.50","60.00","25.00","9.52","51' 1""","2' 0""","98' 5""","34.04"
"8/26/2018","THE NORTHERN TRUST","CUT",".059","-","1.870","1.667","36.11","2.78","30.00","28.00","32.00","-","-","100.00","100.00",".00","33.33","50.00",".00",".00","50.00","28.57","78.95","57.14","20.00",".00","12.50","31' 2""","1' 8""","86' 9""","17.39"
"8/12/2018","PGA Championship","T71",".166","90.8","1.750","1.597","44.44","4.17","28.75","29.00","27.00","30.00","29.00","97.67","100.00","66.67","100.00","75.00","40.00","50.00","25.00","66.67","83.12","62.50","33.33","14.29","5.00","27' 8""","2' 5""","76' 5""","31.82"
"7/22/2018","The Open Championship","CUT","-","-","2.091","1.833","27.78","11.11","33.00","34.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.09"
"7/8/2018","The Greenbrier","T30",".587","93.5","1.814","1.736","30.56","4.17","31.25","31.00","32.00","32.00","30.00","100.00","50.00","33.33","100.00","50.00","66.67","100.00","66.67","63.64","90.28","44.44","11.11",".00","9.09","40' 4""","2' 3""","82' 10""","25.42"
"7/1/2018","Quicken Loans National","T17","-.892","94.9","1.765","1.653","31.94",".00","29.75","30.00","29.00","29.00","31.00","100.00","100.00","50.00","33.33",".00","50.00","66.67","25.00","40.00","87.01","18.18","14.29",".00","7.14","26' 10""","1' 3""","52' 4""","27.45"
"6/17/2018","U.S. Open","T25","1.785","38.6","1.805","1.667","31.94","1.39","30.00","29.00","34.00","26.00","31.00","100.00","80.00","100.00","71.43","66.67","100.00","100.00","-","83.33","94.12","14.29","30.77","20.00","3.70","27' 1""","2' 8""","81' 9""","21.95"
"6/10/2018","FedEx St. Jude Classic","T26",".082","72.0","1.696","1.556","40.28","1.39","28.00","28.00","29.00","29.00","26.00","100.00","90.91","-","80.00","80.00","100.00","-","50.00","83.33","94.20","16.67","12.50",".00","11.76","28' 4""","2' 7""","68' 6""","34.78"
"6/3/2018","the Memorial Tournament","T65","-1.314","114.8","1.773","1.625","40.28","2.78","29.25","30.00","28.00","27.00","32.00","100.00","100.00","83.33","42.86","75.00","50.00","25.00","14.29","61.90","80.00","30.00","10.00",".00",".00","17' 5""","2' 0""","59' 5""","29.55"
