"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","CUT",".192","69.44","25.00",".00",".00","32' 7""","50' 7""","24' 7""","67' 11""","24' 2""","-","-","24' 3""","36' 9""","-","48' 1""","24' 1""","36' 1""","4' 3""","16' 4""","26' 2""","30' 6""","-","-","113' 11""","-","52' 2""","44' 3""","113' 11""","45' 7""","-","18' 9""","37' 4""","30' 4""","44' 3""","-","-","-"
"1/20/2019","Desert Classic","CUT","-.801","77.78","50.00",".00","100.00","45' 0""","37' 5""","51' 3""","30' 6""","46' 7""","156' 8""","120' 7""","-","18' 6""","-","10' 9""","17' 0""","15' 6""","-","31' 2""","-","86' 11""","-","-","-","-","37' 5""","-","-","-","51' 3""","30' 6""","-","-","-","-","-","-"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","CUT","-","61.11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T43","-","54.17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T48","-","75.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","74","-.579","62.50","81.25","7.69","23.08","41' 8""","52' 10""","43' 11""","73' 7""","36' 9""","51' 0""","88' 10""","51' 2""","39' 0""","12' 4""","20' 6""","32' 6""","26' 1""","28' 9""","24' 11""","35' 2""","49' 4""","-","-","-","88' 0""","52' 10""","-","88' 0""","96' 5""","38' 9""","-","50' 1""","50' 1""","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T20",".824","72.22","62.50",".00","30.00","32' 1""","38' 10""","12' 6""","42' 2""","27' 10""","101' 1""","47' 10""","31' 11""","28' 3""","-","15' 1""","16' 4""","15' 7""","24' 2""","18' 9""","22' 8""","53' 11""","-","-","-","96' 4""","38' 5""","40' 6""","96' 4""","-","22' 11""","19' 7""","46' 10""","64' 7""","29' 1""","-","-","-"
"8/12/2018","PGA Championship","CUT","-.076","63.89","60.00","33.33","66.67","29' 2""","31' 7""","18' 9""","35' 10""","25' 8""","42' 2""","-","45' 4""","45' 8""","-","11' 9""","10' 6""","11' 0""","24' 0""","24' 3""","26' 11""","44' 5""","-","-","-","-","35' 10""","18' 9""","-","17' 11""","47' 5""","42' 3""","18' 9""","-","-","18' 9""","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T53","-.871","56.94","50.00","25.00","50.00","33' 8""","45' 7""","37' 2""","53' 3""","25' 10""","-","-","48' 7""","31' 8""","26' 6""","22' 4""","20' 0""","21' 1""","16' 2""","25' 0""","31' 5""","36' 9""","-","105' 0""","68' 4""","89' 11""","45' 7""","-","84' 4""","79' 8""","27' 10""","32' 2""","29' 4""","29' 4""","-","-","-","-"
