"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","CUT","-.997","25.00","13' 4""","36.36","-","40.00",".00","-",".00","50.00"
"1/20/2019","Desert Classic","CUT",".018","40.00","20' 1""","58.33","-","75.00",".00",".00","66.67","100.00"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","CUT","-",".00","-","57.14","-","60.00","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T43","-","11.11","-","54.55","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T48","-","50.00","-","61.11","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","74",".013","50.00","9' 0""","70.37","100.00","77.78","20.00","40.00","91.67","100.00"
"8/26/2018","THE NORTHERN TRUST","T20","-.007","57.14","6' 11""","55.00","100.00","37.50","40.00","100.00","33.33","75.00"
"8/12/2018","PGA Championship","CUT","-.194","60.00","12' 8""","46.15","-",".00","50.00","100.00","33.33","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T53","-.709","100.00","3' 1""","58.06","100.00","54.55",".00",".00","63.64","84.62"
"7/29/2018","RBC Canadian Open","T29","-.622","42.86","7' 11""","55.00","100.00","69.23",".00",".00","37.50","88.89"
"7/22/2018","The Open Championship","T17","-","42.86","-","45.45","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T15",".115","66.67","7' 10""","64.71","100.00","66.67",".00","100.00","40.00","80.00"
"6/17/2018","U.S. Open","T20","1.099","44.44","7' 0""","46.43","100.00","50.00","11.11","62.50","55.56","100.00"
"6/3/2018","the Memorial Tournament","CUT",".128","50.00","5' 6""","70.59","100.00","77.78",".00","100.00","83.33","100.00"
"5/27/2018","Fort Worth Invitational","T52","-.159","75.00","6' 7""","55.56","80.00","42.86","16.67","50.00","60.00","100.00"
"5/13/2018","THE PLAYERS Championship","CUT","-.810","25.00","7' 6""","25.00","-","14.29",".00","33.33","33.33","50.00"
"4/29/2018","Zurich Classic of New Orl","T31","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","T64","-.829","27.27","14' 7""","59.26","100.00","63.64","33.33",".00","73.68","50.00"
"4/15/2018","RBC Heritage","T23","-.225","14.29","11' 6""","57.69","100.00","60.00",".00","60.00","60.00","100.00"
"4/8/2018","Masters Tournament","T12","-","75.00","-","70.00","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T14","-.137","80.00","7' 11""","50.00","-","33.33","50.00","40.00","66.67","66.67"
"3/11/2018","Valspar Championship","CUT","-.245","40.00","12' 6""","53.33","100.00","60.00",".00","66.67","50.00","66.67"
"3/4/2018","WGC-Mexico Championship","T20",".720","50.00","6' 5""","64.71","100.00","80.00",".00","50.00","88.89","100.00"
"2/18/2018","Genesis Open","T41",".176","42.86","6' 9""","66.67","100.00","44.44",".00","100.00","33.33","100.00"
"2/11/2018","AT&T Pebble Beach","W/D",".305","42.86","10' 3""","54.55","-","50.00","-","33.33","75.00","100.00"
"2/4/2018","Waste Management Phoenix","T26",".210","14.29","10' 9""","50.00","-","66.67",".00","66.67","42.86","66.67"
"1/28/2018","Farmers Insurance Open","T35","-.156","30.00","10' 3""","51.85","100.00","33.33","33.33","40.00","57.14","75.00"
"12/10/2017","(*) QBE Shootout","T8","-","-","-","-","-","-","-","-","-","-"
"12/3/2017","(*) Hero World Challenge","2","-","-","-","-","-","-","-","-","-","-"
