"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","CUT","-.128",".677","283.0","288.6","303","39.29","30' 2""","7.14","28.57","1,998","114.03","1,998"
"1/20/2019","Desert Classic","CUT","-1.823","-1.039","284.5","274.7","317","66.67","20' 5""","7.14","14.29","1,998","-","-"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","CUT","-","-","283.3","-","300","57.14","-","-","-","1,998","-","-"
"10/28/2018","WGC-HSBC Champions","T43","-","-","-","-","321","50.00","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T48","-","-","-","-","-","69.64","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","74","-.747","-.181","305.6","287.6","351","64.29","16' 11""","14.29","7.14","58","114.37","60"
"8/26/2018","THE NORTHERN TRUST","T20","1.166",".350","283.9","287.8","327","71.43","26' 5""","8.93","16.07","57","115.04","74"
"8/12/2018","PGA Championship","CUT",".004",".273","307.0","298.3","325","67.86","24' 11""","3.57","10.71","1,998","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T53","-1.534",".046","322.0","306.0","359","46.43","30' 1""","19.64","26.79","68","115.72","109"
"7/29/2018","RBC Canadian Open","T29",".658",".277","301.9","303.8","355","53.57","22' 6""","17.86","19.64","69","114.06","56"
"7/22/2018","The Open Championship","T17","-","-","304.1","-","347","46.67","-","-","-","113","-","-"
"6/24/2018","Travelers Championship","T15","1.262",".183","284.1","283.4","338","76.79","25' 1""","5.45","5.45","71","116.67","14"
"6/17/2018","U.S. Open","T20","2.162",".614","305.9","290.7","379","80.36","-","5.36","10.71","35","-","-"
"6/3/2018","the Memorial Tournament","CUT","-.801",".106","281.8","287.2","330","57.14","19' 10""","14.29","17.86","1,998","116.89","1,998"
"5/27/2018","Fort Worth Invitational","T52","-.890",".207","301.6","286.6","347","58.93","26' 9""","19.64","7.14","64","117.31","103"
"5/13/2018","THE PLAYERS Championship","CUT","-.935","-.998","301.0","287.1","333","57.14","33' 2""",".00","10.71","1,998","115.26","1,998"
"4/29/2018","Zurich Classic of New Orl","T31","-","-","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","T64","-.208",".969","308.9","297.6","364","62.50","29' 4""","3.64","16.36","38","117.25","104"
"4/15/2018","RBC Heritage","T23",".594",".375","285.5","279.3","329","64.29","30' 4""","1.82","14.55","51","115.87","83"
"4/8/2018","Masters Tournament","T12","-","-","289.0","-","328","69.64","-","-","-","52","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T14","1.098",".234","299.1","283.9","346","55.36","21' 0""","12.50","17.86","92","114.11","27"
"3/11/2018","Valspar Championship","CUT",".184",".334","295.5","276.4","331","42.31","19' 3""","30.77","19.23","1,998","114.07","1,998"
"3/4/2018","WGC-Mexico Championship","T20","1.039","-.368","300.3","301.5","371","46.43","26' 6""","7.14","37.50","103","115.23","50"
"2/18/2018","Genesis Open","T41",".695",".282","286.0","289.1","329","44.64","21' 7""","14.29","26.79","118","116.30","147"
"2/11/2018","AT&T Pebble Beach","W/D","-.667","1.818","322.3","286.0","364","66.67","27' 8""","14.29","7.14","1,998","115.39","1,998"
"2/4/2018","Waste Management Phoenix","T26","1.129",".170","307.3","303.0","333","50.00","30' 2""","14.29","17.86","82","115.50","117"
"1/28/2018","Farmers Insurance Open","T35",".181",".184","294.1","295.3","331","48.21","27' 0""","11.90","28.57","100","116.57","143"
"12/10/2017","(*) QBE Shootout","T8","-","-","-","-","-","-","-","-","-","-","-","-"
"12/3/2017","(*) Hero World Challenge","2","-","-","-","-","-","-","-","-","-","-","-","-"
"11/12/2017","OHL Classic at Mayakoba","CUT","-","-","298.8","-","327","71.43","-","-","-","1,998","-","-"
