"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","CUT","-1.551","-","1.760","1.750","27.78","2.78","31.50","31.00","32.00","-","-","100.00","100.00","100.00","50.00","-","-",".00","-","75.00","81.82",".00",".00","-",".00","5' 8""","2' 5""","46' 11""","24.00"
"1/20/2019","Desert Classic","CUT","1.708","-","1.738","1.630","37.04",".00","29.33","28.00","31.00","29.00","-","100.00","100.00","100.00","100.00","-","-","-","-","100.00","100.00","33.33",".00","100.00",".00","22' 7""","1' 8""","80' 6""","26.19"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","CUT","-","-","1.773","1.639","36.11",".00","29.50","29.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","22.73"
"10/28/2018","WGC-HSBC Champions","T43","-","-","1.769","1.611","36.11","2.78","29.00","29.00","30.00","28.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26.32"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T48","-","-","1.833","1.736","34.72","8.33","31.25","34.00","31.00","32.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29.63"
"9/3/2018","Dell Technologies Champ","74","-1.157","111.8","1.933","1.667","37.50","4.17","30.00","29.00","29.00","30.00","32.00","100.00","100.00","90.91","33.33","60.00","50.00","33.33",".00","68.00","85.19",".00","16.67","40.00",".00","23' 6""","2' 10""","69' 4""","15.56"
"8/26/2018","THE NORTHERN TRUST","T20",".227","84.4","1.692","1.583","40.28","1.39","28.50","28.00","29.00","28.00","29.00","100.00","100.00","66.67","50.00","50.00","83.33",".00","100.00","61.90","87.50","46.15",".00","11.11","7.69","27' 7""","2' 0""","77' 5""","32.69"
"8/12/2018","PGA Championship","CUT","-1.018","-","1.826","1.722","30.56","2.78","31.00","32.00","30.00","-","-","95.83","100.00","100.00","50.00","-","20.00","100.00",".00","45.45","80.49","66.67","12.50",".00",".00","17' 6""","2' 1""","64' 8""","21.74"
"8/5/2018","WGC-Bridgestone Invit'l","T53",".689","42.8","1.732","1.542","45.83",".00","27.75","30.00","28.00","27.00","26.00","100.00","87.50","100.00","100.00","50.00","100.00",".00","50.00","83.33","88.00","25.00","33.33",".00","7.14","33' 1""","2' 1""","76' 11""","29.27"
"7/29/2018","RBC Canadian Open","T29",".455","70.9","1.692","1.583","43.06","1.39","28.50","28.00","28.00","29.00","29.00","100.00","80.00","100.00","33.33","100.00","50.00","75.00","25.00","64.71","85.53","33.33","50.00",".00",".00","20' 0""","1' 8""","73' 4""","38.46"
"7/22/2018","The Open Championship","T17","-","-","1.760","1.653","34.72",".00","29.75","29.00","29.00","30.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","28.00"
"6/24/2018","Travelers Championship","T15",".674","55.8","1.727","1.611","37.50","1.39","29.00","29.00","25.00","33.00","29.00","100.00","85.71","100.00","33.33","-","100.00","50.00",".00","83.33","89.55","40.00","27.27",".00","11.11","35' 8""","2' 4""","85' 0""","32.73"
"6/17/2018","U.S. Open","T20","-.517","92.8","1.886","1.750","30.56","5.56","31.50","30.00","31.00","32.00","33.00","100.00","85.71","60.00","71.43","66.67","66.67","50.00","66.67","66.67","87.18","15.38",".00",".00","10.53","34' 11""","2' 10""","73' 9""","18.18"
"6/3/2018","the Memorial Tournament","CUT","-1.191","-","1.895","1.556","44.44","5.56","28.00","27.00","29.00","-","-","100.00","100.00","50.00","66.67","100.00","-",".00","100.00","66.67","89.47","33.33",".00",".00",".00","12' 9""","2' 6""","51' 6""","21.05"
"5/27/2018","Fort Worth Invitational","T52","1.269","61.2","1.622","1.472","51.39","1.39","26.50","28.00","26.00","25.00","27.00","100.00","83.33","100.00","75.00","57.14","100.00","-",".00","78.95","89.86","50.00","33.33","40.00",".00","24' 3""","1' 11""","81' 6""","42.22"
"5/13/2018","THE PLAYERS Championship","CUT","-.422","-","1.708","1.639","36.11",".00","29.50","28.00","31.00","-","-","100.00","100.00","-","100.00",".00","50.00",".00",".00","66.67","87.18","25.00","16.67",".00",".00","17' 7""","2' 2""","56' 0""","29.17"
"4/29/2018","Zurich Classic of New Orl","T31","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","T64","-.133","66.6","1.822","1.653","37.50","2.78","29.75","31.00","30.00","29.00","29.00","97.67","100.00","80.00","33.33","100.00","66.67","50.00","40.00","71.43","86.67","25.00","40.00",".00",".00","16' 10""","2' 2""","70' 11""","24.44"
"4/15/2018","RBC Heritage","T23",".736","78.4","1.674","1.500","47.22","2.78","27.00","26.00","29.00","26.00","27.00","100.00","60.00","100.00","100.00","80.00","33.33",".00","25.00","76.92","87.14","18.18","27.27","16.67","30.00","34' 1""","1' 2""","84' 3""","39.13"
"4/8/2018","Masters Tournament","T12","-","-","1.808","1.625","41.67","6.94","29.25","28.00","29.00","33.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29.41"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T14",".395","87.0","1.712","1.653","37.50","2.78","29.75","32.00","29.00","29.00","29.00","100.00","100.00","80.00","50.00","33.33","50.00",".00","66.67","57.14","87.50","33.33","37.50","16.67",".00","21' 11""","2' 3""","79' 10""","36.54"
"3/11/2018","Valspar Championship","CUT","-2.610","-","2.048","1.806","27.78","8.33","32.50","31.00","34.00","-","-","100.00","100.00",".00","-","50.00","50.00","-","50.00","42.86","87.50",".00","14.29",".00",".00","16' 3""","3' 6""","50' 2""","9.52"
"3/4/2018","WGC-Mexico Championship","T20","-.191","74.5","1.836","1.708","31.94","2.78","30.75","32.00","27.00","31.00","33.00","100.00","100.00","80.00","66.67","60.00",".00","33.33","33.33","64.29","88.61",".00","14.29",".00","4.00","37' 3""","2' 1""","54' 3""","29.09"
"2/18/2018","Genesis Open","T41","-.113","56.6","1.694","1.458","47.22","1.39","26.25","26.00","27.00","27.00","25.00","97.92","75.00","100.00","100.00","-","66.67","50.00",".00","88.24","91.67","23.08",".00",".00",".00","14' 4""","1' 8""","52' 5""","33.33"
